장소명,lat,lon,힐링스팟자치구,대표자치구,카테고리,대분류,도로명주소,주소,전화번호,플레이스URL,데이터출처,장소_스트레스분류,장소_해결태그,힐링점수,평균힐링점수,매칭가능_기본태그,매칭가능_스트레스분류,매칭가능_cluster_label_alt,추천_크롤링태그,매칭가능여부,매칭키워드수
뚝섬한강공원 편백나무숲,37.5297994313869,127.068697585335,광진구,광진구,여행 > 공원시설물,여행,,,,http://place.map.kakao.com/1675031942,카카오,교통,산책하기 좋은 곳,100.0,100.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책|한강|숲,True,4
가을단풍길(상계근린공원내산책로),37.6700062,127.0500989,노원구,노원구,지역명소>계절거리,지역명소,서울특별시 노원구 상계동 620,서울특별시 노원구 상계동 620,,,네이버,교통,산책로,100.0,100.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책|역,True,3
강서한강공원자전거대여소,37.5850931,126.820422,강서구,강서구,"임대,대여>자전거","임대,대여",서울특별시 강서구,,,,네이버,환경|교통,한강공원,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강|자전거,True,3
경춘선숲길,37.6223193,127.0883919,노원구,노원구,지역명소>도보코스,지역명소,서울특별시 노원구 공릉동 93-4,,,,네이버,환경|교통,산책로,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|산책|역,True,3
관악산공원 무장애숲길 무장애탐방구간,37.45487201075443,126.94780660943904,관악구,관악구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26564369,카카오,환경|교통,서울숲|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|산책,True,3
난지한강공원,37.5670399093241,126.875607758973,강서구,강서구,여행 > 공원 > 도시근린공원,여행,,,02-3780-0611,http://place.map.kakao.com/8126938,카카오,환경|교통,한강공원|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책|한강,True,3
대모산숲속야생화원,37.4805020972398,127.078407263089,강남구,강남구,여행 > 공원,여행,,,,http://place.map.kakao.com/1958242130,카카오,교통,산책하기 좋은 곳,100.0,100.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책|숲,True,3
뚝섬한강공원,37.5292974433415,127.06892112991,강남구,강남구,여행 > 공원 > 도시근린공원,여행,,,02-3780-0521,http://place.map.kakao.com/8136085,카카오,환경|교통,한강공원|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책|한강,True,3
망원 한강공원,37.5553018,126.8952798,마포구,마포구,"여행,명소>시민공원","여행,명소",서울특별시 마포구 마포나루길 467 한강공원망원지구사무소,,,http://hangang.seoul.go.kr/archives/46737,네이버,안전|환경|교통,야경|한강공원|산책로,100.0,99.33333333333333,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책|한강,True,3
매헌시민의숲,37.4709233091882,127.035871693026,서초구,서초구,여행 > 공원 > 도시근린공원,여행,서울 서초구 매헌로 99,,02-575-3895,http://place.map.kakao.com/11345935,카카오,환경|교통,공원|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|산책,True,3
문래동꽃밭정원,37.5177698,126.8987515,구로구,구로구,"여행,명소>근린공원","여행,명소",,,,,네이버,환경,산책로,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|산책|정원,True,3
반포한강공원,37.51081992690844,126.99716104081192,강남구|서초구,강남구,여행 > 공원 > 도시근린공원,여행,,,02-3780-0541,http://place.map.kakao.com/8142957,카카오,환경|교통,한강공원|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책|한강,True,3
북서울꿈의숲,37.62360650548208,127.04157251496886,강북구,강북구,여행 > 공원 > 도시근린공원,여행,서울 강북구 월계로 173,,02-2289-4000,http://place.map.kakao.com/11321061,카카오,환경|교통,공원|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|산책,True,3
북한산체험형숲속쉼터,37.63571571910313,127.0060952704772,강북구,강북구,여행 > 공원,여행,,,,http://place.map.kakao.com/385130715,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|쉼터,True,3
북한산체험형숲속쉼터,37.6357324,127.00612,강북구,강북구,"레져,체육시설>공원","레져,체육시설",,,,,네이버,안전,쉼터,100.0,100.0,안전취약,안전|교통|환경,안전+교통 취약형|환경+안전 취약형,쉼터|공원|숲,True,3
빨래골숲어울쉼터,37.6275795783678,127.009651680874,강북구,강북구,여행 > 공원,여행,,,,http://place.map.kakao.com/1971768663,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|쉼터,True,3
사단법인 사람숲,37.5708585,126.9798224,종로구,종로구,"사회,복지>시민단체","사회,복지",서울특별시 종로구 종로 19,,,http://www.saramforest.org/,네이버,환경,생태공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|사람,True,3
삼청공원숲속도서관,37.58856603956408,126.9840015215778,종로구,종로구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 종로구 북촌로 134-3,,02-734-3900,http://place.map.kakao.com/23815933,카카오,소음|환경,도서관|서울숲,100.0,100.0,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|도서관,True,3
생명의숲정원,37.4922558,126.9183601,동작구,동작구,"여행,명소>식물원,수목원","여행,명소",서울특별시 동작구 여의대방로20나길 27 보라매공원 놀이터화장실,,,,네이버,환경,수목원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|정원,True,3
서울둘레길 6코스 한강을 따라 펼쳐지는 역사길,37.56115706317155,127.13208335774334,강동구,강동구,"여행 > 관광,명소 > 도보여행 > 둘레길 > 서울둘레길",여행,,,02-779-7902,http://place.map.kakao.com/26558422,카카오,교통,산책하기 좋은 곳,100.0,100.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,산책|역|한강,True,3
서울명예도로 노벨길(경의선숲길 홍대입구역방면),37.55745649014531,126.9267794030394,마포구,마포구,"여행 > 관광,명소 > 도보여행",여행,서울 마포구 양화로 지하 188,,,http://place.map.kakao.com/1577869384,카카오,환경|교통,서울숲|산책하기 좋은 곳,100.0,94.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|산책|역,True,3
서울숲,37.5443222301513,127.037617759165,강남구|광진구,강남구,여행 > 공원 > 도시근린공원,여행,,,02-460-2905,http://place.map.kakao.com/11331488,카카오,환경|교통,서울숲|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|산책,True,3
서울숲 꿀벌정원,37.5418074658339,127.040565255834,성동구,성동구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/396249902,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|정원,True,3
서울숲 바람의언덕,37.5437319064063,127.035245720315,성동구,성동구,여행 > 공원시설물,여행,,,02-460-2905,http://place.map.kakao.com/18059792,카카오,교통,산책하기 좋은 곳,100.0,100.0,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책|숲,True,3
서울숲 윈터숲벤치정원,37.5439645,127.0387524,성동구,성동구,"여행,명소>도시,테마공원","여행,명소",서울특별시 성동구,,,,네이버,환경|교통,도시숲,100.0,99.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|정원,True,3
서울숲공원산책길,37.54381745677229,127.03828286146076,강남구|동대문구,강남구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26563608,카카오,환경|교통,산책 공원|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|산책,True,3
서울식물원 열린숲정원,37.5648699697948,126.831717248636,강서구,강서구,여행 > 공원,여행,서울 강서구 마곡동로 161,,,http://place.map.kakao.com/596563010,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|정원,True,3
서울역 옥상정원,37.5559950992877,126.970219344698,중구,중구,여행 > 공원,여행,서울 중구 한강대로 405,,,http://place.map.kakao.com/1645114728,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강|정원,True,3
서울테마산책길 서울숲 공원길,37.54456001435444,127.03786682380787,강남구|성동구,강남구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/279941437,카카오,환경|교통,산책 공원|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|산책,True,3
스타벅스 어린이대공원역점,37.551946,127.076404,광진구,광진구,"카페,디저트>카페","카페,디저트",서울특별시 광진구 능동로 243 (군자동),서울특별시 광진구 군자동 236,,http://www.starbucks.co.kr/,네이버,교통|소음,조용한 카페,100.0,100.0,소음취약|교통취약,소음|교통|안전|환경,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형,조용한 카페|공원|역,True,3
어린이대공원역 스마트도서관,37.5477511749119,127.074288402035,광진구,광진구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",,,,http://place.map.kakao.com/2092218913,카카오,소음,도서관,100.0,100.0,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|공원|역,True,3
여의도한강공원,37.52638860108943,126.93512931714196,동작구,동작구,여행 > 공원 > 도시근린공원,여행,,,02-3780-0561,http://place.map.kakao.com/10952963,카카오,환경|교통,한강공원|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책|한강,True,3
연희숲속쉼터,37.5802993,126.9390247,서대문구,서대문구,"레져,체육시설>공원","레져,체육시설",,,,,네이버,안전,쉼터,100.0,100.0,안전취약,안전|교통|환경,안전+교통 취약형|환경+안전 취약형,쉼터|공원|숲,True,3
연희숲속쉼터,37.5803485716349,126.938712074304,서대문구,서대문구,여행 > 공원,여행,,,,http://place.map.kakao.com/26092906,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|쉼터,True,3
연희숲속쉼터 벚꽃마당,37.5804678325333,126.939350487736,서대문구,서대문구,여행 > 공원,여행,,,,http://place.map.kakao.com/1814496844,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|쉼터,True,3
용산공원갤러리앞자전거대여소,37.5393347,126.973181,중구|용산구,중구,"임대,대여>자전거","임대,대여",서울특별시 용산구 한강로1가,,,,네이버,환경|교통,한강공원|따릉이,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강|자전거,True,3
용산어린이정원,37.5273707,126.9727248,용산구,용산구,"여행,명소>근린공원","여행,명소",서울특별시 용산구 한강대로38길 21,,,https://youtube.com/@yongsanchildrengarden,네이버,환경,정원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강|정원,True,3
잠원한강공원,37.5273338139916,127.019046713623,강남구,강남구,여행 > 공원 > 도시근린공원,여행,,,02-3780-0531,http://place.map.kakao.com/17384905,카카오,환경|교통,공원|산책하기 좋은 곳,100.0,100.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책|한강,True,3
잠원한강공원 꿀벌숲,37.5296579740764,127.021518159466,강남구,강남구,여행 > 공원,여행,,,02-3780-0849,http://place.map.kakao.com/343989892,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|한강,True,3
잠원한강공원자전거대여소,37.5265516,127.0175299,강남구,강남구,"임대,대여>자전거","임대,대여",서울특별시 강남구 올림픽대로 2395,,,,네이버,환경|교통,한강공원,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강|자전거,True,3
제이홉숲 벤치정원,37.5439233,127.0383954,성동구,성동구,"여행,명소>도시,테마공원","여행,명소",서울특별시 성동구 성수동1가 720,,,,네이버,환경|교통,도시숲,100.0,99.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|정원,True,3
책달샘숲속작은도서관,37.46928511297083,126.90861464833976,금천구|관악구,금천구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",,,02-2104-5733,http://place.map.kakao.com/172186217,카카오,소음|환경,도서관|생태공원,100.0,99.0,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|도서관,True,3
하늘숲정원,37.5662319868047,126.803534520836,강서구,강서구,여행 > 공원,여행,,,,http://place.map.kakao.com/17419435,카카오,환경,서울숲,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|정원,True,3
한강대교 주민쉼터,37.522804116633,126.96111927074,용산구,용산구,여행 > 공원,여행,,,,http://place.map.kakao.com/57448298,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강|쉼터,True,3
한국숲정원 (2026년 예정),37.5428306734335,126.995454592382,용산구,용산구,여행 > 공원,여행,,,,http://place.map.kakao.com/1228046161,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|정원,True,3
CU 서울숲공원2호점,37.5413533,127.039981,성동구,성동구,"생활,편의>편의점","생활,편의",서울특별시 성동구,,,https://cu.bgfretail.com/,네이버,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
N서울타워,37.5512168,126.9882475,용산구,용산구,"여행,명소>전망대","여행,명소",서울특별시 용산구 남산공원길 105,,,https://www.nseoultower.co.kr/,네이버,안전|환경|교통,야경|산책로,100.0,93.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
갓잇 용산점,37.5310589,126.970286,용산구,용산구,"음식점>멕시코,남미음식",음식점,서울특별시 용산구 한강대로44길 6 1F GODEAT,,,https://www.instagram.com/godeat_official/,네이버,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
강서 한강공원,37.5879036,126.815155,강서구,강서구,"여행,명소>시민공원","여행,명소",서울특별시 강서구 방화동 2-32,,,http://hangang.seoul.go.kr/archives/46788,네이버,환경|교통,한강공원,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
강서 한강공원가족피크닉장,37.5836092,126.8237869,강서구,강서구,"도시,테마공원>부속시설","도시,테마공원",서울특별시 강서구,,,,네이버,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
강서 한강공원강서습지생태공원입구,37.5886257,126.8124333,강서구,강서구,도로시설>방면정보,도로시설,,,,,네이버,환경,생태공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
강서둘레길1코스(개화산숲길),37.5823728,126.8074532,강서구,강서구,"여행,명소>도보코스","여행,명소",서울특별시 강서구 개화동 산83-3,,,,네이버,환경|교통|소음,산책로|산책코스,100.0,99.0,환경취약|소음취약|교통취약,환경|소음|교통|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|산책,True,2
강서둘레길2코스(공원길),37.5794001,126.8185437,강서구,강서구,"여행,명소>도보코스","여행,명소",,,,,네이버,환경|소음,산책코스,100.0,99.5,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
강서한강공원 인공암벽장,37.583362478555244,126.82283123851072,강서구,강서구,"스포츠,레저 > 클라이밍","스포츠,레저",,,,http://place.map.kakao.com/1756311380,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
강서한강공원강서습지생태공원,37.5867077,126.8182416,강서구,강서구,"여행,명소>자연,생태공원","여행,명소",서울특별시 강서구,,,,네이버,환경|교통,한강공원,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
