장소_해결태그,장소명,lat,lon,힐링스팟자치구,카테고리,대분류,도로명주소,주소,전화번호,플레이스URL,데이터출처,장소_스트레스분류,매칭가능_기본태그,매칭가능_스트레스분류,매칭가능_cluster_label_alt,추천_크롤링태그,매칭가능여부,매칭키워드수
공원,잠원한강공원 꿀벌숲,37.5296579740764,127.021518159466,강남구,여행 > 공원,여행,서울 강남구 논현로79길 24,,02-3780-0849,http://place.map.kakao.com/343989892,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|한강,True,3
공원|산책하기 좋은 곳,잠원한강공원,37.5273338139916,127.019046713623,강남구,여행 > 공원 > 도시근린공원,여행,,,02-3780-0531,http://place.map.kakao.com/17384905,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책|한강,True,3
공원|조용한 카페,노티드 스튜디오 청담,37.5241929,127.0383006,강남구,"음식점>카페,디저트>카페",음식점,서울특별시 강남구 도산대로53길 15 1층,서울특별시 강남구 신사동 654-9 1층,,https://smartstore.naver.com/cafeknotted,네이버,교통|소음,소음취약|교통취약,소음|교통|안전|환경,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형,조용한 카페|공원,True,2
도서관,숲도서관,37.4797507115378,127.052228778978,강남구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 강남구 개포로 264,,070-4114-0580,http://place.map.kakao.com/1062806186,카카오,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|숲,True,2
도시숲,도시의작은숲,37.5018341,127.0676889,강남구,"레져,체육시설>공원","레져,체육시설",서울특별시 강남구 대치동,,,http://ramoo.kr,네이버,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
복합문화공간,도산공원 도산안창호기념관,37.5239206199026,127.035507899928,강남구,"문화,예술 > 문화시설 > 기념관","문화,예술",서울 강남구 도산대로45길 20,,02-541-1800,http://place.map.kakao.com/12728828,카카오,안전,,안전|교통|환경,안전+교통 취약형|환경+안전 취약형,공원,True,1
북카페,놀숲 강남역점,37.50098127819602,127.02796403633766,강남구,"가정,생활 > 여가시설 > 만화방 > 만화카페 > 놀숲","가정,생활",서울 강남구 강남대로98길 17,,02-558-5846,http://place.map.kakao.com/798713718,카카오,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,숲|역,True,2
산책 공원|산책하기 좋은 곳,서울숲공원산책길,37.54381745677229,127.03828286146076,강남구|동대문구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26563608,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|산책,True,3
산책로,마루공원산책로,37.4968338,127.0812313,강남구,"도시,테마공원>부속시설","도시,테마공원",서울특별시 강남구 선릉로100길 1,,,https://royal.khs.go.kr/royaltombs,네이버,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
산책하기 좋은 곳,대모산숲속야생화원,37.4805020972398,127.078407263089,강남구,여행 > 공원,여행,서울 강남구 선릉로100길 1,,02-568-1291,http://place.map.kakao.com/1958242130,카카오,교통,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책|숲,True,3
서울숲,서울숲 한강 전망대,37.5379147526231,127.041694615485,강남구,"여행 > 관광,명소 > 전망대",여행,서울특별시 강남구 강남대로 624,,,http://place.map.kakao.com/1889582026,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|한강,True,2
서울숲|산책하기 좋은 곳,서울숲,37.5443222301513,127.037617759165,강남구|광진구,여행 > 공원 > 도시근린공원,여행,,,02-460-2905,http://place.map.kakao.com/11331488,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|산책,True,3
