자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL
강남구,안전,키워드:사람,유라멘 강남신논현역본점,음식점>일식>일본식라면,서울특별시 강남구 봉은사로4길 32 지상1층 유라멘,127.026709,37.5027824,,https://catchtable.co.kr/u-ramen
강남구,안전,키워드:사람,사람사는 고깃집 김일도 도곡점,"한식>육류,고기요리",서울특별시 강남구 논현로30길 38,127.0448694,37.4845774,,https://www.gorillafnd.co.kr/
강남구,안전,키워드:사람,사람사는고깃집김일도 뱅뱅점,"한식>육류,고기요리",서울특별시 강남구 도곡로3길 13 1층,127.0328401,37.4910995,,http://gorillafnd.co.kr
강남구,안전,키워드:사람,메루치양식장 강남점,"스포츠,오락>스포츠시설",서울특별시 강남구 봉은사로57길 42 지하1층,127.0443836,37.5134988,,https://url.kr/f249bi
강남구,안전,키워드:번화가,강남역거리,"여행,명소>거리,골목",,127.0289439,37.4992276,,
강남구,안전,키워드:백화점,현대백화점 무역센터점,"쇼핑,유통>백화점",서울특별시 강남구 테헤란로 517,127.0599078,37.5085856,,https://www.ehyundai.com/newPortal/index.do
강남구,안전,키워드:백화점,현대백화점 압구정본점,"쇼핑,유통>백화점",서울특별시 강남구 압구정로 165 현대백화점압구정본점,127.0273914,37.527443,,http://www.ehyundai.com/newPortal/DP/DP000000_V.do?branchCd=B00121000
강남구,안전,키워드:백화점,갤러리아백화점 명품관 WEST,"쇼핑,유통>백화점",서울특별시 강남구 압구정로 343 갤러리아 명품관WEST,127.0401668,37.5284675,,http://dept.galleria.co.kr/
강남구,안전,키워드:백화점,코지라멘 선릉본점,음식점>일식>일본식라면,서울특별시 강남구 선릉로86길 6-4 지상 1층,127.050407,37.502876,,https://blog.naver.com/cozyramen
강남구,안전,키워드:백화점,롯데백화점 강남점,"쇼핑,유통>백화점",서울특별시 강남구 도곡로 401 롯데백화점,127.0533431,37.4969364,,https://www.lotteshopping.com/store/main?cstrCd=0013
강남구,안전,키워드:복합문화공간,위글위글집 도산,"문화,예술>복합문화공간",서울특별시 강남구 언주로168길 31,127.0363006,37.5260905,,https://wiggle-wiggle.com/
강남구,안전,키워드:복합문화공간,일상비일상의틈byU+,"문화,예술>복합문화공간",서울특별시 강남구 강남대로 426,127.0267823,37.5005331,,https://www.instagram.com/daily_teum/
