자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL
강남구,안전,키워드:대형 쇼핑몰,스타필드 코엑스몰,"가정,생활 > 복합쇼핑몰",서울 강남구 영동대로 513,127.05813242827703,37.51292301614309,02-6002-5300,http://place.map.kakao.com/8558184
강남구,안전,키워드:대형 쇼핑몰,이터널저니 강남,"가정,생활 > 복합쇼핑몰",서울 강남구 도산대로30길 33-1,127.030475826401,37.5177636707015,,http://place.map.kakao.com/237794926
강남구,안전,키워드:대형 쇼핑몰,더샵스앳센터필드,"가정,생활 > 복합쇼핑몰",서울 강남구 테헤란로 231,127.04169822512,37.5037451181962,1833-0000,http://place.map.kakao.com/103548378
강남구,안전,키워드:대형 쇼핑몰,에듀카프,"가정,생활 > 복합쇼핑몰",서울 강남구 압구정로30길 63,127.02915902325,37.5232484081399,02-545-1730,http://place.map.kakao.com/812149257
강남구,안전,키워드:백화점,현대백화점 무역센터점,"가정,생활 > 백화점 > 현대백화점",서울 강남구 테헤란로 517,127.05977475920854,37.508651435836725,02-552-2233,http://place.map.kakao.com/18384587
강남구,안전,키워드:백화점,롯데백화점 강남점,"가정,생활 > 백화점 > 롯데백화점",서울 강남구 도곡로 401,127.053281143657,37.496959490738,1577-0001,http://place.map.kakao.com/7863067
강남구,안전,키워드:백화점,현대백화점 압구정본점,"가정,생활 > 백화점 > 현대백화점",서울 강남구 압구정로 165,127.0274681898568,37.52737270067088,02-547-2233,http://place.map.kakao.com/21297272
강남구,안전,키워드:백화점,갤러리아백화점 WEST점,"가정,생활 > 백화점 > 갤러리아백화점",서울 강남구 압구정로 343,127.04014394421372,37.52842774945761,02-3449-4114,http://place.map.kakao.com/11268763
강남구,안전,키워드:백화점,갤러리아백화점 EAST점,"가정,생활 > 백화점 > 갤러리아백화점",서울 강남구 압구정로 407,127.0418814074669,37.52797664522159,02-3449-4114,http://place.map.kakao.com/9766149
강남구,안전,키워드:백화점,하우스오브신세계 청담,"가정,생활 > 백화점",서울 강남구 도산대로 442,127.044118670294,37.5233113425954,1588-1234,http://place.map.kakao.com/398041684
강남구,안전,키워드:백화점,캉카스백화점 강남메종,"가정,생활 > 백화점",서울 강남구 봉은사로 455,127.04926079355236,37.51218101776717,1544-9559,http://place.map.kakao.com/26859664
