GU_NAME,DATE,daily_rain_mm,max_hour_rain,gauge_count,YEAR,MONTH
강남구,2020-07-01,0.0,0.0,3,2020,7
강동구,2020-07-01,0.0,0.0,2,2020,7
강북구,2020-07-01,0.0,0.0,1,2020,7
강서구,2020-07-01,0.25,0.5,2,2020,7
관악구,2020-07-01,0.0,0.0,2,2020,7
광진구,2020-07-01,0.0,0.0,1,2020,7
구로구,2020-07-01,0.0,0.0,2,2020,7
금천구,2020-07-01,0.25,0.5,2,2020,7
노원구,2020-07-01,0.0,0.0,1,2020,7
도봉구,2020-07-01,0.0,0.0,1,2020,7
동대문구,2020-07-01,0.25,0.5,2,2020,7
동작구,2020-07-01,0.0,0.0,2,2020,7
마포구,2020-07-01,0.25,0.5,2,2020,7
서대문구,2020-07-01,0.5,0.5,1,2020,7
서초구,2020-07-01,0.0,0.0,2,2020,7
성동구,2020-07-01,0.0,0.0,2,2020,7
성북구,2020-07-01,0.0,0.0,2,2020,7
송파구,2020-07-01,0.0,0.0,2,2020,7
양천구,2020-07-01,0.25,0.5,2,2020,7
영등포구,2020-07-01,0.25,0.5,2,2020,7
용산구,2020-07-01,0.0,0.0,2,2020,7
은평구,2020-07-01,0.16666666666666666,0.5,3,2020,7
종로구,2020-07-01,0.25,0.5,2,2020,7
중구,2020-07-01,0.0,0.0,2,2020,7
중랑구,2020-07-01,0.0,0.0,2,2020,7
강남구,2020-07-02,0.0,0.0,3,2020,7
강동구,2020-07-02,0.0,0.0,2,2020,7
강북구,2020-07-02,0.0,0.0,1,2020,7
강서구,2020-07-02,0.0,0.0,2,2020,7
관악구,2020-07-02,0.0,0.0,2,2020,7
광진구,2020-07-02,0.0,0.0,1,2020,7
구로구,2020-07-02,0.0,0.0,2,2020,7
금천구,2020-07-02,0.0,0.0,2,2020,7
노원구,2020-07-02,1.0,2.0,2,2020,7
도봉구,2020-07-02,0.0,0.0,1,2020,7
동대문구,2020-07-02,0.0,0.0,2,2020,7
동작구,2020-07-02,0.0,0.0,2,2020,7
마포구,2020-07-02,0.0,0.0,2,2020,7
서대문구,2020-07-02,0.0,0.0,1,2020,7
서초구,2020-07-02,0.0,0.0,2,2020,7
성동구,2020-07-02,0.0,0.0,2,2020,7
성북구,2020-07-02,0.0,0.0,2,2020,7
송파구,2020-07-02,0.0,0.0,2,2020,7
양천구,2020-07-02,0.0,0.0,2,2020,7
영등포구,2020-07-02,0.0,0.0,2,2020,7
용산구,2020-07-02,0.0,0.0,2,2020,7
은평구,2020-07-02,0.0,0.0,3,2020,7
종로구,2020-07-02,0.0,0.0,2,2020,7
중구,2020-07-02,0.0,0.0,2,2020,7
중랑구,2020-07-02,0.0,0.0,2,2020,7
강남구,2020-07-03,0.0,0.0,3,2020,7
강동구,2020-07-03,0.0,0.0,2,2020,7
강북구,2020-07-03,0.0,0.0,1,2020,7
강서구,2020-07-03,0.5,0.5,2,2020,7
관악구,2020-07-03,0.25,0.5,2,2020,7
광진구,2020-07-03,0.0,0.0,1,2020,7
구로구,2020-07-03,0.25,0.5,2,2020,7
금천구,2020-07-03,0.5,0.5,2,2020,7
노원구,2020-07-03,0.0,0.0,2,2020,7
도봉구,2020-07-03,0.0,0.0,1,2020,7
동대문구,2020-07-03,0.0,0.0,2,2020,7
동작구,2020-07-03,0.25,0.5,2,2020,7
마포구,2020-07-03,0.0,0.0,2,2020,7
서대문구,2020-07-03,0.0,0.0,1,2020,7
서초구,2020-07-03,0.0,0.0,2,2020,7
성동구,2020-07-03,0.0,0.0,2,2020,7
성북구,2020-07-03,0.0,0.0,2,2020,7
송파구,2020-07-03,0.0,0.0,2,2020,7
양천구,2020-07-03,0.5,0.5,2,2020,7
영등포구,2020-07-03,0.25,0.5,2,2020,7
용산구,2020-07-03,0.0,0.0,2,2020,7
은평구,2020-07-03,0.3333333333333333,1.0,3,2020,7
종로구,2020-07-03,0.0,0.0,2,2020,7
중구,2020-07-03,0.0,0.0,2,2020,7
중랑구,2020-07-03,0.0,0.0,2,2020,7
강남구,2020-07-04,1.8333333333333333,1.0,3,2020,7
강동구,2020-07-04,2.0,1.0,2,2020,7
강북구,2020-07-04,1.5,1.0,1,2020,7
강서구,2020-07-04,1.5,1.0,2,2020,7
관악구,2020-07-04,1.25,1.0,2,2020,7
광진구,2020-07-04,2.0,1.0,1,2020,7
구로구,2020-07-04,1.25,1.0,2,2020,7
금천구,2020-07-04,1.25,1.0,2,2020,7
노원구,2020-07-04,1.5,0.5,2,2020,7
도봉구,2020-07-04,1.5,0.5,1,2020,7
동대문구,2020-07-04,2.0,1.0,2,2020,7
동작구,2020-07-04,1.5,1.0,2,2020,7
마포구,2020-07-04,2.0,1.5,2,2020,7
서대문구,2020-07-04,2.0,1.5,1,2020,7
서초구,2020-07-04,1.5,1.0,2,2020,7
성동구,2020-07-04,1.75,1.0,2,2020,7
성북구,2020-07-04,1.75,1.0,2,2020,7
송파구,2020-07-04,1.75,1.0,2,2020,7
양천구,2020-07-04,1.25,1.0,2,2020,7
영등포구,2020-07-04,1.0,0.5,2,2020,7
용산구,2020-07-04,1.75,1.0,2,2020,7
은평구,2020-07-04,1.8333333333333333,1.0,3,2020,7
종로구,2020-07-04,1.0,1.0,2,2020,7
중구,2020-07-04,1.5,1.0,2,2020,7
중랑구,2020-07-04,2.0,1.0,2,2020,7
강남구,2020-07-05,0.0,0.0,3,2020,7
강동구,2020-07-05,0.0,0.0,2,2020,7
강북구,2020-07-05,0.0,0.0,1,2020,7
강서구,2020-07-05,0.0,0.0,2,2020,7
관악구,2020-07-05,0.0,0.0,2,2020,7
광진구,2020-07-05,0.0,0.0,1,2020,7
구로구,2020-07-05,0.0,0.0,2,2020,7
금천구,2020-07-05,0.0,0.0,2,2020,7
노원구,2020-07-05,0.0,0.0,2,2020,7
도봉구,2020-07-05,0.0,0.0,1,2020,7
동대문구,2020-07-05,0.0,0.0,2,2020,7
동작구,2020-07-05,0.0,0.0,2,2020,7
마포구,2020-07-05,0.0,0.0,2,2020,7
서대문구,2020-07-05,0.0,0.0,1,2020,7
서초구,2020-07-05,0.0,0.0,2,2020,7
성동구,2020-07-05,0.0,0.0,2,2020,7
성북구,2020-07-05,0.0,0.0,2,2020,7
송파구,2020-07-05,0.0,0.0,2,2020,7
양천구,2020-07-05,0.0,0.0,2,2020,7
영등포구,2020-07-05,0.0,0.0,2,2020,7
용산구,2020-07-05,0.0,0.0,2,2020,7
은평구,2020-07-05,0.0,0.0,3,2020,7
종로구,2020-07-05,0.0,0.0,2,2020,7
중구,2020-07-05,0.0,0.0,2,2020,7
중랑구,2020-07-05,0.0,0.0,2,2020,7
강남구,2020-07-06,0.0,0.0,3,2020,7
강동구,2020-07-06,0.0,0.0,2,2020,7
강북구,2020-07-06,0.0,0.0,1,2020,7
강서구,2020-07-06,0.0,0.0,2,2020,7
관악구,2020-07-06,0.0,0.0,2,2020,7
광진구,2020-07-06,0.0,0.0,1,2020,7
