YEAR,MONTH,GU_NAME,월강수량_mm,일평균강수량_mm,최대일강수량_mm,강수일수,최대시간강수량_mm
2020,7,강남구,277.16666666666663,8.940860215053762,102.83333333333333,10,26.0
2020,7,강동구,259.25,8.362903225806452,78.0,14,27.0
2020,7,강북구,238.0,7.67741935483871,91.0,13,16.5
2020,7,강서구,208.25,6.717741935483871,80.5,12,21.0
2020,7,관악구,284.0,9.161290322580646,100.25,12,26.5
2020,7,광진구,279.5,9.016129032258064,89.5,12,23.5
2020,7,구로구,246.5,7.951612903225806,78.0,13,31.5
2020,7,금천구,252.25,8.137096774193548,87.0,12,29.0
2020,7,노원구,271.25,8.75,97.0,14,38.5
2020,7,도봉구,248.0,8.0,82.0,14,23.5
2020,7,동대문구,250.75,8.088709677419354,95.75,12,20.0
2020,7,동작구,281.25,9.07258064516129,107.0,10,25.5
2020,7,마포구,195.0,6.290322580645161,47.0,12,27.5
2020,7,서대문구,244.5,7.887096774193548,97.0,14,25.0
2020,7,서초구,300.0,9.67741935483871,118.75,11,28.0
2020,7,성동구,231.75,7.475806451612903,87.0,11,19.5
2020,7,성북구,253.5,8.17741935483871,94.5,14,19.0
2020,7,송파구,229.25,7.395161290322581,76.25,10,23.5
2020,7,양천구,238.5,7.693548387096774,80.5,11,26.5
2020,7,영등포구,233.5,7.783333333333333,83.75,11,28.0
2020,7,용산구,240.25,7.75,97.25,10,25.0
2020,7,은평구,213.0,6.870967741935484,77.0,13,22.5
2020,7,종로구,128.75,4.153225806451613,48.25,11,23.0
2020,7,중구,262.0,8.451612903225806,103.25,12,25.5
2020,7,중랑구,249.75,8.056451612903226,95.25,13,26.5
2020,8,강남구,680.3333333333334,21.946236559139788,102.33333333333333,17,44.0
2020,8,강동구,742.5,23.951612903225808,99.0,18,37.0
2020,8,강북구,722.0,23.29032258064516,125.5,18,37.5
2020,8,강서구,541.75,17.475806451612904,83.0,19,28.0
2020,8,관악구,628.5,20.274193548387096,94.5,16,38.5
2020,8,광진구,663.5,21.403225806451612,98.0,18,26.0
2020,8,구로구,556.0,17.93548387096774,87.75,17,30.0
2020,8,금천구,635.5,20.5,93.75,17,37.0
2020,8,노원구,806.25,26.008064516129032,130.75,18,38.5
2020,8,도봉구,806.5,26.016129032258064,137.5,18,29.5
2020,8,동대문구,766.75,24.733870967741936,114.0,17,29.5
2020,8,동작구,612.75,19.766129032258064,95.0,17,30.5
2020,8,마포구,529.0,17.633333333333333,89.0,18,32.0
2020,8,서대문구,611.0,19.70967741935484,94.5,19,37.5
2020,8,서초구,693.75,22.379032258064516,103.5,18,46.0
2020,8,성동구,604.75,19.508064516129032,92.75,17,29.0
2020,8,성북구,719.75,23.217741935483872,115.75,18,34.5
2020,8,송파구,703.25,22.68548387096774,92.25,18,38.0
2020,8,양천구,562.75,18.153225806451612,102.25,17,30.5
2020,8,영등포구,552.25,17.81451612903226,97.0,16,25.5
2020,8,용산구,595.75,19.217741935483872,93.5,16,28.0
2020,8,은평구,746.6666666666666,24.88888888888889,114.16666666666667,17,68.0
2020,8,종로구,584.0,18.838709677419356,95.25,17,33.0
2020,8,중구,647.75,20.89516129032258,95.75,17,26.5
2020,8,중랑구,749.0,24.161290322580644,107.0,17,37.0
2020,9,강남구,167.16666666666669,5.764367816091955,53.833333333333336,10,16.5
2020,9,강동구,159.25,5.308333333333334,52.75,10,17.0
2020,9,강북구,133.5,4.45,49.0,7,15.5
2020,9,강서구,146.75,4.891666666666667,60.0,9,12.5
2020,9,관악구,168.75,5.625,64.75,10,15.5
2020,9,광진구,155.5,7.404761904761905,57.0,7,17.5
2020,9,구로구,176.25,5.875,65.25,10,15.5
2020,9,금천구,161.0,5.366666666666666,61.75,10,14.0
2020,9,노원구,133.5,4.45,40.5,9,14.5
2020,9,도봉구,143.5,4.948275862068965,45.0,9,13.0
2020,9,동대문구,148.75,4.958333333333333,49.5,9,18.0
2020,9,동작구,159.75,5.325,62.5,8,12.0
2020,9,마포구,127.5,4.553571428571429,53.5,8,10.0
2020,9,서대문구,167.0,5.566666666666666,57.0,9,10.0
2020,9,서초구,166.5,7.928571428571429,59.25,9,16.0
2020,9,성동구,135.25,4.508333333333334,47.75,9,13.0
2020,9,성북구,152.5,5.083333333333333,55.5,9,17.5
2020,9,송파구,152.0,5.066666666666666,50.0,8,15.5
2020,9,양천구,169.75,5.658333333333333,58.25,9,15.5
2020,9,영등포구,157.75,5.258333333333334,60.0,9,13.5
