"구별","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
강남구,107,87,82,95,91,61,57,33,42,56
"",165,124,154,131,137,173,181,149,92,168
"",122,121,113,114,112,148,104,74,77,92
"",38,44,44,57,38,67,64,42,29,33
"",104,65,83,83,115,190,101,89,53,107
"",47,13,8,17,46,27,22,16,16,31
"",42,29,29,45,47,28,16,31,32,18
"",91,116,94,97,109,69,70,62,59,89
"",85,50,98,48,49,73,57,45,56,49
"",194,237,225,204,243,233,132,164,150,252
"",22,1,2,18,6,2,11,10,4,4
"",47,50,65,56,58,46,30,15,30,43
"",7,27,22,43,18,32,18,23,33,22
"",91,70,82,81,93,120,81,65,87,110
강동구,43,23,18,47,41,40,9,18,19,34
"",17,29,32,25,63,30,16,15,10,25
"",59,54,40,50,45,49,19,45,33,67
"",21,30,17,32,39,34,22,16,21,26
"",22,7,25,26,21,24,15,31,13,17
"",25,22,32,31,52,36,43,20,15,39
"",67,53,43,99,91,80,80,36,42,74
"",106,92,111,93,94,73,49,44,59,33
"",143,152,133,153,128,171,150,108,135,117
강북구,162,144,149,141,172,158,105,91,107,123
"",92,44,71,68,114,74,80,47,35,72
"",181,165,196,169,223,223,159,110,122,195
"",24,36,60,45,45,67,41,43,40,29
강서구,61,87,84,72,100,72,59,73,45,72
"",12,4,27,25,32,48,22,18,20,26
"",23,24,13,39,29,28,32,15,30,18
"",1,1,0,0,0,2,3,7,1,0
"",24,37,26,50,63,35,31,28,25,37
"",77,92,100,92,110,78,67,78,91,76
"",49,39,51,77,67,52,52,51,64,70
"",75,87,89,86,101,133,71,73,53,74
"",28,24,41,33,68,40,48,40,40,34
"",6,3,11,3,4,5,3,0,0,3
"",0,7,1,0,1,0,1,0,0,1
"",1,10,5,8,5,12,6,3,3,1
"",186,232,220,310,311,242,240,200,200,285
관악구,29,48,26,26,25,44,31,21,20,33
"",189,192,201,237,251,336,244,130,141,204
"",355,323,358,416,413,502,317,360,314,326
광진구,65,45,39,72,69,25,28,8,25,40
"",113,108,109,132,113,82,86,103,78,83
"",31,24,53,23,50,32,14,15,19,12
"",4,11,32,16,24,5,20,13,17,19
"",126,193,171,145,178,123,156,117,47,74
"",115,69,94,157,137,74,90,50,70,45
"",46,52,64,69,46,43,29,27,50,50
구로구,24,37,13,18,32,14,31,23,6,14
"",63,49,58,62,87,85,55,51,55,76
"",51,49,27,56,78,39,48,32,36,66
"",145,134,203,254,191,188,160,140,158,155
"",11,12,9,18,9,10,7,10,20,8
"",52,31,51,43,52,30,34,20,19,23
"",27,36,41,52,47,40,41,27,37,26
"",2,8,1,9,5,8,10,5,14,5
"",6,5,3,13,29,13,5,2,15,5
"",10,7,6,2,11,6,5,2,11,3
금천구,69,78,96,105,88,69,79,62,76,89
"",194,90,206,179,159,108,102,75,111,154
"",134,87,184,128,123,109,103,112,89,147
노원구,69,85,78,51,61,90,60,61,44,70
"",139,165,168,213,242,232,204,193,166,191
"",66,66,47,66,71,109,64,56,68,69
"",77,67,85,63,85,93,92,76,77,57
"",30,36,25,31,26,40,30,17,19,26
도봉구,63,117,105,97,113,85,79,121,96,101
"",92,90,68,100,117,75,105,86,57,87
"",50,84,81,111,89,124,79,53,65,55
"",95,84,98,124,87,145,92,83,102,134
동대문구,51,45,49,65,52,57,69,31,36,33
"",12,16,21,30,24,11,14,3,7,13
"",51,48,55,53,79,45,31,47,30,26
"",32,31,14,24,31,43,57,36,27,38
"",93,104,98,134,114,102,105,81,91,88
"",68,52,67,62,64,43,63,37,45,55
"",89,88,45,74,82,107,33,43,37,39
"",58,47,42,52,31,27,48,25,35,28
"",5,23,12,10,18,25,24,18,21,9
"",81,58,58,36,51,26,49,23,17,19
동작구,38,53,47,38,49,45,44,31,28,45
"",33,19,36,56,57,70,39,19,38,35
"",21,7,23,17,18,35,51,23,9,20
"",32,21,34,32,52,66,73,86,75,36
"",90,49,102,77,116,124,98,71,91,91
"",81,82,105,90,84,150,87,76,67,100
"",48,51,58,47,57,83,44,16,39,18
"",48,26,30,31,30,38,26,45,43,14
마포구,16,31,38,17,26,32,14,14,33,16
"",0,2,2,5,0,0,0,5,3,0
"",10,7,10,25,26,19,13,17,10,18
"",0,2,2,0,1,0,21,8,2,1
"",17,9,21,25,25,20,15,11,14,13
"",22,23,27,17,32,22,22,10,20,19
"",29,18,25,14,15,10,27,12,11,15
"",60,65,97,73,189,216,201,138,151,93
"",35,45,59,44,49,72,61,42,57,60
"",16,11,23,9,12,16,21,15,16,15
"",72,55,57,35,87,51,33,53,50,47
"",50,34,39,82,85,71,82,41,46,57
"",71,40,49,32,52,62,68,41,46,57
"",11,11,8,26,16,25,6,6,12,0
"",7,4,19,8,16,17,12,12,13,12
"",6,4,5,11,5,3,12,10,0,1
"",10,11,28,27,28,18,40,15,43,8
"",20,17,7,16,18,12,23,17,15,14
"",10,15,13,16,12,22,15,11,8,28
"",4,7,17,4,6,7,4,6,0,5
"",4,3,3,0,15,4,10,6,2,6
"",7,16,4,4,11,15,18,7,3,11
"",7,3,0,0,8,15,6,5,4,1
"",3,7,15,8,13,15,17,6,14,13
"",65,55,60,55,63,38,29,40,13,54
"",0,1,2,4,4,4,1,0,3,5
서대문구,24,30,24,20,39,26,19,40,17,43
"",6,1,3,0,4,20,5,4,1,3
"",0,1,6,3,4,1,2,1,1,1
"",24,14,18,19,22,14,10,8,8,26
"",1,3,6,2,6,3,7,1,1,3
"",3,3,2,0,0,2,2,3,11,2
"",32,26,35,39,27,35,29,29,22,46
"",21,26,27,11,41,18,29,29,27,24
"",1,5,1,4,2,11,4,2,14,4
"",53,57,52,35,59,26,55,30,44,42
"",0,4,1,1,0,10,1,0,3,3
"",1,0,0,0,0,5,1,0,0,3
"",17,32,38,38,35,39,45,42,25,47
"",12,4,1,4,7,8,1,1,3,3
"",0,0,6,8,7,3,2,2,1,2
"",1,2,3,7,7,9,10,6,6,8
"",0,2,0,0,3,5,0,3,3,0
"",12,8,7,1,0,5,4,4,8,9
"",95,61,52,85,65,31,61,37,43,45
"",101,76,76,62,93,55,53,33,40,60
서초구,8,34,13,29,52,10,15,11,17,17
"",111,129,154,150,179,207,194,125,163,143
"",81,85,62,95,130,171,80,98,76,107
"",190,184,152,166,188,340,137,115,124,154
"",8,8,19,18,47,22,20,5,12,23
"",54,78,102,111,130,65,52,42,49,79
"",2,4,8,13,23,6,4,3,5,4
"",26,24,26,22,27,18,10,34,41,18
"",23,2,17,14,35,23,11,47,11,23
"",32,39,78,84,72,82,44,42,34,36
성동구,68,50,45,36,61,41,50,28,28,50
"",14,3,15,8,6,8,4,3,8,2
"",26,12,6,13,32,35,37,16,16,26
"",10,9,13,12,5,4,7,6,12,8
"",5,1,12,5,3,8,4,6,5,1
"",52,87,60,38,83,51,63,57,26,65
"",111,104,112,70,65,46,49,48,39,55
"",41,12,18,19,28,42,18,15,8,10
"",57,32,47,49,57,35,31,8,32,46
"",27,15,40,15,18,13,25,7,13,38
"",8,13,22,28,22,9,6,2,18,3
"",21,16,29,18,42,22,19,7,18,15
"",57,33,73,37,26,53,49,56,61,68
"",18,6,12,3,11,9,2,5,5,2
성북구,18,32,16,22,40,27,24,25,9,36
"",12,33,26,18,21,19,6,20,16,16
"",3,4,8,3,13,8,7,1,2,6
"",1,5,2,2,1,0,1,0,1,1
"",2,4,1,3,1,1,1,7,9,6
"",1,3,7,6,6,4,1,2,8,1
"",7,0,3,1,3,0,0,0,2,4
"",2,1,0,4,1,2,1,1,0,5
"",1,0,1,1,0,0,7,1,0,1
"",0,1,1,2,6,0,1,0,0,0
"",0,4,1,0,9,1,1,3,1,3
"",0,1,1,3,3,3,1,2,4,9
