"구별","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
강남구,81,34,54,69,44,48,76,47,53,53,60,32
"",102,135,129,133,142,118,144,131,76,107,109,119
"",106,94,98,67,114,99,144,99,83,87,65,104
"",30,62,27,37,51,35,27,30,41,38,32,31
"",86,72,87,101,117,108,110,100,81,64,94,104
"",5,24,49,30,22,23,23,44,27,30,7,17
"",25,37,21,30,41,33,39,12,23,18,32,47
"",43,73,74,47,49,48,50,73,53,72,41,48
"",39,53,38,77,73,72,61,49,70,56,50,72
"",213,160,189,254,151,192,223,233,175,185,206,178
"",4,12,1,13,13,4,5,1,1,5,1,10
"",25,55,33,23,29,27,35,26,38,46,68,61
"",18,18,33,16,27,25,33,32,16,22,28,18
"",64,65,92,111,120,56,115,82,96,72,48,108
강동구,17,14,15,18,21,19,20,41,23,16,15,22
"",25,21,20,35,18,24,49,40,41,33,37,34
"",53,38,35,26,57,35,46,21,65,44,36,45
"",21,33,9,16,31,36,22,28,24,30,30,29
"",17,24,19,32,11,13,20,31,29,20,14,34
"",20,17,21,23,18,21,26,45,24,37,19,53
"",57,75,80,45,48,39,70,66,53,59,47,70
"",52,47,66,67,43,89,67,58,44,52,37,49
"",118,110,132,131,125,95,162,109,132,94,94,107
강북구,127,89,138,68,101,96,105,102,100,105,114,120
"",64,51,53,44,69,51,70,57,54,47,67,57
"",156,102,100,84,141,106,126,127,141,113,130,100
"",20,28,25,29,38,39,26,38,29,64,33,15
강서구,77,66,95,91,81,67,93,76,93,63,30,76
"",13,22,10,18,18,31,25,18,23,43,17,24
"",7,11,21,9,24,21,24,28,12,12,21,10
"",0,0,0,0,0,0,1,1,9,2,0,2
"",29,15,14,15,16,32,53,24,33,24,26,21
"",134,50,70,70,86,60,92,84,80,77,77,91
"",101,27,49,48,54,45,82,84,65,51,55,59
"",61,46,66,94,55,71,109,86,52,65,96,93
"",24,46,22,33,25,35,43,30,27,30,22,24
"",0,5,6,1,0,1,0,0,2,0,0,2
"",0,2,0,6,0,0,0,3,0,0,5,1
"",4,10,10,1,4,5,4,5,2,6,1,0
"",282,190,287,181,233,227,235,216,244,159,164,149
관악구,25,22,40,12,23,32,28,23,16,41,28,29
"",206,186,169,163,199,159,214,262,172,165,114,224
"",287,296,334,340,350,328,403,337,373,282,259,305
광진구,12,39,13,42,49,17,47,13,17,30,29,47
"",79,69,86,57,75,59,135,66,101,75,63,79
"",10,2,10,6,30,6,9,19,17,18,7,26
"",12,10,9,8,3,6,9,5,29,4,3,4
"",113,99,96,133,153,101,174,132,109,111,126,121
"",61,96,52,74,78,49,87,75,55,64,45,75
"",33,42,53,22,52,50,33,45,41,49,52,48
구로구,22,26,16,12,18,28,33,16,24,12,12,15
"",49,73,69,75,54,76,64,81,65,32,70,63
"",51,54,43,42,65,35,51,52,50,53,30,30
"",137,121,145,144,162,147,180,116,150,120,115,140
