"연도","월","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)","미세먼지농도(㎍/㎥)","초미세먼지농도(㎍/㎥)"
2022,1,0.033,0.0158,0.6834,0.0038,43.8009,28.379
2022,2,0.0274,0.026,0.5609,0.0033,40.2862,25.3082
2022,3,0.0278,0.0271,0.5105,0.0031,42.6626,21.6339
2022,4,0.0222,0.0409,0.4357,0.003,46.505,21.874
2022,5,0.0185,0.0467,0.3949,0.0029,35.0671,16.989
2022,6,0.0159,0.0343,0.364,0.0024,23.65,12.244
2022,7,0.0169,0.0355,0.3816,0.0025,25.6335,15.6023
2022,8,0.0161,0.029,0.3685,0.0026,20.7806,10.8845
2022,9,0.0181,0.0298,0.3827,0.0026,22.6391,11.0663
2022,10,0.0218,0.0223,0.4561,0.0028,25.7895,13.6371
2022,11,0.0293,0.0177,0.5952,0.0032,40.382,22.2287
2022,12,0.0284,0.015,0.545,0.0032,38.1368,18.9948
2023,1,0.0303,0.0156,0.6187,0.0032,48.4748,25.7513
2023,2,0.0306,0.0213,0.5772,0.0032,47.0432,30.1632
2023,3,0.0292,0.0321,0.5369,0.0033,69.3355,30.6839
2023,4,0.0208,0.0363,0.4285,0.0028,64.0353,21.6823
2023,5,0.0195,0.0388,0.4062,0.0029,39.4623,18.1748
2023,6,0.0169,0.0447,0.4173,0.0027,29.2933,16.9423
2023,7,0.0158,0.0339,0.3993,0.0027,26.5603,16.0803
2023,8,0.0147,0.0315,0.3847,0.0027,21.3255,12.5561
2023,9,0.0159,0.0295,0.4057,0.0027,20.919,10.9784
2023,10,0.0225,0.024,0.4765,0.0028,28.5974,14.9657
2023,11,0.0225,0.0219,0.4913,0.0027,30.8707,16.636
2023,12,0.0285,0.0174,0.5916,0.0028,36.3594,21.12
2024,1,0.0282,0.0182,0.6042,0.003,36.181,24.1477
2024,2,0.0251,0.0235,0.5421,0.0027,33.2403,22.4631
2024,3,0.0224,0.033,0.4376,0.0027,50.5235,21.4442
2024,4,0.0233,0.0399,0.4664,0.0029,52.0057,21.886
2024,5,0.0176,0.0415,0.3825,0.0027,31.5523,15.3897
2024,6,0.018,0.0517,0.3898,0.003,31.8387,17.576
2024,7,0.013,0.0337,0.3603,0.0023,20.8935,11.6729
2024,8,0.0144,0.04,0.3828,0.0024,24.4658,15.5594
2024,9,0.0141,0.0332,0.3614,0.0024,16.9893,9.2677
2024,10,0.0197,0.0243,0.4349,0.0026,23.5632,12.9826
2024,11,0.0244,0.0207,0.4846,0.003,29.566,16.386
2024,12,0.0242,0.0188,0.529,0.0032,35.1335,19.0226
