"gu_code","자치구","2201_ed","2201_rp","2201_fd","2202_ed","2202_rp","2202_fd","2203_ed","2203_rp","2203_fd","2204_ed","2204_rp","2204_fd","2205_ed","2205_rp","2205_fd","2206_ed","2206_rp","2206_fd","2207_ed","2207_rp","2207_fd","2208_ed","2208_rp","2208_fd","2209_ed","2209_rp","2209_fd","2210_ed","2210_rp","2210_fd","2211_ed","2211_rp","2211_fd","2212_ed","2212_rp","2212_fd","2301_ed","2301_rp","2301_fd","2302_ed","2302_rp","2302_fd","2303_ed","2303_rp","2303_fd","2304_ed","2304_rp","2304_fd","2305_ed","2305_rp","2305_fd","2306_ed","2306_rp","2306_fd","2307_ed","2307_rp","2307_fd","2308_ed","2308_rp","2308_fd","2309_ed","2309_rp","2309_fd","2310_ed","2310_rp","2310_fd","2311_ed","2311_rp","2311_fd","2312_ed","2312_rp","2312_fd","2401_ed","2401_rp","2401_fd","2402_ed","2402_rp","2402_fd","2403_ed","2403_rp","2403_fd","2404_ed","2404_rp","2404_fd","2405_ed","2405_rp","2405_fd","2406_ed","2406_rp","2406_fd","2407_ed","2407_rp","2407_fd","2408_ed","2408_rp","2408_fd","2409_ed","2409_rp","2409_fd","2410_ed","2410_rp","2410_fd","2411_ed","2411_rp","2411_fd","2412_ed","2412_rp","2412_fd"
"11110",종로구,1172,,14,1195,,15,1514,378,17,1362,305,15,1576,402,20,1477,379,10,1700,434,17,1587,350,18,1536,280,19,1560,261,13,1443,259,17,1623,272,16,1433,297,26,1218,215,15,1455,271,17,1423,315,19,1601,227,8,1592,273,15,1698,325,17,1593,338,17,1687,292,20,1476,289,16,1304,213,13,1524,291,18,1347,256,14,1205,238,16,1310,231,13,1407,284,18,1503,221,14,1573,344,22,1456,253,15,1694,226,11,1326,300,17,1285,242,21,1307,287,19,1414,224,17
"11140",중구,1327,,20,1242,,25,1482,300,16,1229,250,15,1376,310,12,1409,291,15,1464,279,17,1535,291,16,1424,185,10,1444,181,13,1453,171,16,1565,251,15,1350,197,15,1271,217,15,1330,192,18,1416,228,15,1631,242,13,1446,184,11,1587,186,7,1614,213,9,1511,176,11,1463,147,4,1312,148,9,1525,268,10,1333,184,9,1128,155,7,1260,219,17,1306,199,15,1474,194,18,1367,279,15,1530,264,17,1521,243,12,1387,228,14,1360,248,15,1289,269,18,1332,207,16
"11170",용산구,1260,,22,1160,,7,1472,446,21,1496,472,21,1619,543,20,1486,480,13,1741,541,16,1899,592,20,1619,409,10,1826,416,14,1472,408,18,1671,462,25,1303,353,18,1111,351,23,1379,439,24,1411,429,23,1615,410,16,1648,424,14,1636,381,15,1703,379,21,1516,347,16,1537,344,11,1318,288,15,1555,411,23,1308,336,12,1201,290,6,1236,299,12,1288,226,7,1447,286,11,1433,407,20,1549,409,16,1575,407,6,1294,386,14,1361,362,14,1260,390,14,1357,296,14
"11200",성동구,1310,,17,1384,,21,1717,515,17,1438,393,19,1516,504,28,1331,351,13,1651,459,19,1671,376,16,1568,364,16,1361,264,17,1461,289,9,1657,389,23,1435,337,20,1191,301,18,1326,261,18,1436,253,15,1535,294,18,1478,264,21,1551,334,18,1565,257,14,1510,300,18,1440,256,16,1267,252,12,1431,240,11,1348,256,12,1181,225,8,1271,206,12,1250,255,16,1369,302,23,1425,350,26,1494,295,12,1587,355,15,1251,273,7,1277,213,9,1174,237,10,1325,294,24
"11215",광진구,1539,,16,1487,,10,1896,500,9,1769,502,13,1724,562,15,1660,614,12,1856,617,15,1865,384,12,1707,423,8,1641,333,15,1630,306,8,1696,323,12,1584,320,18,1389,357,15,1587,319,12,1699,342,12,1822,440,19,1620,288,14,1854,494,21,1821,355,23,1706,369,16,1639,351,15,1428,325,10,1699,400,18,1499,346,19,1255,245,13,1394,314,11,1405,350,16,1743,362,11,1636,387,12,1577,456,27,1745,428,26,1469,384,21,1459,401,25,1339,300,13,1479,358,29
"11230",동대문구,1900,,13,1786,,15,2413,540,14,2052,512,19,1958,461,15,1796,540,12,2110,546,17,2176,486,15,2084,493,15,1976,344,13,1889,346,13,1963,348,12,1906,392,14,1647,316,14,1904,343,12,1937,284,9,2174,371,15,1970,358,13,2211,416,15,2318,401,14,1972,329,12,1981,353,13,1790,317,15,1946,273,12,1835,336,17,1623,293,11,1709,317,17,1777,284,12,1936,429,10,1937,447,17,2044,435,18,2057,402,19,1811,436,11,1726,298,8,1739,356,13,1818,335,9
"11260",중랑구,1775,,12,1823,,18,2438,583,22,2052,298,17,2110,505,26,2022,487,22,2181,572,19,2316,391,12,2115,453,12,2003,300,9,2058,265,6,2136,347,13,2046,380,24,1873,390,13,2004,370,15,2061,337,17,2206,359,11,2177,284,10,2313,391,13,2375,335,11,2136,401,15,2179,300,12,1854,293,19,2150,329,15,1812,244,12,1677,280,8,1883,332,14,1944,289,11,1899,316,15,2050,332,14,2063,436,16,2232,411,14,1868,421,11,1757,395,16,1652,330,11,1850,338,13
"11290",성북구,1838,,17,1712,,13,2312,330,10,1948,393,10,1841,443,18,1820,389,12,2038,501,14,2192,413,4,2015,389,12,1968,353,10,1953,364,17,2106,453,21,1995,346,14,1745,299,10,2071,426,23,2074,313,14,2195,350,21,2064,298,16,2250,398,21,2166,336,20,2089,333,20,1961,330,24,1852,351,31,2128,415,32,1917,302,16,1744,403,31,1792,318,19,1917,335,26,2004,421,39,1910,408,19,1999,386,15,2119,335,20,1772,365,21,1680,364,29,1673,375,23,1716,342,28
"11305",강북구,1637,,18,1731,,12,2301,459,7,1830,389,15,1898,476,18,1711,423,14,2035,554,14,2151,522,18,1836,385,8,1750,291,9,1826,304,7,1833,419,15,1817,367,18,1535,270,12,1784,316,20,1710,225,8,1941,349,19,1804,292,13,2038,327,20,1965,324,15,1939,324,23,1806,329,16,1644,344,19,1820,292,17,1743,301,22,1518,244,11,1617,337,18,1714,316,13,1701,313,12,1680,316,19,1845,334,22,1956,305,13,1685,325,16,1552,309,13,1545,353,20,1685,307,20
"11320",도봉구,1441,,16,1481,,8,1895,300,12,1603,375,16,1483,352,13,1498,432,16,1651,406,10,1955,429,10,1654,355,13,1572,343,19,1534,320,9,1656,377,17,1444,338,24,1361,239,17,1530,290,21,1624,283,13,1608,296,13,1585,269,9,1769,426,24,1765,265,5,1615,332,15,1598,325,15,1393,228,7,1629,295,16,1474,307,11,1357,255,10,1423,324,15,1358,266,10,1562,282,15,1448,270,11,1582,269,9,1811,377,19,1482,331,20,1418,315,16,1274,261,16,1508,248,15
