"gu_code","gu_org_code","gu_name","use_yn","created_at","updated_at"
"11110","3000000",종로구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11140","3010000",중구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11170","3020000",용산구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11200","3030000",성동구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11215","3040000",광진구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11230","3050000",동대문구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11260","3060000",중랑구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11290","3070000",성북구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11305","3080000",강북구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11320","3090000",도봉구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11350","3100000",노원구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11380","3110000",은평구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11410","3120000",서대문구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11440","3130000",마포구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11470","3140000",양천구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11500","3150000",강서구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11530","3160000",구로구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11545","3170000",금천구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11560","3180000",영등포구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11590","3190000",동작구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11620","3200000",관악구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11650","3210000",서초구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11680","3220000",강남구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11710","3230000",송파구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
"11740","3240000",강동구,Y,2026-04-21 00:57:24.000,2026-04-21 00:57:24.000
