기관 명,모델명,시리얼,구분,기온(℃),상대습도( %),풍향(°),풍속(m/s),돌풍 풍향(°),돌풍 풍속(m/s),조도(lux),자외선(UVI),소음(dB),진동_x(g),진동_y(g),진동_z(g),진동_x 최대(g),진동_y 최대(g),진동_z 최대(g),흑구 운도(℃),전송시간,등록일자
서울시,SDOT001,OC3CL200142,1,15.1,33,213,1.5,203,3.4,,,69,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200192,1,11.1,54,,,,,,,58,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200194,1,14.9,40,,,,,,,65,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL210111,1,15.1,35,,,,,0,0,57,0.01,0.04,1,0.06,0.11,1.07,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940122,1,16,38,,,,,0,0,39,0.02,0.02,1.07,0.07,0.14,1.14,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940420,1,15.5,43,,,,,0,0,48,0.02,0.05,1.01,0.08,0.12,1.11,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940458,1,13.3,48,,,,,0,0,40,0.02,0.12,1.03,0.07,0.18,1.1,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940570,1,16,36,,,,,6,0,41,0.01,0.08,1.05,0.05,0.14,1.11,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940594,1,17.3,33,,,,,1,0,39,0.04,0.09,1.04,0.1,0.15,1.13,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940598,1,16.6,33,,,,,0,0,44,0.02,0.05,1.02,0.07,0.13,1.1,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940608,1,14.8,38,,,,,0,0,45,0.06,0.06,1.05,0.11,0.13,1.11,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940607,1,16.3,33,,,,,0,0,38,0.04,0.02,1,0.09,0.15,1.1,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940629,1,16.5,37,,,,,0,0,47,0.01,0.08,1.06,0.05,0.15,1.13,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940628,1,16.6,34,,,,,1,0,47,0.03,0.14,0.99,0.09,0.19,1.07,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200018,1,15.8,36,,,,,,1.4,47,,,,,,,11.4,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200014,1,16.5,36,,,,,,1.3,54,,,,,,,12.1,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200023,1,15.2,37,,,,,,,60,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200020,1,14.9,40,,,,,,,68,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200021,1,15.4,37,,,,,,,61,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200022,1,15.6,33,,,,,,,65,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200017,1,14.6,42,,,,,,1.3,61,,,,,,,10.8,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200026,1,14.8,43,,,,,,,58,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200031,1,13.3,45,,,,,,,47,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200032,1,14.1,40,,,,,,,67,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200028,1,14.8,42,,,,,,,60,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200029,1,15.9,34,,,,,,,59,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200019,1,15.3,37,,,,,,1.3,60,,,,,,,11.1,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200030,1,13.4,38,,,,,,,55,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200027,1,14.7,41,,,,,,,63,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200039,1,14.5,43,,,,,,,51,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200042,1,15.8,36,,,,,,,37,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200038,1,14.1,43,,,,,,,48,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200040,1,14.1,41,,,,,,,49,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200037,1,14,43,,,,,,,51,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200043,1,14.9,37,,,,,,,67,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200044,1,15.4,36,,,,,,,57,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200046,1,15.8,41,,,,,,,65,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200045,1,13.6,48,,,,,,,52,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200048,1,16.9,28,,,,,,,54,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200041,1,15.6,38,,,,,,,36,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200047,1,15.6,36,,,,,,,54,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200051,1,16.3,27,,,,,,,35,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940733,1,16.5,38,,,,,3,0,41,0.01,0.07,1.02,0.05,0.11,1.1,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200052,1,15.5,34,,,,,,,57,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200050,1,15.6,32,,,,,,,52,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200057,1,14.7,42,,,,,,,54,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200055,1,14.6,42,,,,,,,64,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200058,1,14.6,40,,,,,,,58,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200061,1,9.3,85,,,,,0,0,47,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200056,1,13.1,38,,,,,,,61,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200062,1,-40,34,,,,,112,0,51,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200065,1,11.1,55,,,,,0,0,45,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200069,1,12.5,43,,,,,0,1.4,50,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200064,1,12.7,43,,,,,0,0,45,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200060,1,13.8,41,,,,,0,1.3,53,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200067,1,14.2,48,,,,,118,1.3,47,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200059,1,14.5,46,,,,,,,63,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200063,1,14.8,35,,,,,0,0,50,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200072,1,-40,37,,,,,,,51,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200066,1,14.8,34,,,,,0,0,50,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200075,1,15.3,38,,,,,,,70,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200074,1,15.8,37,,,,,,,62,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200081,1,14.7,36,,,,,0,,55,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200088,1,15,35,,,,,0,,49,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200080,1,14.3,42,,,,,0,,57,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200085,1,14.4,41,,,,,3024,,52,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200078,1,15.3,38,,,,,,,63,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200079,1,14.4,35,,,,,,,61,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200073,1,14.3,38,,,,,,,62,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200076,1,14.8,38,,,,,,,61,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200077,1,15.4,39,,,,,,,66,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,V02Q1940793,1,15.7,36,,,,,2,0,44,0.03,0.02,1.11,0.15,0.12,1.2,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200083,1,13.1,48,,,,,0,,59,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200084,1,16.2,37,,,,,0,,52,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200086,1,13.4,53,,,,,0,,48,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200092,1,14.4,42,,,,,,,36,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200098,1,13.2,46,,,,,,,51,,,,,,,,2.02205E+11,2022-05-16 0:07
서울시,SDOT001,OC3CL200091,1,13.9,43,,,,,,,46,,,,,,,,2.02205E+11,2022-05-16 0:07
