No,모델 시리얼(*),주소,좌표 구분코드,위도,경도,변경 전 시리얼,변경 전 시리얼(데이터 상 표기),
1,V02Q1940655,서울특별시 종로구 북촌로6길 1,W84,37.58005084,126.9851462,,,
2,V02Q1940539,서울특별시 종로구 이화장길 33,W84,37.57692043,127.0045137,,,
3,V02Q1940737,서울특별시 종로구 평창10길 5,W84,37.60542622,126.9674349,,,
4,V02Q1940721,서울특별시 종로구 혜화로 2,W84,37.58605868,127.0008383,,,
5,V02Q1940522,서울특별시 종로구 지봉로13길 82,W84,37.57707481,127.0123665,,,
6,V02Q1940499,서울특별시 종로구 사직로8길 13,W84,37.57496003,126.9702723,,,
7,V02Q1940695,서울특별시 종로구 송월길 154,W84,37.57183655,126.9620318,,,
8,V02Q1940716,서울특별시 종로구 통일로14길 36,W84,37.57595297,126.9581816,,,
9,V02Q1940649,서울특별시 종로구 경희궁1길 15,W84,37.5713404,126.9705036,,,
10,V02Q1940232,서울특별시 종로구 삼청로 107,W84,37.58503293,126.9818759,,,
11,V02Q1940710,서울특별시 종로구 지봉로 86,W84,37.57784312,127.0156288,,,
12,V02Q1940796,서울특별시 종로구 종로65길 10,W84,37.57484815,127.0199828,,,
13,V02Q1940719,서울특별시 종로구 삼일대로30길 47,W84,37.57446434,126.9902439,,,
14,V02Q1940818,서울특별시 종로구 지봉로 8-6,W84,37.57074131,127.0163741,,,
15,V02Q1940720,서울특별시 종로구 창신길 62,W84,37.57443226,127.0108889,,,
16,V02Q1940837,서울특별시 종로구 자하문로 92,W84,37.58414084,126.9705631,,,
17,V02Q1940859,서울특별시 종로구 창의문로 145,W84,37.59243151,126.9640906,,,
18,V02Q1940857,서울특별시 종로구 북촌로 134-3,W84,37.58801836,126.9840569,,,
19,V02Q1940881,서울특별시 종로구 대학로 104,W84,37.58037207,127.0030284,,,
20,V02Q1940843,서울특별시 종로구 북촌로 20-27,W84,37.57893651,126.9859126,,,
21,V02Q1940822,서울특별시 종로구 통일로14길 19,W84,37.57542384,126.9577806,,,
22,V02Q1940797,서울특별시 종로구 자하문로 260,W84,37.59739666,126.9633522,,,
23,V02Q1940883,서울측별시 종로구 사직동 262-197,W84,37.57656196,126.9655363,,,
24,V02Q1940886,서울특별시 종로구 삼청로4길 22,W84,37.58239882,126.9821042,,,
