 format: day,hour,forecast,value  location:60_127 Start : 20260412 
 12,0200,+6,22.000000 
 12,0200,+7,21.000000 
 12,0200,+8,18.000000 
 12,0200,+9,17.000000 
 12,0200,+10,16.000000 
 12,0200,+11,14.000000 
 12,0200,+12,13.000000 
 12,0200,+13,13.000000 
 12,0200,+14,12.000000 
 12,0200,+15,12.000000 
 12,0200,+16,11.000000 
 12,0200,+17,11.000000 
 12,0200,+18,10.000000 
 12,0200,+19,10.000000 
 12,0200,+20,11.000000 
 12,0200,+21,13.000000 
 12,0200,+22,15.000000 
 12,0200,+23,18.000000 
 12,0200,+24,20.000000 
 12,0200,+25,22.000000 
 12,0200,+26,24.000000 
 12,0200,+27,25.000000 
 12,0200,+28,25.000000 
 12,0200,+29,26.000000 
 12,0200,+30,25.000000 
 12,0200,+31,23.000000 
 12,0200,+32,21.000000 
 12,0200,+33,20.000000 
 12,0200,+34,19.000000 
 12,0200,+35,18.000000 
 12,0200,+36,17.000000 
 12,0200,+37,16.000000 
 12,0200,+38,15.000000 
 12,0200,+39,15.000000 
 12,0200,+40,14.000000 
 12,0200,+41,14.000000 
 12,0200,+42,13.000000 
 12,0200,+43,13.000000 
 12,0200,+44,13.000000 
 12,0200,+45,15.000000 
 12,0200,+46,17.000000 
 12,0200,+47,18.000000 
 12,0200,+48,20.000000 
 12,0200,+49,21.000000 
 12,0200,+50,22.000000 
 12,0200,+51,23.000000 
 12,0200,+52,24.000000 
 12,0200,+53,24.000000 
 12,0200,+54,24.000000 
 12,0200,+55,23.000000 
 12,0200,+56,21.000000 
 12,0200,+57,19.000000 
 12,0200,+58,17.000000 
 12,0200,+59,17.000000 
 12,0200,+60,16.000000 
 12,0200,+61,15.000000 
 12,0200,+64,14.000000 
 12,0200,+67,13.000000 
 12,0200,+70,16.000000 
 12,0200,+73,20.000000 
 12,0200,+76,23.000000 
 12,0200,+79,22.000000 
 12,0200,+82,17.000000 
 12,0200,+85,15.000000 
 12,0500,+6,17.000000 
 12,0500,+7,16.000000 
 12,0500,+8,14.000000 
 12,0500,+9,13.000000 
 12,0500,+10,13.000000 
 12,0500,+11,12.000000 
 12,0500,+12,12.000000 
 12,0500,+13,11.000000 
 12,0500,+14,11.000000 
 12,0500,+15,10.000000 
 12,0500,+16,10.000000 
 12,0500,+17,11.000000 
 12,0500,+18,13.000000 
 12,0500,+19,15.000000 
 12,0500,+20,18.000000 
 12,0500,+21,20.000000 
 12,0500,+22,22.000000 
 12,0500,+23,24.000000 
 12,0500,+24,25.000000 
 12,0500,+25,25.000000 
 12,0500,+26,26.000000 
 12,0500,+27,25.000000 
 12,0500,+28,23.000000 
 12,0500,+29,21.000000 
 12,0500,+30,20.000000 
 12,0500,+31,19.000000 
 12,0500,+32,18.000000 
 12,0500,+33,17.000000 
 12,0500,+34,16.000000 
 12,0500,+35,15.000000 
 12,0500,+36,15.000000 
 12,0500,+37,14.000000 
 12,0500,+38,14.000000 
 12,0500,+39,13.000000 
 12,0500,+40,13.000000 
 12,0500,+41,13.000000 
 12,0500,+42,15.000000 
 12,0500,+43,17.000000 
 12,0500,+44,18.000000 
 12,0500,+45,20.000000 
 12,0500,+46,21.000000 
 12,0500,+47,22.000000 
 12,0500,+48,23.000000 
 12,0500,+49,24.000000 
 12,0500,+50,24.000000 
 12,0500,+51,24.000000 
 12,0500,+52,23.000000 
 12,0500,+53,21.000000 
 12,0500,+54,19.000000 
 12,0500,+55,17.000000 
 12,0500,+56,17.000000 
 12,0500,+57,16.000000 
 12,0500,+58,15.000000 
 12,0500,+61,14.000000 
 12,0500,+64,13.000000 
 12,0500,+67,16.000000 
 12,0500,+70,20.000000 
 12,0500,+73,23.000000 
 12,0500,+76,22.000000 
 12,0500,+79,17.000000 
 12,0500,+82,15.000000 
 12,0800,+6,13.000000 
 12,0800,+7,13.000000 
 12,0800,+8,12.000000 
 12,0800,+9,12.000000 
 12,0800,+10,11.000000 
 12,0800,+11,11.000000 
 12,0800,+12,10.000000 
 12,0800,+13,10.000000 
 12,0800,+14,11.000000 
 12,0800,+15,13.000000 
 12,0800,+16,16.000000 
 12,0800,+17,18.000000 
 12,0800,+18,20.000000 
 12,0800,+19,22.000000 
 12,0800,+20,24.000000 
 12,0800,+21,25.000000 
 12,0800,+22,25.000000 
 12,0800,+23,26.000000 
 12,0800,+24,25.000000 
 12,0800,+25,24.000000 
 12,0800,+26,21.000000 
 12,0800,+27,20.000000 
 12,0800,+28,19.000000 
 12,0800,+29,18.000000 
 12,0800,+30,17.000000 
 12,0800,+31,16.000000 
 12,0800,+32,16.000000 
 12,0800,+33,16.000000 
 12,0800,+34,15.000000 
 12,0800,+35,15.000000 
 12,0800,+36,14.000000 
 12,0800,+37,14.000000 
 12,0800,+38,14.000000 
 12,0800,+39,15.000000 
 12,0800,+40,17.000000 
 12,0800,+41,19.000000 
 12,0800,+42,20.000000 
 12,0800,+43,21.000000 
 12,0800,+44,22.000000 
 12,0800,+45,23.000000 
 12,0800,+46,24.000000 
 12,0800,+47,24.000000 
 12,0800,+48,24.000000 
 12,0800,+49,23.000000 
 12,0800,+50,21.000000 
 12,0800,+51,19.000000 
 12,0800,+52,18.000000 
 12,0800,+53,17.000000 
 12,0800,+54,17.000000 
 12,0800,+55,16.000000 
 12,0800,+56,16.000000 
 12,0800,+57,15.000000 
 12,0800,+58,15.000000 
 12,0800,+59,14.000000 
 12,0800,+60,14.000000 
 12,0800,+61,14.000000 
 12,0800,+62,14.000000 
 12,0800,+63,15.000000 
 12,0800,+64,16.000000 
 12,0800,+65,18.000000 
 12,0800,+66,19.000000 
 12,0800,+67,20.000000 
 12,0800,+68,22.000000 
 12,0800,+69,22.000000 
 12,0800,+70,23.000000 
 12,0800,+71,23.000000 
 12,0800,+72,23.000000 
 12,0800,+73,22.000000 
 12,0800,+74,20.000000 
 12,0800,+75,18.000000 
 12,0800,+76,17.000000 
 12,0800,+77,16.000000 
 12,0800,+78,16.000000 
 12,0800,+79,15.000000 
 12,0800,+82,13.000000 
 12,0800,+85,12.000000 
 12,0800,+88,16.000000 
 12,0800,+91,21.000000 
 12,0800,+94,23.000000 
 12,0800,+97,22.000000 
 12,0800,+100,18.000000 
 12,0800,+103,16.000000 
 12,1100,+6,12.000000 
 12,1100,+7,11.000000 
 12,1100,+8,11.000000 
 12,1100,+9,10.000000 
 12,1100,+10,10.000000 
 12,1100,+11,11.000000 
 12,1100,+12,13.000000 
 12,1100,+13,16.000000 
 12,1100,+14,18.000000 
 12,1100,+15,20.000000 
 12,1100,+16,22.000000 
 12,1100,+17,24.000000 
 12,1100,+18,25.000000 
 12,1100,+19,25.000000 
 12,1100,+20,26.000000 
 12,1100,+21,25.000000 
 12,1100,+22,24.000000 
 12,1100,+23,21.000000 
 12,1100,+24,20.000000 
 12,1100,+25,19.000000 
 12,1100,+26,18.000000 
 12,1100,+27,17.000000 
 12,1100,+28,16.000000 
 12,1100,+29,16.000000 
 12,1100,+30,16.000000 
 12,1100,+31,15.000000 
 12,1100,+32,15.000000 
 12,1100,+33,14.000000 
 12,1100,+34,14.000000 
 12,1100,+35,14.000000 
 12,1100,+36,15.000000 
 12,1100,+37,17.000000 
 12,1100,+38,19.000000 
 12,1100,+39,20.000000 
 12,1100,+40,21.000000 
 12,1100,+41,22.000000 
 12,1100,+42,23.000000 
 12,1100,+43,24.000000 
 12,1100,+44,24.000000 
 12,1100,+45,24.000000 
 12,1100,+46,23.000000 
 12,1100,+47,21.000000 
 12,1100,+48,19.000000 
 12,1100,+49,18.000000 
 12,1100,+50,17.000000 
 12,1100,+51,17.000000 
 12,1100,+52,16.000000 
 12,1100,+53,16.000000 
 12,1100,+54,15.000000 
 12,1100,+55,15.000000 
 12,1100,+56,14.000000 
 12,1100,+57,14.000000 
 12,1100,+58,14.000000 
 12,1100,+59,14.000000 
 12,1100,+60,15.000000 
 12,1100,+61,16.000000 
 12,1100,+62,18.000000 
 12,1100,+63,19.000000 
 12,1100,+64,20.000000 
 12,1100,+65,22.000000 
 12,1100,+66,22.000000 
 12,1100,+67,23.000000 
 12,1100,+68,23.000000 
 12,1100,+69,23.000000 
 12,1100,+70,22.000000 
 12,1100,+71,20.000000 
 12,1100,+72,18.000000 
 12,1100,+73,17.000000 
 12,1100,+74,16.000000 
 12,1100,+75,16.000000 
 12,1100,+76,15.000000 
 12,1100,+79,13.000000 
 12,1100,+82,12.000000 
 12,1100,+85,16.000000 
 12,1100,+88,21.000000 
 12,1100,+91,23.000000 
 12,1100,+94,22.000000 
 12,1100,+97,18.000000 
 12,1100,+100,16.000000 
 12,1400,+6,10.000000 
 12,1400,+7,10.000000 
 12,1400,+8,11.000000 
 12,1400,+9,13.000000 
 12,1400,+10,16.000000 
 12,1400,+11,18.000000 
 12,1400,+12,20.000000 
 12,1400,+13,22.000000 
 12,1400,+14,24.000000 
 12,1400,+15,25.000000 
 12,1400,+16,25.000000 
 12,1400,+17,26.000000 
 12,1400,+18,25.000000 
 12,1400,+19,24.000000 
 12,1400,+20,21.000000 
 12,1400,+21,20.000000 
 12,1400,+22,19.000000 
 12,1400,+23,18.000000 
 12,1400,+24,17.000000 
 12,1400,+25,16.000000 
 12,1400,+26,16.000000 
 12,1400,+27,16.000000 
 12,1400,+28,15.000000 
 12,1400,+29,15.000000 
 12,1400,+30,14.000000 
 12,1400,+31,14.000000 
 12,1400,+32,14.000000 
 12,1400,+33,15.000000 
 12,1400,+34,17.000000 
 12,1400,+35,19.000000 
 12,1400,+36,20.000000 
 12,1400,+37,21.000000 
 12,1400,+38,22.000000 
 12,1400,+39,23.000000 
 12,1400,+40,24.000000 
 12,1400,+41,24.000000 
 12,1400,+42,24.000000 
 12,1400,+43,23.000000 
 12,1400,+44,21.000000 
 12,1400,+45,19.000000 
 12,1400,+46,18.000000 
 12,1400,+47,17.000000 
 12,1400,+48,17.000000 
 12,1400,+49,16.000000 
 12,1400,+50,16.000000 
 12,1400,+51,15.000000 
 12,1400,+52,15.000000 
 12,1400,+53,14.000000 
 12,1400,+54,14.000000 
 12,1400,+55,14.000000 
 12,1400,+56,14.000000 
 12,1400,+57,15.000000 
 12,1400,+58,16.000000 
 12,1400,+59,18.000000 
 12,1400,+60,19.000000 
 12,1400,+61,20.000000 
 12,1400,+62,22.000000 
 12,1400,+63,22.000000 
 12,1400,+64,23.000000 
 12,1400,+65,23.000000 
 12,1400,+66,23.000000 
 12,1400,+67,22.000000 
 12,1400,+68,20.000000 
 12,1400,+69,18.000000 
 12,1400,+70,17.000000 
 12,1400,+71,16.000000 
 12,1400,+72,16.000000 
 12,1400,+73,15.000000 
 12,1400,+76,13.000000 
 12,1400,+79,12.000000 
 12,1400,+82,16.000000 
 12,1400,+85,21.000000 
 12,1400,+88,23.000000 
 12,1400,+91,22.000000 
 12,1400,+94,18.000000 
 12,1400,+97,16.000000 
 12,1700,+6,13.000000 
 12,1700,+7,16.000000 
 12,1700,+8,18.000000 
 12,1700,+9,20.000000 
 12,1700,+10,22.000000 
 12,1700,+11,24.000000 
 12,1700,+12,25.000000 
 12,1700,+13,25.000000 
 12,1700,+14,26.000000 
 12,1700,+15,25.000000 
 12,1700,+16,24.000000 
 12,1700,+17,21.000000 
 12,1700,+18,20.000000 
 12,1700,+19,19.000000 
 12,1700,+20,18.000000 
 12,1700,+21,17.000000 
 12,1700,+22,16.000000 
 12,1700,+23,16.000000 
 12,1700,+24,16.000000 
 12,1700,+25,15.000000 
 12,1700,+26,15.000000 
 12,1700,+27,14.000000 
 12,1700,+28,14.000000 
 12,1700,+29,14.000000 
 12,1700,+30,15.000000 
 12,1700,+31,17.000000 
 12,1700,+32,19.000000 
 12,1700,+33,20.000000 
 12,1700,+34,21.000000 
 12,1700,+35,22.000000 
 12,1700,+36,23.000000 
 12,1700,+37,24.000000 
 12,1700,+38,24.000000 
 12,1700,+39,24.000000 
 12,1700,+40,23.000000 
 12,1700,+41,21.000000 
 12,1700,+42,19.000000 
 12,1700,+43,18.000000 
 12,1700,+44,17.000000 
 12,1700,+45,17.000000 
 12,1700,+46,16.000000 
 12,1700,+47,16.000000 
 12,1700,+48,15.000000 
 12,1700,+49,15.000000 
 12,1700,+50,14.000000 
 12,1700,+51,14.000000 
 12,1700,+52,14.000000 
 12,1700,+53,14.000000 
 12,1700,+54,15.000000 
 12,1700,+55,16.000000 
 12,1700,+56,18.000000 
 12,1700,+57,19.000000 
 12,1700,+58,20.000000 
 12,1700,+59,22.000000 
 12,1700,+60,22.000000 
 12,1700,+61,23.000000 
 12,1700,+62,23.000000 
 12,1700,+63,23.000000 
 12,1700,+64,22.000000 
 12,1700,+65,20.000000 
 12,1700,+66,18.000000 
 12,1700,+67,17.000000 
 12,1700,+68,16.000000 
 12,1700,+69,16.000000 
 12,1700,+70,15.000000 
 12,1700,+73,13.000000 
 12,1700,+76,12.000000 
 12,1700,+79,16.000000 
 12,1700,+82,21.000000 
 12,1700,+85,23.000000 
 12,1700,+88,22.000000 
 12,1700,+91,18.000000 
 12,1700,+94,16.000000 
