자치구,연도,점수
강남구,2022,8.942441353822453
강남구,2023,4.669710219776437
강남구,2024,5.52815073361981
강동구,2022,18.061767202365974
강동구,2023,10.246810154721187
강동구,2024,11.342218329527093
강북구,2022,18.256761800141827
강북구,2023,13.005527657548493
강북구,2024,14.429567791573248
강서구,2022,10.631979401347875
강서구,2023,5.660403984890842
강서구,2024,6.208578573370748
관악구,2022,16.63920578205296
관악구,2023,10.129560087029576
관악구,2024,11.832051908155515
광진구,2022,18.50301407171163
광진구,2023,10.28351886388387
광진구,2024,11.492243858310486
구로구,2022,15.398231854826607
구로구,2023,9.618513803760477
구로구,2024,10.297271708514183
금천구,2022,17.274711327226274
금천구,2023,10.815479764013835
금천구,2024,11.100186292321032
노원구,2022,14.265588329532223
노원구,2023,7.904640959854507
노원구,2024,8.61726277990637
도봉구,2022,18.043707586927717
도봉구,2023,11.495505271064923
도봉구,2024,13.544208857042277
동대문구,2022,15.739879133998038
동대문구,2023,10.42658715075315
동대문구,2024,11.661094249388158
동작구,2022,15.576437719352098
동작구,2023,10.870691818361449
동작구,2024,11.780351046613555
마포구,2022,15.7597169660605
마포구,2023,9.883329827064806
마포구,2024,9.756517931752873
서대문구,2022,17.67347494176635
서대문구,2023,14.221996004082945
서대문구,2024,12.195828777525888
서초구,2022,12.279549403683818
서초구,2023,7.913534689483995
서초구,2024,10.035106329269222
성동구,2022,12.993963267618303
성동구,2023,9.985933048516602
성동구,2024,11.845833429175817
성북구,2022,17.707660145580633
성북구,2023,10.67865889049105
성북구,2024,12.486876807419014
송파구,2022,12.11781131533739
송파구,2023,7.8988389944023645
송파구,2024,8.743513442380417
양천구,2022,16.39322665920987
양천구,2023,9.47445365024675
양천구,2024,9.684782956940548
영등포구,2022,13.92248394119387
영등포구,2023,9.34993951983159
영등포구,2024,10.660994092268163
용산구,2022,15.20015611217668
용산구,2023,11.224781768681652
용산구,2024,13.314089835265378
은평구,2022,12.969481251665497
은평구,2023,7.916886629945291
은평구,2024,8.265975449781408
종로구,2022,18.232757014933195
종로구,2023,10.555154401966835
종로구,2024,11.597854235736563
중구,2022,13.32218800114007
중구,2023,8.518148820817549
중구,2024,8.932160066460181
중랑구,2022,17.077296772225484
중랑구,2023,11.497649655757755
중랑구,2024,11.238565250522107
