자치구,연도,환경점수,안전점수,소음점수,교통점수,교통점수_25점,스시점수
강남구,2022,8.94,12.2,19.31,62.74,15.68,56.13
강남구,2023,4.67,11.92,20.9,63.31,15.83,53.31
강남구,2024,5.53,11.73,19.36,57.95,14.49,51.11
강동구,2022,18.06,6.7,11.88,35.2,8.8,45.44
강동구,2023,10.25,7.03,10.96,36.49,9.12,37.36
강동구,2024,11.34,7.17,10.73,37.35,9.34,38.58
강북구,2022,18.26,8.06,11.65,38.04,9.51,47.47
강북구,2023,13.01,8.0,9.49,38.89,9.72,40.22
강북구,2024,14.43,7.87,10.48,40.1,10.02,42.81
강서구,2022,10.63,6.58,14.05,37.45,9.36,40.62
강서구,2023,5.66,6.62,13.89,46.34,11.58,37.76
강서구,2024,6.21,6.65,12.72,44.88,11.22,36.79
관악구,2022,16.64,8.92,10.83,42.0,10.5,46.89
관악구,2023,10.13,9.08,9.76,43.76,10.94,39.91
관악구,2024,11.83,8.94,10.03,41.89,10.47,41.27
광진구,2022,18.5,9.13,11.3,41.76,10.44,49.37
광진구,2023,10.28,9.42,9.95,40.76,10.19,39.84
광진구,2024,11.49,8.21,9.57,39.46,9.86,39.13
구로구,2022,15.4,8.16,10.58,33.22,8.3,42.44
구로구,2023,9.62,9.08,10.85,35.25,8.81,38.35
구로구,2024,10.3,9.09,9.67,33.44,8.36,37.42
금천구,2022,17.27,9.89,8.69,14.72,3.68,39.54
금천구,2023,10.82,9.14,9.57,14.9,3.72,33.26
금천구,2024,11.1,8.64,7.64,13.87,3.47,30.85
노원구,2022,14.27,7.01,8.12,36.14,9.04,38.43
노원구,2023,7.9,7.16,8.96,35.78,8.94,32.97
노원구,2024,8.62,6.85,8.84,36.13,9.03,33.34
도봉구,2022,18.04,6.38,10.08,28.2,7.05,41.56
도봉구,2023,11.5,7.09,9.48,28.24,7.06,35.12
도봉구,2024,13.54,6.75,9.42,28.2,7.05,36.76
동대문구,2022,15.74,9.29,15.51,30.27,7.57,48.11
동대문구,2023,10.43,8.02,16.42,32.06,8.02,42.89
동대문구,2024,11.66,9.47,16.77,32.44,8.11,46.01
동작구,2022,15.58,7.49,9.43,39.1,9.78,42.27
동작구,2023,10.87,7.53,8.26,37.13,9.28,35.94
동작구,2024,11.78,7.43,8.92,37.24,9.31,37.44
마포구,2022,15.76,11.16,14.28,56.7,14.18,55.38
마포구,2023,9.88,11.0,12.89,56.75,14.19,47.96
마포구,2024,9.76,11.65,14.57,59.1,14.78,50.75
서대문구,2022,17.67,7.56,11.36,32.62,8.15,44.75
서대문구,2023,14.22,8.22,12.52,36.0,9.0,43.96
서대문구,2024,12.2,7.95,14.22,35.83,8.96,43.33
서초구,2022,12.28,10.13,15.37,55.94,13.98,51.77
서초구,2023,7.91,11.09,15.21,56.15,14.04,48.25
서초구,2024,10.04,9.52,15.96,51.13,12.78,48.29
성동구,2022,12.99,7.24,14.53,41.14,10.28,45.04
성동구,2023,9.99,7.98,15.48,42.94,10.74,44.18
성동구,2024,11.85,8.9,16.43,41.75,10.44,47.62
성북구,2022,17.71,4.45,10.75,32.74,8.18,41.09
성북구,2023,10.68,5.13,12.5,34.08,8.52,36.83
성북구,2024,12.49,5.54,12.46,32.96,8.24,38.73
송파구,2022,12.12,7.5,11.63,51.36,12.84,44.09
송파구,2023,7.9,8.31,11.84,53.01,13.25,41.3
송파구,2024,8.74,8.21,11.39,53.97,13.49,41.84
양천구,2022,16.39,6.31,10.65,30.74,7.68,41.03
양천구,2023,9.47,6.53,10.52,32.11,8.03,34.55
양천구,2024,9.68,7.46,10.42,29.28,7.32,34.88
영등포구,2022,13.92,12.77,13.92,54.27,13.57,54.17
영등포구,2023,9.35,11.02,14.94,60.36,15.09,50.4
영등포구,2024,10.66,10.98,13.7,53.98,13.5,48.84
용산구,2022,15.2,13.01,13.84,55.09,13.77,55.83
용산구,2023,11.22,12.93,14.78,59.9,14.98,53.9
용산구,2024,13.31,15.59,13.75,59.21,14.8,57.45
은평구,2022,12.97,5.93,15.4,36.0,9.0,43.3
은평구,2023,7.92,6.99,15.99,35.21,8.8,39.69
은평구,2024,8.27,7.42,15.52,34.74,8.68,39.89
종로구,2022,18.23,16.07,13.95,51.42,12.86,61.11
종로구,2023,10.56,14.92,15.28,50.41,12.6,53.36
종로구,2024,11.6,15.22,15.2,49.83,12.46,54.47
중구,2022,13.32,24.19,16.03,56.56,14.14,67.68
중구,2023,8.52,24.14,11.14,58.4,14.6,58.4
중구,2024,8.93,24.56,11.47,56.12,14.03,58.99
중랑구,2022,17.08,7.9,10.2,34.16,8.54,43.72
중랑구,2023,11.5,8.55,12.25,34.46,8.62,40.91
중랑구,2024,11.24,8.59,11.38,34.95,8.74,39.94
