start_dt,arv_dt,start_emd,arv_emd,start_arv_place_type,mvmn_time_sum,popl_cnt,연도,출발_자치구코드,도착_자치구코드
2019-09-30 01:20:00,2019-10-01 01:00:00,1120065,2405058,HE,1426,2.42,2019,11200,24050
2019-09-30 01:40:00,2019-10-01 01:00:00,1119074,2405052,HE,1392,2.06,2019,11190,24050
2019-09-30 02:00:00,2019-10-01 01:40:00,1119074,2503057,EH,1409,2.24,2019,11190,25030
2019-09-30 02:20:00,2019-10-01 01:00:00,1107065,3501257,HE,1355,2.99,2019,11070,35012
2019-09-30 03:00:00,2019-10-01 01:00:00,3201058,1122055,EH,1324,2.4,2019,32010,11220
2019-09-30 03:00:00,2019-10-01 01:00:00,3302062,1120073,EH,1321,2.05,2019,33020,11200
2019-09-30 03:40:00,2019-10-01 00:00:00,3902031,1120070,EH,1236,4.07,2019,39020,11200
2019-09-30 04:00:00,2019-10-01 01:00:00,1103074,3635034,EH,1253,2.3,2019,11030,36350
2019-09-30 04:00:00,2019-10-01 01:00:00,1114066,2403066,EH,1259,2.2,2019,11140,24030
2019-09-30 05:00:00,2019-10-01 01:00:00,1103052,3501257,HE,1194,4.06,2019,11030,35012
2019-09-30 05:00:00,2019-10-01 01:40:00,1124082,2402059,HE,1246,3.01,2019,11240,24020
2019-09-30 05:20:00,2019-10-01 01:00:00,1121071,3503065,HE,1182,3.28,2019,11210,35030
2019-09-30 05:20:00,2019-10-01 01:20:00,1121063,3531033,HE,1196,2.35,2019,11210,35310
2019-09-30 05:20:00,2019-10-01 01:40:00,1112065,3604061,HE,1212,3.18,2019,11120,36040
2019-09-30 05:40:00,2019-10-01 00:40:00,2205052,1124069,EH,1130,3.27,2019,22050,11240
2019-09-30 05:40:00,2019-10-01 01:00:00,1123064,3202063,EH,1152,2.73,2019,11230,32020
2019-09-30 05:40:00,2019-10-01 01:00:00,1125053,3537038,EH,1153,2.21,2019,11250,35370
2019-09-30 05:40:00,2019-10-01 01:20:00,2207061,1113066,EH,1181,2.07,2019,22070,11130
2019-09-30 06:00:00,2019-10-01 00:00:00,3202062,1120072,EH,1085,4.05,2019,32020,11200
2019-09-30 06:00:00,2019-10-01 00:20:00,1116053,3401260,EH,1086,2.29,2019,11160,34012
