자치구,연도,점수
강남구,2022,12.195452
강남구,2023,11.916795
강남구,2024,11.729485
강동구,2022,6.698067
강동구,2023,7.029244
강동구,2024,7.174726
강북구,2022,8.059569
강북구,2023,7.998276
강북구,2024,7.872303
강서구,2022,6.580958
강서구,2023,6.617737
강서구,2024,6.645673
관악구,2022,8.922187
관악구,2023,9.083588
관악구,2024,8.936167
광진구,2022,9.12776
광진구,2023,9.418189
광진구,2024,8.210102
구로구,2022,8.157641
구로구,2023,9.075825
구로구,2024,9.092309
금천구,2022,9.888206
금천구,2023,9.143184
금천구,2024,8.635972
노원구,2022,7.005825
노원구,2023,7.158402
노원구,2024,6.848913
도봉구,2022,6.384304
도봉구,2023,7.090266
도봉구,2024,6.747264
동대문구,2022,9.289102
동대문구,2023,8.024687
동대문구,2024,9.470037
동작구,2022,7.485535
동작구,2023,7.532063
동작구,2024,7.42776
마포구,2022,11.163983
마포구,2023,11.00297
마포구,2024,11.651894
서대문구,2022,7.556602
서대문구,2023,8.221533
서대문구,2024,7.954141
서초구,2022,10.13111
서초구,2023,11.091234
서초구,2024,9.516455
성동구,2022,7.236672
성동구,2023,7.981365
성동구,2024,8.900914
성북구,2022,4.453636
성북구,2023,5.131069
성북구,2024,5.539856
송파구,2022,7.503234
송파구,2023,8.311005
송파구,2024,8.214537
양천구,2022,6.305673
양천구,2023,6.527926
양천구,2024,7.462796
영등포구,2022,12.767179
영등포구,2023,11.016737
영등포구,2024,10.977514
용산구,2022,13.01348
용산구,2023,12.925058
용산구,2024,15.588362
은평구,2022,5.932746
은평구,2023,6.988925
은평구,2024,7.417797
종로구,2022,16.067152
종로구,2023,14.916369
종로구,2024,15.216195
중구,2022,24.18529
중구,2023,24.14101
중구,2024,24.556191
중랑구,2022,7.899078
중랑구,2023,8.547947
중랑구,2024,8.586677
