자치구,연도,점수
강남구,2022,62.74
강남구,2023,63.31
강남구,2024,57.95
강동구,2022,35.2
강동구,2023,36.49
강동구,2024,37.35
강북구,2022,38.04
강북구,2023,38.89
강북구,2024,40.1
강서구,2022,37.45
강서구,2023,46.34
강서구,2024,44.88
관악구,2022,42.0
관악구,2023,43.76
관악구,2024,41.89
광진구,2022,41.76
광진구,2023,40.76
광진구,2024,39.46
구로구,2022,33.22
구로구,2023,35.25
구로구,2024,33.44
금천구,2022,14.72
금천구,2023,14.9
금천구,2024,13.87
노원구,2022,36.14
노원구,2023,35.78
노원구,2024,36.13
도봉구,2022,28.2
도봉구,2023,28.24
도봉구,2024,28.2
동대문구,2022,30.27
동대문구,2023,32.06
동대문구,2024,32.44
동작구,2022,39.1
동작구,2023,37.13
동작구,2024,37.24
마포구,2022,56.7
마포구,2023,56.75
마포구,2024,59.1
서대문구,2022,32.62
서대문구,2023,36.0
서대문구,2024,35.83
서초구,2022,55.94
서초구,2023,56.15
서초구,2024,51.13
성동구,2022,41.14
성동구,2023,42.94
성동구,2024,41.75
성북구,2022,32.74
성북구,2023,34.08
성북구,2024,32.96
송파구,2022,51.36
송파구,2023,53.01
송파구,2024,53.97
양천구,2022,30.74
양천구,2023,32.11
양천구,2024,29.28
영등포구,2022,54.27
영등포구,2023,60.36
영등포구,2024,53.98
용산구,2022,55.09
용산구,2023,59.9
용산구,2024,59.21
은평구,2022,36.0
은평구,2023,35.21
은평구,2024,34.74
종로구,2022,51.42
종로구,2023,50.41
종로구,2024,49.83
중구,2022,56.56
중구,2023,58.4
중구,2024,56.12
중랑구,2022,34.16
중랑구,2023,34.46
중랑구,2024,34.95
