연도,자치구,교통_혼잡스트레스점수
2022,강남구,62.74
2022,마포구,56.7
2022,중구,56.56
2022,서초구,55.94
2022,용산구,55.09
2022,영등포구,54.27
2022,종로구,51.42
2022,송파구,51.36
2022,관악구,42.0
2022,광진구,41.76
2022,성동구,41.14
2022,동작구,39.1
2022,강북구,38.04
2022,강서구,37.45
2022,노원구,36.14
2022,은평구,36.0
2022,강동구,35.2
2022,중랑구,34.16
2022,구로구,33.22
2022,성북구,32.74
2022,서대문구,32.62
2022,양천구,30.74
2022,동대문구,30.27
2022,도봉구,28.2
2022,금천구,14.72
2023,강남구,63.31
2023,영등포구,60.36
2023,용산구,59.9
2023,중구,58.4
2023,마포구,56.75
2023,서초구,56.15
2023,송파구,53.01
2023,종로구,50.41
2023,강서구,46.34
2023,관악구,43.76
2023,성동구,42.94
2023,광진구,40.76
2023,강북구,38.89
2023,동작구,37.13
2023,강동구,36.49
2023,서대문구,36.0
2023,노원구,35.78
2023,구로구,35.25
2023,은평구,35.21
2023,중랑구,34.46
2023,성북구,34.08
2023,양천구,32.11
2023,동대문구,32.06
2023,도봉구,28.24
2023,금천구,14.9
2024,용산구,59.21
2024,마포구,59.1
2024,강남구,57.95
2024,중구,56.12
2024,영등포구,53.98
2024,송파구,53.97
2024,서초구,51.13
2024,종로구,49.83
2024,강서구,44.88
2024,관악구,41.89
2024,성동구,41.75
2024,강북구,40.1
2024,광진구,39.46
2024,강동구,37.35
2024,동작구,37.24
2024,노원구,36.13
2024,서대문구,35.83
2024,중랑구,34.95
2024,은평구,34.74
2024,구로구,33.44
2024,성북구,32.96
2024,동대문구,32.44
2024,양천구,29.28
2024,도봉구,28.2
2024,금천구,13.87
