"자치구","행정구역_면적 (km²)","2022_행정구역(A)_인구 (명)","2022_처리방법 (톤/년)_소계","2022_처리방법 (톤/년)_매립","2022_처리방법 (톤/년)_소각","2023_행정구역(A)_인구 (명)","2023_처리방법 (톤/년)_소계","2023_처리방법 (톤/년)_매립","2023_처리방법 (톤/년)_소각","2024_행정구역(A)_인구 (명)","2024_처리방법 (톤/년)_소계","2024_처리방법 (톤/년)_매립","2024_처리방법 (톤/년)_소각"
종로구,23.91,152211,388016.679124,7125.5,41873.419394,150453,326233.012008,6172.5,40532.252066,149608,280517.950779,4060.71,40085.742
중구,9.96,130785,441835.866543,8793.06,45657.150932,131793,349138.475363,6945.73,47048.865188,131214,463201.226735,4812.948,43340.32
용산구,21.87,233284,949707.090543,6981.03,34096.456543,227106,861823.613264,5123.66,34370.316264,217194,424046.90021,3751.57,33854.66
성동구,16.82,288234,1087033.776017,33898.4,29292.226487,284766,950480.916244,12525.1,37245.025761,281289,1027416.049541,6383.06,35877.64
광진구,17.06,351252,348781.212735,8973.98,18398.527835,351180,222019.36777,8239.02,30846.40797,348652,266067.70253,8265.22,29985.77
동대문구,14.22,353601,542008.61394,9662.97,34933.89893,359873,325180.678875,7427.3,36531.916535,358603,341849.804305,4863.55,37377.8
중랑구,18.5,390140,318052.861645,7474.52015,34832.676955,387470,204165.710741,4509.22,36620.573321,385349,320190.993226,3062.37,38750.62
성북구,24.58,441984,587313.965747,3314.41,32555.541387,438168,319193.894016,1557.66013,41316.006386,435037,363601.155563,2222.56,30493.71
강북구,23.6,297702,271452.586542,2381.98,25818.712843,292977,213455.88551,2336.37,25244.013,289374,249110.901319,2312.21,24908.4
도봉구,20.65,313989,277653.038835,2787.79,20919.996075,309494,199962.568521,3168.68,37931.293021,306032,552721.21333,2198.05,21056.82
노원구,35.44,508014,563441.299553,29106.58,37402.855353,502925,488241.238086,30564.25,35593.453466,496552,363002.939988,27323.731,43500.86
은평구,29.71,470602,481162.035979,39644.51,18691.842719,470869,395945.139837,34070.51,18170.057302,465350,618816.138127,31055.34,26929.97
서대문구,17.63,319554,269446.892818,8512.67,34678.011948,320629,278431.294163,5585.37,37179.849433,318622,196257.897235,4600.69,36785.895
마포구,23.85,375585,641216.866384,16906.64,43095.613479,375162,534459.275715,15913.0,44599.54,372745,428715.867564,14686.74389,50782.73
양천구,17.41,444010,306956.891847,25391.86,35709.219378,439252,247774.171628,26215.28,31874.292121,434351,332819.813945,26045.52,35318.19
강서구,41.45,574638,1712728.080843,32602.32,97085.406573,568826,1742324.756551,17314.88,103307.887801,562194,1858065.02663,14562.4,112700.17
구로구,20.12,418418,512911.710709,16082.51,40342.668833,415651,445650.363712,12961.31,41613.685682,411916,302408.936536,10003.62,46984.97
금천구,13.02,242818,419382.424161,23364.98,12465.787042,241105,366852.205836,21798.16,12052.897976,239070,225589.869329,21685.35,11544.16
영등포구,24.55,398085,825651.235308,13449.86,42533.527228,397800,567118.704423,11152.17,43506.324821,397173,593281.322407,8176.7,44895.635
동작구,16.36,390432,391693.962366,13848.39638,28957.641721,389714,412026.240022,10416.33,29037.250577,387352,987083.110619,9483.89,29140.36
관악구,29.57,501226,492992.630927,20502.94,33467.806017,497883,401288.120933,18433.98,32878.894852,495620,348086.943774,14071.6,26222.78
서초구,46.97,408451,1041662.703339,23526.15,55397.587403,412078,1347743.574729,17252.0,56119.795993,413076,1224794.4087,17004.22,54059.01
강남구,39.5,534103,1364964.091292,26400.147,92695.311804,550282,1260886.113959,23987.28,95511.235919,563215,1068333.962557,21239.18,92562.59
송파구,33.88,664514,909950.736867,34028.245,51322.93042,660025,686606.199688,25205.13,52581.728788,656310,732026.1621,14974.49,59733.49
강동구,24.59,464037,758299.026145,16586.95,29479.222745,463318,594208.520422,14844.6,30689.062887,481474,527475.01825,10794.94,42576.37
