gu_name,year,year_getoff_bus,year_geton_bus,year_getoff_sub,year_geton_sub,geton_total,getoff_total,population,board_intensity,alight_intensity,imbalance,score_board,score_alight,score_imbalance,transport_stress_score
종로구,2022,53765334,56499137,56632814,59784351,116283488,110398148,152211,763.9624468665158,725.2967788136159,0.025963020665688154,96.0,96.0,88.0,93.3
마포구,2022,45342301,49534279,70191663,72494182,122028461,115533964,375585,324.9023816180084,307.61069797782045,0.0273380649317753,88.0,84.0,92.0,88.0
중구,2022,37934927,40102750,81305667,83445218,123547968,119240594,130785,944.6646633788206,911.7298925717711,0.017741255866905295,100.0,100.0,56.0,85.3
영등포구,2022,57540689,56790340,44453785,35177131,91967471,101994474,398085,231.02470829094233,256.2128037981832,0.051695723096610524,64.0,76.0,100.0,80.0
서초구,2022,63465094,68743021,63410371,62947583,131690604,126875465,408451,322.4146935617728,310.62591351226877,0.0186224705299596,84.0,88.0,60.0,77.3
강남구,2022,81542438,84574182,121871497,122171038,206745220,203413935,534103,387.08867016287047,380.85151178705155,0.008121932570297011,92.0,92.0,20.0,68.0
강북구,2022,44319236,44040708,23890912,20761975,64802683,68210148,297702,217.67634412936354,229.12223633028927,0.025617566172995748,56.0,64.0,84.0,68.0
용산구,2022,41943838,43448659,23120814,23467135,66915794,65064652,233284,286.8426210112983,278.9074775809731,0.01402588077327758,80.0,80.0,40.0,66.7
송파구,2022,63981659,64345111,76816897,82212712,146557823,140798556,664514,220.54888685565658,211.88200098116786,0.02004224517319659,60.0,56.0,68.0,61.3
광진구,2022,23711106,24143617,56007982,58226855,82370472,79719088,351252,234.50534658877322,226.95696536959156,0.01635752481529347,68.0,60.0,48.0,58.7
동작구,2022,40872068,42947715,54112782,50736102,93683817,94984850,390432,239.9491255839679,243.28141648225494,0.006895861515786296,76.0,72.0,12.0,53.3
관악구,2022,62690640,63141380,39894321,43014432,106155812,102584961,501226,211.7923092576997,204.66807587794688,0.01710662918738928,52.0,44.0,52.0,49.3
성동구,2022,23476189,23678319,43874686,44531637,68209956,67350875,288234,236.647848622993,233.66735013912228,0.0063372361593150755,72.0,68.0,4.0,48.0
은평구,2022,51397736,53283095,35500925,37938871,91221966,86898661,470602,193.8410079005185,184.6542534880851,0.024271781841414694,32.0,32.0,76.0,46.7
강서구,2022,47448158,48404702,43869622,34416957,82821659,91317780,574638,144.12840605737847,158.91357689536687,0.048789183247569784,8.0,20.0,96.0,41.3
동대문구,2022,53061887,54075357,14616554,15796375,69871732,67678441,353601,197.6004932112743,191.39776471220333,0.015945388887297147,36.0,36.0,44.0,38.7
강동구,2022,29741806,31068384,42072612,44446744,75515128,71814418,464037,162.7351439648128,154.7601118014293,0.025118586871909588,20.0,12.0,80.0,37.3
구로구,2022,46048418,45452940,39651019,41631064,87084004,85699437,418418,208.1268109880545,204.81775879622722,0.008013308404941421,44.0,52.0,16.0,37.3
서대문구,2022,46364912,47200667,18853243,19649876,66850543,65218155,319554,209.1995187041933,204.09118646613655,0.012360143052216657,48.0,40.0,24.0,37.3
성북구,2022,59915960,61479568,30596827,30283483,91763051,90512787,441984,207.61622818925525,204.78747420721066,0.00685918667947641,40.0,48.0,8.0,32.0
중랑구,2022,39327696,40574980,21690466,22776477,63351457,61018162,390140,162.3813425949655,156.4006818065306,0.018760972484767362,16.0,16.0,64.0,32.0
노원구,2022,44845400,44983194,45020705,47280810,92264004,89866105,508014,181.61704992382064,176.89690638446936,0.01316585716203574,28.0,28.0,36.0,30.7
도봉구,2022,29503233,31257179,16166690,16372654,47629833,45669923,313989,151.6926803168259,145.45071005672128,0.02100659298615958,12.0,8.0,72.0,30.7
금천구,2022,35928506,36821187,6959985,7196113,44017300,42888491,242818,181.2769234570741,176.6281371232768,0.012988881258787461,24.0,24.0,32.0,26.7
양천구,2022,40018438,41087463,18066760,18502578,59590041,58085198,444010,134.20878133375345,130.81957163126927,0.01278810234666275,4.0,4.0,28.0,12.0
종로구,2023,56863503,59274271,64526990,68040927,127315198,121390493,150453,846.21242514273,806.8333167168431,0.02382215290763089,96.0,96.0,80.0,90.7
마포구,2023,48294340,52967405,78785913,81262242,134229647,127080253,375162,357.79115955240576,338.73434143116754,0.02735982831113555,88.0,88.0,92.0,89.3
중구,2023,40565649,42830239,97484939,100175218,143005457,138050588,131793,1085.0762711221303,1047.480427640307,0.01762946959564595,100.0,100.0,56.0,85.3
영등포구,2023,60854242,59783569,47983877,38169185,97952754,108838119,397800,246.23618401206576,273.600098039215,0.05263948472232621,64.0,76.0,100.0,80.0
서초구,2023,65877039,70924822,68283731,67944423,138869245,134160770,412078,336.9974737792352,325.5712996083258,0.017245265140537754,84.0,84.0,48.0,72.0
강북구,2023,45186356,44956913,25305268,21908339,66865252,70491624,292977,228.2269666219525,240.60463449349186,0.026401095493755987,56.0,60.0,88.0,68.0
강남구,2023,83608914,86385914,129640432,131263578,217649492,213249346,550282,395.5235533780854,387.52738777572154,0.010211552253013966,92.0,92.0,16.0,66.7
용산구,2023,45014840,46695408,25997541,26327729,73023137,71012381,227106,321.53768284413303,312.6838612806341,0.01396014002601775,80.0,80.0,36.0,65.3
송파구,2023,66333696,66533109,84479463,90638951,157172060,150813159,660025,238.13046475512255,228.49613120715088,0.020646773311546487,60.0,56.0,72.0,62.7
광진구,2023,25372931,25722194,59546074,62139703,87861897,84919005,351180,250.19049205535552,241.81048180420228,0.01703250744691679,72.0,64.0,44.0,60.0
성동구,2023,24752746,24973671,48086371,48731902,73705573,72839117,284766,258.8285574822828,255.78586277856115,0.005912571789533964,76.0,72.0,4.0,50.7
관악구,2023,61745401,62180864,40273895,44067212,106248076,102019296,497883,213.39968627167386,204.9061647013451,0.020304572720109035,40.0,40.0,68.0,49.3
동작구,2023,41271137,43302874,57282874,53650799,96953673,98554011,389714,248.78160137947253,252.88804353962072,0.008185550395042273,68.0,68.0,12.0,49.3
서대문구,2023,49896773,51066890,21076417,21938092,73004982,70973190,320629,227.69300967785128,221.35611563520388,0.014111805781226337,52.0,52.0,40.0,48.0
은평구,2023,53273559,55165504,37805951,40259982,95425486,91079510,470869,202.65824677351833,193.4285544387076,0.023302196151356716,32.0,32.0,76.0,46.7
강서구,2023,49277308,50140558,46749245,36928607,87069165,96026553,568826,153.06818781138668,168.81533720329207,0.04892188685701541,8.0,20.0,96.0,41.3
동대문구,2023,56394251,57568309,15697326,17067194,74635503,72091577,359873,207.39400566310837,200.32505078180304,0.01733780839910397,36.0,36.0,52.0,41.3
강동구,2023,30994018,32160830,45315675,47997251,80158081,76309693,463318,173.00877798833594,164.70262972731436,0.024595403268151562,20.0,12.0,84.0,38.7
구로구,2023,48413204,47632954,41689715,44374553,92007507,90102919,415651,221.35759808108193,216.77541735734977,0.010458423725833247,44.0,44.0,20.0,36.0
성북구,2023,62567790,64020989,33259839,32999506,97020495,95827629,438168,221.42305006298903,218.70065591280007,0.006185520373534979,48.0,48.0,8.0,34.7
중랑구,2023,41296096,42602840,22749677,23799139,66401979,64045773,387470,171.37321341007,165.29221100988423,0.018062450014470162,16.0,16.0,60.0,30.7
노원구,2023,46372501,46474797,47966087,50275739,96750536,94338588,502925,192.37567430531354,187.5798339712677,0.012622110298647871,28.0,28.0,28.0,28.0
도봉구,2023,30258112,32004977,16934690,17139924,49144901,47192802,309494,158.7911268069812,152.4837379723027,0.020263084329507006,12.0,8.0,64.0,28.0
금천구,2023,37138067,38002399,7155509,7487095,45489494,44293576,241105,188.6708861284495,183.71073183882464,0.013320083619328233,24.0,24.0,32.0,26.7
양천구,2023,41673796,42783212,19037605,19408892,62192104,60711401,439252,141.5863877682967,138.215423037345,0.012047687329991117,4.0,4.0,24.0,10.7
종로구,2024,58534099,61175727,66841464,70275282,131451009,125375563,149608,878.6362293460185,838.0271309020852,0.023655831064084754,96.0,96.0,84.0,92.0
마포구,2024,50079683,54812570,82178317,84620073,139432643,132258000,372745,374.06978765643976,354.821660921004,0.02640739821135467,88.0,88.0,92.0,89.3
중구,2024,43286926,45045125,103263757,106064890,151110015,146550683,131214,1151.6302757327637,1116.8829774261808,0.01531721194848505,100.0,100.0,44.0,81.3
영등포구,2024,62455483,61120708,49950361,39982194,101102902,112405844,397173,254.55633187552968,283.0148172207066,0.05293901168807389,64.0,76.0,100.0,80.0
서초구,2024,68650670,73479167,69921316,69611302,143090469,138571986,413076,346.40228190453973,335.4636580193467,0.01604219135276656,80.0,80.0,48.0,69.3
강남구,2024,87233195,90233676,131685645,133232646,223466322,218918840,563215,396.7691236916623,388.6949743881104,0.010279463215811926,92.0,92.0,16.0,66.7
강북구,2024,45568603,45277561,25669756,22308919,67586480,71238359,289374,233.56099718703052,246.18092503127357,0.026305659897073605,52.0,60.0,88.0,66.7
용산구,2024,46681381,48276479,27347240,27477950,75754429,74028621,217194,348.7869324198627,340.84100389513367,0.011522051393665704,84.0,84.0,28.0,65.3
광진구,2024,26669831,26940922,60431585,63229256,90170178,87101416,348652,258.6251563163261,249.82336541881233,0.017311075794805567,72.0,64.0,56.0,64.0
송파구,2024,67618207,67404185,87661907,94542631,161946816,155280114,656310,246.7535402477484,236.5956849659456,0.021015561320723936,60.0,56.0,72.0,62.7
성동구,2024,25892362,26070397,51242189,51812578,77882975,77134551,281289,276.87885057716346,274.21815641564274,0.004827996029300584,76.0,72.0,8.0,52.0
동작구,2024,42679349,44861351,58724661,55113274,99974625,101404010,387352,258.09760889320245,261.78775377434414,0.00709799726271856,68.0,68.0,12.0,49.3
서대문구,2024,51565366,52757158,21807358,22641525,75398683,73372724,318622,236.6399150090068,230.28141182969088,0.013617932644812588,56.0,52.0,40.0,49.3
관악구,2024,62821602,63161176,40758112,44604467,107765643,103579714,495620,217.43602558411644,208.9901819942694,0.019806108160682234,40.0,36.0,68.0,48.0
은평구,2024,54847203,56495190,38664258,41226688,97721878,93511461,465350,209.99651445148768,200.9486644461154,0.02201717034287625,32.0,28.0,76.0,45.3
동대문구,2024,58483426,59548978,16475524,17948665,77497643,74958950,358603,216.10985686120804,209.0304598678756,0.016651906946392275,36.0,40.0,52.0,42.7
강서구,2024,49704711,50532632,47920542,38289781,88822413,97625253,562194,157.9924598981843,173.65047118966018,0.04721346310658563,8.0,20.0,96.0,41.3
구로구,2024,48619038,47861639,42504574,45365331,93226970,91123612,411916,226.3251973703371,221.2189184202599,0.011409554432543099,44.0,44.0,24.0,37.3
강동구,2024,32393138,33310944,46896415,49664911,82975855,79289553,481474,172.33714593103642,164.68086127184404,0.022717731680679594,16.0,12.0,80.0,36.0
성북구,2024,63862691,64913496,34161449,34019377,98932873,98024140,435037,227.41254881768626,225.32368511184055,0.004613864650760113,48.0,48.0,4.0,33.3
중랑구,2024,41947455,43285386,23216009,24257161,67542547,65163464,385349,175.27630018502663,169.10246036709538,0.017927469766233876,20.0,16.0,60.0,32.0
노원구,2024,47339682,47387602,52445508,54806638,102194240,99785190,496552,205.8077301068162,200.9561737743475,0.011927204666336568,28.0,32.0,32.0,30.7
금천구,2024,36608833,37332019,7143401,7534851,44866870,43752234,239070,187.67252269209777,183.010139289747,0.012577829719424833,24.0,24.0,36.0,28.0
도봉구,2024,30567050,32149721,17639978,17884906,50034627,48207028,306032,163.49475545040988,157.52283421341508,0.018603096619249748,12.0,8.0,64.0,28.0
양천구,2024,42239729,43250923,19133156,19473161,62724084,61372885,434351,144.4087477639049,141.29790192724286,0.010888251428606608,4.0,4.0,20.0,9.3
