"gu_code","gu_name","202201_geton","202201_getoff","202202_geton","202202_getoff","202203_geton","202203_getoff","202204_geton","202204_getoff","202205_geton","202205_getoff","202206_geton","202206_getoff","202207_geton","202207_getoff","202208_geton","202208_getoff","202209_geton","202209_getoff","202210_geton","202210_getoff","202211_geton","202211_getoff","202212_geton","202212_getoff","202301_geton","202301_getoff","202302_geton","202302_getoff","202303_geton","202303_getoff","202304_geton","202304_getoff","202305_geton","202305_getoff","202306_geton","202306_getoff","202307_geton","202307_getoff","202308_geton","202308_getoff","202309_geton","202309_getoff","202310_geton","202310_getoff","202311_geton","202311_getoff","202312_geton","202312_getoff","202401_geton","202401_getoff","202402_geton","202402_getoff","202403_geton","202403_getoff","202404_geton","202404_getoff","202405_geton","202405_getoff","202406_geton","202406_getoff","202407_geton","202407_getoff","202408_geton","202408_getoff","202409_geton","202409_getoff","202410_geton","202410_getoff","202411_geton","202411_getoff","202412_geton","202412_getoff","202501_geton","202501_getoff"
11110,종로구,4342692,4083059,3646743,3436870,4166090,3940136,4768867,4526935,5484431,5235175,5081820,4838511,5098367,4840551,4933641,4675196,5129354,4874660,5741204,5436259,5613034,5300998,5778108,5444464,4879502,4597429,5180793,4895213,6003729,5698200,5721426,5436384,5970828,5654353,5628407,5366840,5568460,5278909,5431893,5153231,5627059,5340539,6035168,5740974,5961880,5641606,6031782,5723312,5239234,4922376,4841363,4570803,6213245,5909502,6068461,5805638,6158944,5860142,5749422,5499334,5859294,5573371,5531182,5263389,5484708,5238690,6427553,6140873,6342368,6024876,6359508,6032470,8371,1829
11140,중구,6034978,5843985,5042615,4870897,5760383,5601476,6555818,6420654,7293836,7185303,6969895,6820210,7155347,6970926,6985140,6782940,7179339,6991001,7937853,7734204,8060102,7840090,8469912,8243981,7055940,6879469,7405023,7200099,8675984,8413444,8361488,8135804,8646115,8403454,8426935,8210866,8375805,8116196,8197015,7954176,8269935,8065325,8711621,8480839,9019869,8785639,9029488,8839628,7807197,7560069,7215148,7029779,9244981,8992318,9204035,8980332,9014693,8792415,8700309,8483778,9068187,8815026,8601164,8361310,8353571,8150434,9582007,9343492,9617975,9368612,9655623,9386192,12988,4735
11170,용산구,1675761,1638414,1400655,1370633,1613398,1581310,1837871,1828038,2151070,2137115,2035511,2010159,2050266,2026922,2001031,1977579,2048775,2036142,2359733,2343465,2124414,2054381,2168650,2116656,1865192,1819836,1985992,1947634,2306232,2268473,2200128,2166705,2278384,2239681,2244294,2222657,2202757,2189827,2133953,2116711,2208088,2197709,2310071,2291839,2290795,2256844,2301843,2279625,2001582,1968139,1855417,1837007,2418176,2398861,2382425,2365085,2348260,2334397,2296340,2284068,2318136,2308010,2194908,2196196,2182922,2183468,2511724,2519882,2460847,2459428,2507213,2492699,1268,1126
11200,성동구,3350261,3305764,2851007,2822592,3360305,3324499,3738344,3678613,4046883,3992410,3755577,3697308,3771269,3713350,3645286,3592182,3779872,3717855,3988089,3914501,4101114,4035015,4143630,4080597,3560406,3515279,3721680,3671052,4369477,4310875,4141521,4071468,4229539,4174052,4078197,4022776,3995301,3953482,3885563,3844862,3970263,3920306,4179789,4124692,4319596,4251876,4280570,4225651,3801119,3759396,3479313,3442749,4561673,4517913,4580816,4518465,4444573,4399415,4263978,4227241,4412309,4374284,4095029,4056048,4108215,4061634,4666333,4607600,4697508,4631648,4701712,4645796,1084,2321
11215,광진구,4397778,4249706,3750580,3608749,4329291,4161777,4938785,4756844,5451347,5240080,4947360,4746322,4951336,4762309,4799426,4624914,5005610,4809550,5230136,5022806,5193733,4988773,5231473,5036152,4613325,4441751,4780022,4585253,5593490,5354841,5322930,5104754,5516559,5291163,5222434,4997626,5047162,4837590,4936828,4732610,5090422,4880361,5384191,5144711,5327628,5096448,5304712,5078966,4765029,4571519,4376061,4204325,5643555,5392643,5693435,5430900,5669712,5421411,5376893,5134919,5354287,5108150,4965973,4751224,4938619,4716574,5535158,5270590,5478864,5232405,5431670,5196925,2230,2658
11230,동대문구,1259464,1184241,1037399,974432,1189790,1116220,1308521,1199877,1405603,1298366,1330529,1223425,1353909,1249177,1318081,1221139,1343352,1236795,1417192,1303646,1404083,1293137,1428452,1316099,1304140,1207860,1325291,1223929,1517724,1395167,1425879,1310070,1447532,1333349,1415974,1302417,1389105,1276866,1381908,1272011,1422930,1308338,1467954,1346672,1485652,1364192,1483105,1356455,1377938,1274682,1257312,1156664,1604189,1473319,1546585,1417203,1537389,1407619,1491267,1362750,1525634,1398641,1437822,1322007,1425512,1311212,1595658,1462714,1574855,1441563,1574504,1447150,164,1138
11260,중랑구,1804357,1729566,1553239,1491808,1768886,1691093,1924228,1819660,2086630,1957862,1917631,1819890,1922759,1830296,1855567,1771955,1904743,1814504,1996013,1901979,2011512,1921990,2030912,1939863,1804609,1724943,1852783,1771124,2137428,2045070,2017317,1928123,2110697,2006542,2000459,1910109,1944370,1857573,1909564,1829436,1936289,1851501,2015682,1930614,2045859,1961784,2024082,1932858,1841670,1769468,1694146,1622680,2143686,2054210,2140030,2043057,2129665,2023966,2023658,1935050,2086354,1999625,1948833,1864831,1905480,1823713,2110171,2020382,2108338,2021805,2125130,2037222,342,753
11290,성북구,2217254,2263780,1907124,1964473,2302329,2342899,2514161,2529064,2811543,2820406,2537657,2550701,2495180,2510645,2405575,2427916,2699067,2711333,2792505,2811189,2836690,2867564,2764398,2796857,2329582,2361650,2411286,2446273,3064080,3096361,2840944,2869468,2999421,3023976,2761110,2774299,2608767,2630598,2540467,2559181,2786119,2783793,2853052,2872314,2961412,2984482,2843266,2857444,2430789,2474564,2237182,2262982,3118001,3137566,3063692,3072341,3045866,3060192,2812663,2817553,2813163,2823726,2615611,2620350,2777243,2774439,3046058,3046637,3073656,3075383,2985453,2995716,770,1560
11305,강북구,1629651,1873908,1409846,1622942,1605762,1842893,1723427,1974654,1872040,2135206,1753589,2001034,1763739,2021558,1694355,1953762,1748462,2021091,1842337,2127030,1836068,2135418,1882699,2181416,1664987,1919250,1698264,1963252,1954404,2271652,1850798,2143997,1904503,2209528,1832579,2110565,1810656,2084255,1763857,2040553,1791097,2062302,1865874,2155628,1878367,2176061,1892953,2168225,1682153,1952313,1553133,1789806,1973164,2270477,1935624,2233095,1917767,2210242,1848934,2120781,1914628,2200018,1801347,2066055,1780057,2033879,1960897,2257969,1958791,2262075,1982424,2273046,426,810
11320,도봉구,1300628,1287171,1113918,1103632,1258592,1247753,1365814,1340702,1489194,1458014,1385358,1359986,1382640,1367547,1333544,1321184,1375180,1363538,1448980,1435492,1456466,1438200,1462340,1443471,1307281,1282171,1324587,1312759,1521526,1509829,1439895,1425981,1486309,1467538,1439391,1420971,1412763,1392634,1381271,1367910,1403394,1388980,1464309,1449611,1480418,1463149,1478780,1453157,1349290,1330016,1242194,1219546,1560418,1542220,1552122,1526781,1536081,1512293,1480189,1457527,1542097,1519913,1446953,1429554,1428790,1409695,1580482,1563520,1580527,1563675,1585763,1565238,170,601
