연도,월,출발_자치구코드,도착_자치구코드,출발_장소유형,도착_장소유형,이동유형,총이동인구수,인구가중평균이동시간
2022,1,11010,11010,기타,집,기타→집,640577.69,34.230286852481555
2022,1,11010,11010,집,기타,집→기타,609165.58,32.03683238307719
2022,1,11010,11010,집,직장,집→직장,406464.79,30.0037561433058
2022,1,11010,11010,직장,집,직장→집,392560.12,32.10874688442626
2022,1,11010,11020,기타,집,기타→집,119360.8,45.94888707180247
2022,1,11010,11020,집,기타,집→기타,188647.13,40.83704856787379
2022,1,11010,11020,집,직장,집→직장,183253.17,36.54623988223505
2022,1,11010,11020,직장,집,직장→집,111324.73,36.64647989714415
2022,1,11010,11030,기타,집,기타→집,115424.56,57.27822397590253
2022,1,11010,11030,집,기타,집→기타,45281.35,51.96396176350749
2022,1,11010,11030,집,직장,집→직장,34779.14,45.87672524392495
2022,1,11010,11030,직장,집,직장→집,87536.2,50.25759697131015
2022,1,11010,11040,기타,집,기타→집,113903.1,58.95013191036942
2022,1,11010,11040,집,기타,집→기타,34979.39,52.17894165678704
2022,1,11010,11040,집,직장,집→직장,37289.53,46.27570553986602
2022,1,11010,11040,직장,집,직장→집,111493.59,49.21332499922193
2022,1,11010,11050,기타,집,기타→집,73710.67,73.23697274763613
2022,1,11010,11050,집,기타,집→기타,16438.13,68.60737322310992
2022,1,11010,11050,집,직장,집→직장,12684.63,57.39786103339239
2022,1,11010,11050,직장,집,직장→집,75823.56999999999,61.93685670563916
2022,1,11010,11060,기타,집,기타→집,159188.68,60.72189925816333
2022,1,11010,11060,집,기타,집→기타,63558.71,49.08171861889583
2022,1,11010,11060,집,직장,집→직장,47683.23,41.787837778606864
2022,1,11010,11060,직장,집,직장→집,175794.52,50.37898712656117
2022,1,11010,11070,기타,집,기타→집,79206.27,80.38025373496315
2022,1,11010,11070,집,기타,집→기타,10212.28,64.69800279663306
2022,1,11010,11070,집,직장,집→직장,8370.06,56.15597737650626
2022,1,11010,11070,직장,집,직장→집,88758.61,66.99876733085388
2022,1,11010,11080,기타,집,기타→집,378891.39,51.59773540908385
2022,1,11010,11080,집,기타,집→기타,115502.57,37.63126569391486
2022,1,11010,11080,집,직장,집→직장,69798.97,38.648712294751626
