gu,total_pop,avg_time,total_time,pop_norm,avg_norm,total_norm,stress_score,model,w_pop,w_avg,w_total
11240,563446.22,44.98130217868624,25344544.683258526,1.0,0.015655176338501206,1.0,65.54793117184754,literature,0.45,0.35,0.2
11230,556713.94,44.41355005199707,24725642.438834492,0.9880515301942063,0.013855401088410184,0.97557958431262,64.45884958308604,literature,0.45,0.35,0.2
11160,394817.34,42.77684129443693,16889038.693471745,0.7007169813102255,0.008667031419692649,0.6663657742752471,45.162925744154336,literature,0.45,0.35,0.2
11220,376024.14,43.85415888879316,16490222.381581804,0.6673627561808132,0.01208213010741884,0.6506294278538123,43.46678713897251,literature,0.45,0.35,0.2
11110,381864.84,41.603743908911085,15887007.011177307,0.6777288472516984,0.004948310623827128,0.6268279790353426,43.207548578867225,literature,0.45,0.35,0.2
11140,348491.25,46.28187879627248,16128829.794061491,0.6184973042341863,0.0197780065264369,0.6363697328969827,41.25200357690333,literature,0.45,0.35,0.2
11190,349737.61,44.57113425542488,15588201.969481427,0.6207093475281593,0.014354943293189898,0.615037840296245,40.73510045995371,literature,0.45,0.35,0.2
11250,355181.83,42.50679350593795,15097640.704871157,0.6303717647606716,0.007810979450470592,0.5956814554877552,40.5537428047518,literature,0.45,0.35,0.2
11210,317701.83,44.165419080474734,14031434.464583742,0.5638521535262689,0.01306882546793447,0.5536114842913701,36.902985485887214,literature,0.45,0.35,0.2
11120,310464.01,43.193949607757034,13410166.802962177,0.5510064498820697,0.009989265513818249,0.5290977348477173,35.72686923463112,literature,0.45,0.35,0.2
36350,13.690000000000001,355.5,4866.795,1.833371355526628e-05,1.0,0.00015636881158904824,35.00395239334176,literature,0.45,0.35,0.2
11080,300883.41,43.422006213290615,13064961.298496066,0.5340027735909192,0.010712205358451927,0.5154767438227463,34.714586875592104,literature,0.45,0.35,0.2
38360,10.35,352.3333333333333,3646.6499999999996,1.2405871999158885e-05,0.9899616610417823,0.00010822478178898254,34.651380896338125,literature,0.45,0.35,0.2
11050,293310.96,44.66610041983158,13101056.793597205,0.5205631676653069,0.014655986203045568,0.5169009865084905,34.276321792215214,literature,0.45,0.35,0.2
38370,7.16,347.0,2484.52,6.744250872217993e-06,0.973054984901626,6.236988638593595e-05,34.05847536057387,literature,0.45,0.35,0.2
36400,42.45,336.3333333333333,14277.35,6.937704384078983e-05,0.9392416326213135,0.0005276870076683315,32.88713284887218,literature,0.45,0.35,0.2
36480,13.75,319.6666666666667,4395.416666666667,1.844020172693288e-05,0.8864082696833254,0.0001377693397827422,31.027874634789754,literature,0.45,0.35,0.2
11200,266521.0,43.1673054245283,11504993.409050707,0.47301627000828445,0.009904803405655655,0.4539241082289416,30.71088243414958,literature,0.45,0.35,0.2
11170,265101.37,43.22890032809141,11460040.700570483,0.4704967066225669,0.01010005935936047,0.45215038089598886,30.568861493512905,literature,0.45,0.35,0.2
38090,127.62,313.56410256410254,40017.050769230766,0.00022053700352152834,0.8670631306383386,0.0015433145936344416,30.388000029373007,literature,0.45,0.35,0.2
11150,272275.63,40.04276351424548,10902668.662782202,0.4832296037969139,0.0,0.43015780132798476,30.34848819742082,literature,0.45,0.35,0.2
11010,226935.95,56.81586540735719,12893562.391290741,0.40276061001110214,0.05317076279487775,0.5087137491817882,30.159479131956086,literature,0.45,0.35,0.2
36390,13.11,306.0,4011.66,1.730432789582248e-05,0.8430849120741748,0.00012262721126852962,29.5112031615768,literature,0.45,0.35,0.2
37070,44.26,305.8181818181818,13535.512727272726,7.258943701939892e-05,0.8425085481148514,0.0004984158671358691,29.50103402602839,literature,0.45,0.35,0.2
38050,69.71,302.44444444444446,21083.402222222223,0.00011775816983464836,0.831813794647404,0.000796237697141689,29.13470668424453,literature,0.45,0.35,0.2
36380,27.95,302.375,8451.38125,4.364240235469485e-05,0.8315936556351623,0.000297808089085498,29.11369801711835,literature,0.45,0.35,0.2
35360,17.810000000000002,298.0,5307.380000000001,2.5645901343039474e-05,0.8177248978639404,0.0001737532514461652,28.625000555827274,literature,0.45,0.35,0.2
38340,35.29,297.75,10507.5975,5.666945535524224e-05,0.8169323974198706,0.0003789415088146115,28.602762865362745,literature,0.45,0.35,0.2
11070,254105.1,40.79104774347468,10365213.265960408,0.45098049516502886,0.002372062335818346,0.40895108520752815,28.556166168330506,literature,0.45,0.35,0.2
11060,243929.36,44.155743651753326,10770882.28929625,0.4329205626991174,0.013038154341701342,0.4249578233808144,28.436917191036116,literature,0.45,0.35,0.2
38080,27.19,294.125,7997.25875,4.2293552180251254e-05,0.8054411409808583,0.00027988949156399,28.197940934009424,literature,0.45,0.35,0.2
11040,244069.9,43.16538822679668,10535371.987975443,0.4331699934932178,0.009898725885440935,0.4156651450802752,28.15240801479074,literature,0.45,0.35,0.2
37340,10.41,291.75,3037.1175,1.2512360170825486e-05,0.7979123867621949,8.417407400908056e-05,27.929180074364684,literature,0.45,0.35,0.2
11030,230693.83,47.59691885295912,10980315.506388346,0.40943010618681014,0.02394668584201198,0.43322156174371834,27.926920017751243,literature,0.45,0.35,0.2
38350,69.02,291.3888888888889,20111.661111111112,0.00011653355586048246,0.7967676638985386,0.000757895096048145,27.907270148383535,literature,0.45,0.35,0.2
38400,7.67,287.0,2201.29,7.649400331384092e-06,0.7828548783248682,5.1194301877313936e-05,27.40128885042285,literature,0.45,0.35,0.2
37350,24.49,283.8,6950.262,3.750158445525425e-05,0.7727108726407745,0.00023857748132539384,27.051339663354103,literature,0.45,0.35,0.2
11130,227741.56,45.17734754986613,10288759.607668689,0.40419040894404096,0.016276640513372777,0.40593440505629974,26.87693892157589,literature,0.45,0.35,0.2
36410,23.03,282.0,6494.46,3.4910372278033666e-05,0.7670048694434718,0.00022059261471451603,26.85115324956831,literature,0.45,0.35,0.2
36360,11.0,281.25,3093.75,1.3559493858880386e-05,0.7646273681112623,8.640865823280168e-05,26.76429623428248,literature,0.45,0.35,0.2
38060,55.480000000000004,280.36842105263156,15554.84,9.25027251210531e-05,0.7618327612821739,0.000578093735253402,26.679871142211603,literature,0.45,0.35,0.2
38111,123.41,278.175,34329.57675,0.00021306508347625525,0.7548796126492034,0.0013189003488775109,26.4567523784561,literature,0.45,0.35,0.2
36460,7.9,276.5,2184.35,8.057604989439392e-06,0.7495698596739356,5.052588962728372e-05,26.236318198604813,literature,0.45,0.35,0.2
21310,128.8,276.11538461538464,35563.66153846154,0.00022263127089763816,0.7483506282215205,0.0013675944096911848,26.229642283137434,literature,0.45,0.35,0.2
37330,8.33,276.0,2299.08,8.82077021971669e-06,0.747984858785796,5.505286350248834e-05,26.18096804943279,literature,0.45,0.35,0.2
38310,16.990000000000002,274.4,4662.0560000000005,2.4190562996929276e-05,0.742912855943749,0.00014829029590670257,26.006004339284207,literature,0.45,0.35,0.2
36060,72.16,273.0,19699.68,0.00012210643684436786,0.7384748534569581,0.0007416392978517031,25.866947446608563,literature,0.45,0.35,0.2
38112,181.31,272.4642857142857,49400.49964285715,0.0003158261691345241,0.7367766382196657,0.0019135632462120133,25.83966578022359,literature,0.45,0.35,0.2
