파일명,원본행수,전처리후행수,상태
20220101_OUTPUT.txt,4142871,2328098,OK
20220102_OUTPUT.txt,4177757,2489871,OK
20220103_OUTPUT.txt,5883834,3786146,OK
20220104_OUTPUT.txt,6025794,3846748,OK
20220105_OUTPUT.txt,6080486,3863388,OK
20220106_OUTPUT.txt,6124175,3870175,OK
20220107_OUTPUT.txt,6308464,3900664,OK
20220108_OUTPUT.txt,5390901,3198173,OK
20220109_OUTPUT.txt,4330186,2588544,OK
20220110_OUTPUT.txt,5994655,3842513,OK
20220111_OUTPUT.txt,5949601,3805329,OK
20220112_OUTPUT.txt,5988086,3816019,OK
20220113_OUTPUT.txt,5993177,3806969,OK
20220114_OUTPUT.txt,6235215,3859222,OK
20220115_OUTPUT.txt,5398155,3196726,OK
20220116_OUTPUT.txt,4449195,2670171,OK
20220117_OUTPUT.txt,5920137,3806597,OK
20220118_OUTPUT.txt,6059125,3853645,OK
20220119_OUTPUT.txt,5795968,3732204,OK
20220120_OUTPUT.txt,6144766,3871792,OK
20220121_OUTPUT.txt,6404753,3939871,OK
20220122_OUTPUT.txt,5566140,3275299,OK
20220123_OUTPUT.txt,4535628,2688645,OK
20220124_OUTPUT.txt,6197537,3921418,OK
20220125_OUTPUT.txt,6159688,3889872,OK
20220126_OUTPUT.txt,6349048,3967240,OK
20220127_OUTPUT.txt,6278564,3904680,OK
20220128_OUTPUT.txt,6320504,3883777,OK
20220129_OUTPUT.txt,4969719,2913871,OK
20220130_OUTPUT.txt,4187107,2367068,OK
20220131_OUTPUT.txt,3498499,1884016,OK
