gu_name,quarter_flow_population,registered_cars,parking_spaces,parking_supply_rate,resident_population
강남구,1262870911.41,252349.0,423742.3333333333,167.9333333333333,549200.0
강동구,696933452.49,156063.0,211980.66666666666,135.9,469609.6666666667
강북구,361514291.25,74485.66666666667,96199.0,129.13333333333335,293351.0
강서구,710034017.7,205692.33333333334,320241.0,155.70000000000002,568552.6666666666
관악구,570572337.81,117887.66666666667,152275.0,129.16666666666666,498243.0
광진구,507684580.29,97499.0,136804.33333333334,140.36666666666667,350361.3333333333
구로구,512832605.94,147422.33333333334,190275.33333333334,129.0666666666667,415328.3333333333
금천구,286923236.52,91739.0,151867.66666666666,165.5666666666667,240997.66666666666
노원구,635401543.35,152180.66666666666,179028.0,117.63333333333333,502497.0
도봉구,338190178.17,94952.66666666667,116940.66666666667,123.16666666666667,309838.3333333333
동대문구,487821354.84,101539.66666666667,151174.66666666666,148.9,357359.0
동작구,485998185.24,106240.66666666667,136919.0,128.86666666666665,389166.0
마포구,640021855.95,121960.0,197135.33333333334,161.63333333333333,374497.3333333333
서대문구,479931428.82,91345.33333333333,127313.0,139.36666666666667,319601.6666666667
서초구,840755596.8,177082.33333333334,312248.3333333333,176.33333333333334,411201.6666666667
성동구,473428477.77,104337.66666666667,126300.66666666667,121.03333333333335,284763.0
성북구,547852513.29,122300.33333333333,156566.0,128.03333333333333,438396.3333333333
송파구,1040518242.9300001,245779.33333333334,335052.3333333333,136.33333333333334,660283.0
양천구,460447395.36,151162.0,170464.33333333334,112.73333333333333,439204.3333333333
영등포구,703903079.46,144407.66666666666,203915.33333333334,141.20000000000002,397686.0
용산구,403847240.78999996,74460.66666666667,109378.33333333333,146.83333333333334,225861.33333333334
은평구,544242139.59,134314.66666666666,186887.0,139.13333333333333,468940.3333333333
종로구,486408579.75,50400.333333333336,91536.33333333333,181.63333333333333,150757.33333333334
중구,492526187.19,55324.666666666664,110009.33333333333,199.36666666666667,131264.0
중랑구,441483808.38,116219.33333333333,132870.0,114.33333333333333,387653.0
