year,quarter,quarter_label,gu_name,quarter_flow_population,monthly_flow_population
2022,1,2022Q1,강남구,1670141.8199999998,556713.94
2022,1,2022Q1,강동구,1065545.49,355181.83
2022,1,2022Q1,강북구,665644.8,221881.6
2022,1,2022Q1,강서구,1184452.02,394817.34
2022,1,2022Q1,관악구,953105.49,317701.83
2022,1,2022Q1,광진구,879932.8800000001,293310.96
2022,1,2022Q1,구로구,795304.11,265101.37
2022,1,2022Q1,금천구,420199.19999999995,140066.4
2022,1,2022Q1,노원구,1145594.52,381864.84
2022,1,2022Q1,도봉구,636924.33,212308.11
2022,1,2022Q1,동대문구,731788.08,243929.36
2022,1,2022Q1,동작구,799563.0,266521.0
2022,1,2022Q1,마포구,1045473.75,348491.25
2022,1,2022Q1,서대문구,683224.6799999999,227741.56
2022,1,2022Q1,서초구,1128072.42,376024.14
2022,1,2022Q1,성동구,732209.7,244069.9
2022,1,2022Q1,성북구,902650.23,300883.41
2022,1,2022Q1,송파구,1690338.66,563446.22
2022,1,2022Q1,양천구,816826.89,272275.63
2022,1,2022Q1,영등포구,1049212.83,349737.61
2022,1,2022Q1,용산구,692081.49,230693.83
2022,1,2022Q1,은평구,931392.03,310464.01
2022,1,2022Q1,종로구,680807.8500000001,226935.95
2022,1,2022Q1,중구,577831.98,192610.66
2022,1,2022Q1,중랑구,762315.3,254105.1
2022,2,2022Q2,강남구,115070531.22,38356843.74
2022,2,2022Q2,강동구,63348412.980000004,21116137.66
2022,2,2022Q2,강북구,34378549.8,11459516.6
2022,2,2022Q2,강서구,64908406.44,21636135.48
2022,2,2022Q2,관악구,53785218.15,17928406.05
2022,2,2022Q2,광진구,48004062.96,16001354.32
2022,2,2022Q2,구로구,46270858.2,15423619.4
2022,2,2022Q2,금천구,26575292.34,8858430.78
2022,2,2022Q2,노원구,60739151.01,20246383.669999998
2022,2,2022Q2,도봉구,32071880.64,10690626.88
2022,2,2022Q2,동대문구,44925975.78,14975325.26
2022,2,2022Q2,동작구,45136114.68,15045371.56
2022,2,2022Q2,마포구,60142391.370000005,20047463.79
2022,2,2022Q2,서대문구,44127500.88,14709166.959999999
2022,2,2022Q2,서초구,77344479.33,25781493.11
2022,2,2022Q2,성동구,44309435.339999996,14769811.78
2022,2,2022Q2,성북구,52066828.65,17355609.55
2022,2,2022Q2,송파구,96030312.9,32010104.3
2022,2,2022Q2,양천구,44318554.65,14772851.55
2022,2,2022Q2,영등포구,64345608.42,21448536.14
2022,2,2022Q2,용산구,38518021.769999996,12839340.59
2022,2,2022Q2,은평구,50420298.0,16806766.0
2022,2,2022Q2,종로구,46131801.51,15377267.17
2022,2,2022Q2,중구,44863336.53,14954445.51
2022,2,2022Q2,중랑구,41841044.19,13947014.73
2022,3,2022Q3,강남구,110697092.7,36899030.9
2022,3,2022Q3,강동구,58868480.339999996,19622826.78
2022,3,2022Q3,강북구,31199054.97,10399684.99
2022,3,2022Q3,강서구,61006387.38,20335462.46
2022,3,2022Q3,관악구,48487189.08,16162396.36
2022,3,2022Q3,광진구,42889128.36,14296376.12
2022,3,2022Q3,구로구,43094438.13,14364812.71
2022,3,2022Q3,금천구,25276588.68,8425529.56
2022,3,2022Q3,노원구,54730310.1,18243436.7
2022,3,2022Q3,도봉구,28677609.66,9559203.22
