연도,자치구코드,자치구명,출퇴근_스트레스점수,대중교통_혼잡도점수,주차_문제점수,민원_문제점수,교통_혼잡스트레스점수
2022,11230,강남구,70.27,68.0,26.29,61.41,62.74
2022,11140,마포구,32.11,88.0,33.77,66.83,56.7
2022,11020,중구,37.41,85.3,10.0,85.58,56.56
2022,11220,서초구,46.44,77.3,16.3,72.8,55.94
2022,11030,용산구,24.49,66.7,51.37,74.59,55.09
2022,11190,영등포구,37.16,80.0,58.06,35.57,54.27
2022,11010,종로구,39.79,93.3,10.0,58.33,51.42
2022,11240,송파구,52.45,61.3,63.85,17.74,51.36
2022,11210,관악구,27.92,49.3,72.37,23.69,42.0
2022,11050,광진구,22.34,58.7,59.05,34.78,41.76
2022,11040,성동구,22.49,48.0,82.04,19.78,41.14
2022,11200,동작구,22.46,53.3,72.72,17.56,39.1
2022,11090,강북구,15.38,68.0,72.41,10.0,38.04
2022,11160,강서구,33.34,41.3,40.83,40.98,37.45
2022,11110,노원구,27.11,30.7,86.08,10.0,36.14
2022,11120,은평구,25.21,46.7,60.52,22.45,36.0
2022,11250,강동구,30.52,37.3,64.36,17.86,35.2
2022,11070,중랑구,17.71,32.0,90.0,11.15,34.16
2022,11170,구로구,25.6,37.3,72.49,10.0,33.22
2022,11080,성북구,25.62,32.0,73.71,12.25,32.74
2022,11130,서대문구,25.86,37.3,60.24,19.99,32.62
2022,11150,양천구,15.87,12.0,90.0,21.72,30.74
2022,11060,동대문구,22.95,38.7,48.91,26.36,30.27
2022,11100,도봉구,12.84,30.7,79.5,10.37,28.2
2022,11180,금천구,15.65,26.7,29.1,17.64,14.72
2023,11230,강남구,72.37,66.7,26.29,61.65,63.31
2023,11190,영등포구,38.65,80.0,58.06,53.07,60.36
2023,11030,용산구,25.48,65.3,51.37,90.0,59.9
2023,11020,중구,38.5,85.3,10.0,90.0,58.4
2023,11140,마포구,33.38,89.3,33.77,64.04,56.75
2023,11220,서초구,48.81,72.0,16.3,75.33,56.15
2023,11240,송파구,53.56,62.7,63.85,20.22,53.01
2023,11010,종로구,39.52,90.7,10.0,57.94,50.41
2023,11160,강서구,34.77,41.3,40.83,67.5,46.34
2023,11210,관악구,29.18,49.3,72.37,27.6,43.76
2023,11040,성동구,23.88,50.7,82.04,21.1,42.94
2023,11050,광진구,23.01,60.0,59.05,29.43,40.76
2023,11090,강북구,16.24,68.0,72.41,11.58,38.89
2023,11200,동작구,23.72,49.3,72.72,13.37,37.13
2023,11250,강동구,31.87,38.7,64.36,18.83,36.49
2023,11130,서대문구,26.92,48.0,60.24,19.19,36.0
2023,11110,노원구,27.8,28.0,86.08,10.51,35.78
2023,11170,구로구,27.14,36.0,72.49,15.65,35.25
2023,11120,은평구,25.34,46.7,60.52,19.72,35.21
2023,11070,중랑구,18.5,30.7,90.0,12.27,34.46
2023,11080,성북구,26.08,34.7,73.71,13.37,34.08
2023,11150,양천구,16.79,10.7,90.0,26.11,32.11
2023,11060,동대문구,23.62,41.3,48.91,28.72,32.06
2023,11100,도봉구,13.39,28.0,79.5,12.3,28.24
2023,11180,금천구,17.19,26.7,29.1,16.14,14.9
2024,11030,용산구,23.83,65.3,51.37,90.0,59.21
2024,11140,마포구,31.96,89.3,33.77,73.47,59.1
2024,11230,강남구,67.86,66.7,26.29,50.55,57.95
2024,11020,중구,35.92,81.3,10.0,90.0,56.12
2024,11190,영등포구,36.53,80.0,58.06,35.49,53.98
2024,11240,송파구,51.54,62.7,63.85,26.0,53.97
2024,11220,서초구,46.12,69.3,16.3,65.45,51.13
2024,11010,종로구,36.06,92.0,10.0,59.49,49.83
2024,11160,강서구,33.37,41.3,40.83,64.71,44.88
2024,11210,관악구,26.85,48.0,72.37,26.0,41.89
2024,11040,성동구,23.22,52.0,82.04,16.95,41.75
2024,11090,강북구,15.22,66.7,72.41,18.04,40.1
2024,11050,광진구,21.83,64.0,59.05,23.04,39.46
2024,11250,강동구,31.55,36.0,64.36,24.57,37.35
2024,11200,동작구,22.41,49.3,72.72,15.47,37.24
2024,11110,노원구,27.1,30.7,86.08,10.0,36.13
2024,11130,서대문구,25.34,49.3,60.24,19.5,35.83
2024,11070,중랑구,17.52,32.0,90.0,13.94,34.95
2024,11120,은평구,24.76,45.3,60.52,20.34,34.74
2024,11170,구로구,25.06,37.3,72.49,11.43,33.44
2024,11080,성북구,25.13,33.3,73.71,12.39,32.96
2024,11060,동대문구,22.89,42.7,48.91,29.59,32.44
2024,11150,양천구,15.92,9.3,90.0,19.58,29.28
2024,11100,도봉구,13.27,28.0,79.5,12.34,28.2
2024,11180,금천구,15.28,28.0,29.1,14.21,13.87
