"자치구","연도","안전부담순위_연도별","안전부담점수_25점","안전부담점수","주민등록인구","발생","검거","검거율","발생_1만명당","총출동지표_12개월환산","총출동지표_12개월환산_1만명당"
"중구","2022","1","24.18529","96.741161","130785","3071","2119","0.690003","234.812861","20150.8","1540.757732"
"종로구","2022","2","16.067152","64.268607","152211","3138","3284","1.046526","206.161184","21920","1440.106168"
"용산구","2022","3","13.01348","52.053918","233284","2967","2093","0.705426","127.184033","24650.8","1056.686271"
"영등포구","2022","4","12.767179","51.068718","398085","4819","3186","0.661133","121.054549","39500","992.250399"
"강남구","2022","5","12.195452","48.781808","534103","6947","5020","0.722614","130.068545","51533.6","964.862583"
"마포구","2022","6","11.163983","44.655933","375585","4096","2814","0.687012","109.056538","35289.4","939.584914"
"서초구","2022","7","10.13111","40.52444","408451","4459","3098","0.694775","109.168542","33730.4","825.812643"
"금천구","2022","8","9.888206","39.552826","242818","2577","1887","0.732247","106.12887","21630","890.790633"
"동대문구","2022","9","9.289102","37.156409","353601","3253","2231","0.685828","91.996346","29815.2","843.187661"
"광진구","2022","10","9.12776","36.511039","351252","3619","2498","0.690246","103.031442","26091.8","742.822817"
"관악구","2022","11","8.922187","35.688747","501226","4879","3411","0.699119","97.341319","39091.4","779.915647"
"구로구","2022","12","8.157641","32.630566","418418","3857","2732","0.708323","92.180547","31146.4","744.384802"
"강북구","2022","13","8.059569","32.238277","297702","2832","2343","0.827331","95.128686","27760.4","932.489537"
"중랑구","2022","14","7.899078","31.596313","390140","3599","2671","0.742151","92.248936","30258.2","775.572871"
"서대문구","2022","15","7.556602","30.226408","319554","2374","1605","0.676074","74.291043","24076","753.425086"
"송파구","2022","16","7.503234","30.012936","664514","5167","3409","0.659764","77.756074","45737","688.277448"
"동작구","2022","17","7.485535","29.942139","390432","2735","1741","0.636563","70.050611","27502.8","704.41972"
"성동구","2022","18","7.236672","28.946689","288234","2194","1597","0.727894","76.118709","22964.8","796.741536"
"노원구","2022","19","7.005825","28.023299","508014","3896","2641","0.677875","76.6908","34013.2","669.532729"
"강동구","2022","20","6.698067","26.79227","464037","3711","2644","0.712476","79.972071","31102.6","670.261208"
"강서구","2022","21","6.580958","26.323834","574638","4663","3591","0.770105","81.146739","43373.2","754.791712"
"도봉구","2022","22","6.384304","25.537214","313989","2141","1569","0.732835","68.187102","24008.8","764.638252"
"양천구","2022","23","6.305673","25.222691","444010","3169","2130","0.672136","71.372266","27311.2","615.103263"
"은평구","2022","24","5.932746","23.730986","470602","3487","2658","0.76226","74.096583","33729.8","716.737285"
