gu_name,quarter_flow_population,registered_cars,parking_spaces,parking_supply_rate,parking_score_100,complaints_per_10k,complaint_score_100
강남구,1262870911.41,254871.0,436740.0,171.4,22.481426448736997,1150.6212095962167,57.86810204053281
강동구,696933452.49,160983.0,212658.0,132.1,69.19762258543834,415.04462213646303,20.41833328545111
강북구,361514291.25,73728.0,96070.0,130.3,71.33729569093609,258.6222776616641,13.203580914939856
강서구,710034017.7,203720.0,325827.0,159.9,36.151560178306084,1147.8629538370062,57.72767337258605
관악구,570572337.81,116745.0,147527.0,126.40000000000002,75.97325408618127,520.0453000263188,25.76414114983895
광진구,507684580.29,96335.0,138776.0,144.1,54.9331352154532,585.2833609375307,29.085549602481535
구로구,512832605.94,145790.0,190838.0,130.9,70.62407132243683,247.36005026175562,12.359338035122477
금천구,286923236.52,91402.0,160301.0,175.4,17.72659732540862,328.1682559187588,15.99527268156419
노원구,635401543.35,151503.0,179959.0,118.8,85.00742942050519,205.35096902643474,10.17003780664256
도봉구,338190178.17,94041.0,120311.0,127.90000000000002,74.19019316493312,243.267316129875,11.67278523921234
동대문구,487821354.84,102535.0,153140.0,149.4,48.63298662704309,568.3685739293909,28.22438181547533
동작구,485998185.24,106189.0,137209.0,129.2,72.64487369985142,317.7739957142969,15.46607878432294
마포구,640021855.95,121556.0,193860.0,159.5,36.627043090638935,1351.8432183019872,68.11274253471719
서대문구,479931428.82,91454.0,112512.0,123.0,80.0148588410104,398.2423540420802,19.562894075689755
서초구,840755596.8,177347.0,314371.0,177.30000000000004,15.468053491827632,1412.3376659001176,71.19264354317653
성동구,473428477.77,104163.0,122078.0,117.2,86.90936106983652,392.6969843917723,19.280567510916047
성북구,547852513.29,121752.0,158423.0,130.1,71.57503714710253,262.8780760985824,12.671210744401067
송파구,1040518242.9300001,242897.0,326599.0,134.5,66.3447251114413,432.6817011082453,21.31627449275537
양천구,460447395.36,150231.0,166791.0,111.0,90.0,455.35495019486945,22.47061783333498
영등포구,703903079.46,143966.0,204545.0,142.1,57.31054977711739,826.6907527649546,41.37611343204208
용산구,403847240.78999996,73108.0,105139.0,143.8,55.28974739970281,1796.6974975006203,84.86385881973781
은평구,544242139.59,134017.0,191725.0,143.1,56.121842496285296,423.31938751347883,20.839619192527035
종로구,486408579.75,50098.0,91109.0,181.9,10.0,1164.772126409929,58.588555316752554
중구,492526187.19,52363.0,111064.0,212.1,10.0,1837.376371202061,88.52519159373541
중랑구,441483808.38,116136.0,133137.0,114.59999999999998,90.0,258.58167854229873,12.452472005694917
