자치구,2022_행정구역(A)_면적 (km²),2022_행정구역(A)_인구 (명),2022_청소구역(B)_면적 (km²),2022_청소구역(B)_인구 (명),2022_처리방법 (톤/년)_소계,2022_처리방법 (톤/년)_매립,2022_처리방법 (톤/년)_소각,2023_행정구역(A)_면적 (km²),2023_행정구역(A)_인구 (명),2023_청소구역(B)_면적 (km²),2023_청소구역(B)_인구 (명),2023_처리방법 (톤/년)_소계,2023_처리방법 (톤/년)_매립,2023_처리방법 (톤/년)_소각,2024_행정구역(A)_면적 (km²),2024_행정구역(A)_인구 (명),2024_청소구역(B)_면적 (km²),2024_청소구역(B)_인구 (명),2024_처리방법 (톤/년)_소계,2024_처리방법 (톤/년)_매립,2024_처리방법 (톤/년)_소각
소계,605.21,9667669,605.21,9667669,15904316.280209,431348.39853,971704.040044,605.2,9638799,605.2,9638799,13741210.042016,343719.49013,1032402.62713,605.25,9597372,605.25,9597372,14095481.315299,287640.66289,1049468.662
종로구,23.91,152211,23.91,152211,388016.679124,7125.5,41873.419394,23.91,150453,23.91,150453,326233.012008,6172.5,40532.252066,23.91,149608,23.91,149608,280517.950779,4060.71,40085.742
중구,9.96,130785,9.96,130785,441835.866543,8793.06,45657.150932,9.96,131793,9.96,131793,349138.475363,6945.73,47048.865188,9.96,131214,9.96,131214,463201.226735,4812.948,43340.32
용산구,21.87,233284,21.87,233284,949707.090543,6981.03,34096.456543,21.87,227106,21.87,227106,861823.613264,5123.66,34370.316264,21.87,217194,21.87,217194,424046.90021,3751.57,33854.66
성동구,16.82,288234,16.82,288234,1087033.776017,33898.4,29292.226487,16.82,284766,16.82,284766,950480.916244,12525.1,37245.025761,16.86,281289,16.86,281289,1027416.049541,6383.06,35877.64
광진구,17.06,351252,17.06,351252,348781.212735,8973.98,18398.527835,17.06,351180,17.06,351180,222019.36777,8239.02,30846.40797,17.06,348652,17.06,348652,266067.70253,8265.22,29985.77
동대문구,14.22,353601,14.22,353601,542008.61394,9662.97,34933.89893,14.22,359873,14.22,359873,325180.678875,7427.3,36531.916535,14.22,358603,14.22,358603,341849.804305,4863.55,37377.8
중랑구,18.5,390140,18.5,390140,318052.861645,7474.52015,34832.676955,18.5,387470,18.5,387470,204165.710741,4509.22,36620.573321,18.5,385349,18.5,385349,320190.993226,3062.37,38750.62
성북구,24.58,441984,24.58,441984,587313.965747,3314.41,32555.541387,24.58,438168,24.58,438168,319193.894016,1557.66013,41316.006386,24.57,435037,24.57,435037,363601.155563,2222.56,30493.71
강북구,23.6,297702,23.6,297702,271452.586542,2381.98,25818.712843,23.6,292977,23.6,292977,213455.88551,2336.37,25244.013,23.6,289374,23.6,289374,249110.901319,2312.21,24908.4
도봉구,20.65,313989,20.65,313989,277653.038835,2787.79,20919.996075,20.65,309494,20.65,309494,199962.568521,3168.68,37931.293021,20.65,306032,20.65,306032,552721.21333,2198.05,21056.82
노원구,35.44,508014,35.44,508014,563441.299553,29106.58,37402.855353,35.44,502925,35.44,502925,488241.238086,30564.25,35593.453466,35.44,496552,35.44,496552,363002.939988,27323.731,43500.86
은평구,29.71,470602,29.71,470602,481162.035979,39644.51,18691.842719,29.71,470869,29.71,470869,395945.139837,34070.51,18170.057302,29.71,465350,29.71,465350,618816.138127,31055.34,26929.97
서대문구,17.63,319554,17.63,319554,269446.892818,8512.67,34678.011948,17.63,320629,17.63,320629,278431.294163,5585.37,37179.849433,17.63,318622,17.63,318622,196257.897235,4600.69,36785.895
마포구,23.85,375585,23.85,375585,641216.866384,16906.64,43095.613479,23.85,375162,23.85,375162,534459.275715,15913,44599.54,23.85,372745,23.85,372745,428715.867564,14686.74389,50782.73
양천구,17.41,444010,17.41,444010,306956.891847,25391.86,35709.219378,17.41,439252,17.41,439252,247774.171628,26215.28,31874.292121,17.41,434351,17.41,434351,332819.813945,26045.52,35318.19
