"gu_code","gu_name","202201_geton","202201_getoff","202202_geton","202202_getoff","202203_geton","202203_getoff","202204_geton","202204_getoff","202205_geton","202205_getoff","202206_geton","202206_getoff","202207_geton","202207_getoff","202208_geton","202208_getoff","202209_geton","202209_getoff","202210_geton","202210_getoff","202211_geton","202211_getoff","202212_geton","202212_getoff","202301_geton","202301_getoff","202302_geton","202302_getoff","202303_geton","202303_getoff","202304_geton","202304_getoff","202305_geton","202305_getoff","202306_geton","202306_getoff","202307_geton","202307_getoff","202308_geton","202308_getoff","202309_geton","202309_getoff","202310_geton","202310_getoff","202311_geton","202311_getoff","202312_geton","202312_getoff","202401_geton","202401_getoff","202402_geton","202402_getoff","202403_geton","202403_getoff","202404_geton","202404_getoff","202405_geton","202405_getoff","202406_geton","202406_getoff","202407_geton","202407_getoff","202408_geton","202408_getoff","202409_geton","202409_getoff","202410_geton","202410_getoff","202411_geton","202411_getoff","202412_geton","202412_getoff"
11110,종로구,3918759,3744989,3399703,3260335,4117154,3909683,4691873,4452522,5304598,5014704,4956767,4678933,4926552,4677982,4795804,4554751,4991462,4737297,5246292,4991874,5149267,4930211,5000906,4812053,4271690,4110362,4363594,4219845,5275152,5067673,5065747,4841497,5191226,4991845,5058966,4835647,4869869,4674395,4801021,4600394,4987070,4786481,5255991,5023173,5155780,4945229,4978165,4766962,4294157,4134166,3969877,3831912,5133386,4896496,5319689,5085694,5297863,5069510,5133921,4887082,5260126,5026200,5115687,4893355,5159753,4912638,5694111,5434703,5518258,5285962,5278899,5076381
11140,중구,2807933,2678519,2411271,2295169,2855342,2712931,3343044,3146600,3704306,3469339,3536542,3303774,3589585,3389286,3490281,3285358,3508875,3315511,3682361,3480696,3594863,3413955,3578347,3443789,3103855,2929704,3149595,2988832,3671033,3500360,3600537,3401208,3697714,3524334,3692228,3482774,3587920,3395928,3555582,3359176,3575110,3387376,3819840,3571588,3740989,3532781,3635836,3491588,3128061,2990688,2926446,2811159,3635789,3490697,3898001,3727614,3821594,3676781,3784613,3633005,3954895,3783968,3908647,3761632,3844092,3687658,4201329,4031167,4016436,3882968,3925222,3809589
11170,용산구,3055904,2967901,2631293,2552445,3131183,3022810,3607663,3480050,4040717,3884161,3817597,3674874,3892396,3759360,3773893,3640360,3856458,3714404,4004545,3866033,3828078,3693015,3808932,3688425,3313257,3209057,3387844,3276243,4058357,3918744,3959503,3816837,4050613,3892139,4066180,3910657,3959598,3807299,3907235,3766965,3992910,3843234,4147593,3990481,3968787,3840595,3883531,3742589,3340305,3233974,3133699,3035787,4026866,3896865,4215175,4076350,4129666,3977775,4104775,3961542,4141604,4012149,4076271,3950741,4121405,3977476,4506669,4351994,4308499,4166236,4171545,4040492
11200,성동구,1766729,1749722,1532677,1520708,1775478,1764116,1984532,1969627,2113396,2092518,2024598,2010147,2121664,2102813,2068939,2045283,2032856,2011738,2067261,2057674,2058591,2046260,2131598,2105583,1874624,1862662,1867913,1862298,2148791,2142044,2082436,2072128,2117452,2103463,2124191,2109572,2168424,2144210,2147259,2121093,2091934,2063185,2091095,2067879,2126638,2102668,2132914,2101544,1903592,1885924,1739334,1728293,2166129,2145851,2230490,2215200,2168675,2155055,2177351,2164380,2322983,2307133,2288257,2271487,2192280,2180823,2315663,2303994,2283327,2268853,2282316,2265369
11215,광진구,1798657,1765787,1580298,1547967,1822002,1784080,1977775,1939910,2111378,2076736,2034688,2001995,2156142,2121362,2112659,2075429,2075949,2042089,2126625,2092172,2123061,2086988,2224383,2176591,1959842,1925469,1946687,1921235,2225457,2191007,2145680,2114313,2200239,2166406,2179517,2150675,2215931,2186558,2193173,2166770,2120494,2095385,2139421,2118961,2182492,2153870,2213261,2182282,1948921,1928878,1799862,1780217,2238136,2215177,2252632,2233411,2248850,2228246,2259946,2237347,2399092,2376110,2361565,2336730,2267599,2242388,2395766,2375994,2370439,2347027,2398114,2368306
11230,동대문구,4083780,4013366,3509244,3454263,4127999,4045322,4465277,4380581,4809034,4720921,4586290,4504849,4711148,4629457,4581319,4497698,4704292,4603721,4791941,4701730,4818141,4724970,4886892,4785009,4272516,4193459,4250769,4171946,5082183,4963940,4849367,4742455,5005139,4893791,4897480,4794645,4817747,4729354,4751569,4663489,4877372,4766206,4869613,4773786,4998077,4896431,4896477,4804749,4303174,4228007,3961249,3892372,5067511,4971418,5108764,5009866,5081240,4978516,4983871,4889582,5150428,5069505,5009891,4931611,5020612,4925211,5311501,5224047,5297929,5200574,5252808,5162717
11260,중랑구,3065304,2966873,2684179,2596217,3123255,3022630,3347335,3242355,3595708,3490703,3441498,3345532,3587505,3492596,3469333,3369266,3471579,3363868,3550128,3436401,3545033,3426721,3694123,3574534,3241225,3147088,3215502,3120155,3748100,3622797,3572095,3452778,3715175,3587710,3621602,3512278,3660449,3565061,3578964,3484644,3514172,3403867,3527358,3419244,3594232,3477591,3613966,3502883,3171461,3079251,2939372,2854089,3644976,3533518,3678186,3559082,3667578,3548214,3606953,3496611,3829284,3716671,3735563,3632697,3612004,3501071,3799938,3678580,3774874,3648709,3825197,3698962
11290,성북구,4438807,4335759,3875641,3782564,4675573,4554789,5082158,4954733,5587389,5451199,5245975,5118006,5295973,5165409,5089894,4963796,5467666,5306280,5580348,5426244,5599743,5457089,5540401,5400092,4673141,4561021,4641662,4525824,5845277,5683043,5537403,5393930,5756973,5613059,5460869,5335758,5267942,5149215,5130905,5035046,5385015,5264734,5436597,5333820,5532113,5425037,5353092,5247303,4563210,4482709,4181366,4110570,5612861,5515966,5688416,5591729,5646716,5559516,5409881,5337426,5503952,5423388,5348847,5268913,5545713,5449282,5888128,5792889,5856610,5753696,5667796,5576607
11305,강북구,3387114,3393099,2950658,2952836,3383730,3391986,3649404,3678984,3936433,3985519,3755406,3784075,3920402,3947013,3748840,3765405,3746438,3778053,3846865,3888977,3790171,3814123,3925247,3939166,3469453,3505423,3417626,3435652,3948868,3971396,3791577,3813574,3921390,3940067,3830615,3847571,3852418,3860917,3770135,3778430,3694432,3716864,3747427,3772016,3746786,3756463,3766186,3787983,3326279,3344537,3104121,3118760,3814038,3842028,3852617,3888821,3834610,3867399,3777312,3808383,3975519,3982992,3901590,3924400,3796093,3831049,4001884,4029237,3929510,3953531,3963988,3977466
11320,도봉구,2417195,2286092,2111330,1996145,2411573,2278088,2587978,2441695,2764066,2606316,2660579,2510540,2775656,2619758,2671870,2520912,2647457,2497934,2712171,2559580,2689357,2539178,2807947,2646995,2493700,2355782,2449201,2310763,2797499,2641845,2684966,2538625,2755362,2601742,2720457,2570589,2759444,2612129,2701094,2556289,2625771,2481830,2643585,2503637,2668563,2526312,2705335,2558569,2409167,2281617,2224883,2107329,2731912,2593246,2735315,2595006,2695193,2561195,2680013,2552174,2865954,2721243,2786338,2661854,2661063,2537646,2785731,2652352,2771169,2638265,2802983,2665123
