자치구,연도,환경점수,안전점수,소음점수,교통점수,교통점수_25점,스시점수
강남구,2022,6.34,12.2,19.31,62.74,15.68,53.52
강남구,2023,4.13,11.92,20.9,63.31,15.83,52.78
강남구,2024,5.67,11.73,19.36,57.95,14.49,51.25
강동구,2022,10.7,6.7,11.88,35.2,8.8,38.08
강동구,2023,6.46,7.03,10.96,36.49,9.12,33.57
강동구,2024,8.46,7.17,10.73,37.35,9.34,35.7
강북구,2022,10.96,8.06,11.65,38.04,9.51,40.17
강북구,2023,8.76,8.0,9.49,38.89,9.72,35.97
강북구,2024,11.04,7.87,10.48,40.1,10.02,39.42
강서구,2022,6.78,6.58,14.05,37.45,9.36,36.78
강서구,2023,4.31,6.62,13.89,46.34,11.58,36.41
강서구,2024,5.65,6.65,12.72,44.88,11.22,36.24
관악구,2022,10.2,8.92,10.83,42.0,10.5,40.45
관악구,2023,6.94,9.08,9.76,43.76,10.94,36.72
관악구,2024,8.63,8.94,10.03,41.89,10.47,38.07
광진구,2022,10.66,9.13,11.3,41.76,10.44,41.52
광진구,2023,6.99,9.42,9.95,40.76,10.19,36.55
광진구,2024,7.98,8.21,9.57,39.46,9.86,35.62
구로구,2022,8.73,8.16,10.58,33.22,8.3,35.77
구로구,2023,6.93,9.08,10.85,35.25,8.81,35.67
구로구,2024,8.17,9.09,9.67,33.44,8.36,35.3
금천구,2022,10.23,9.89,8.69,14.72,3.68,32.5
금천구,2023,7.32,9.14,9.57,14.9,3.72,29.76
금천구,2024,8.09,8.64,7.64,13.87,3.47,27.83
노원구,2022,9.11,7.01,8.12,36.14,9.04,33.28
노원구,2023,6.1,7.16,8.96,35.78,8.94,31.16
노원구,2024,6.93,6.85,8.84,36.13,9.03,31.65
도봉구,2022,10.52,6.38,10.08,28.2,7.05,34.04
도봉구,2023,7.85,7.09,9.48,28.24,7.06,31.48
도봉구,2024,10.07,6.75,9.42,28.2,7.05,33.29
동대문구,2022,9.79,9.29,15.51,30.27,7.57,42.15
동대문구,2023,7.68,8.02,16.42,32.06,8.02,40.14
동대문구,2024,9.04,9.47,16.77,32.44,8.11,43.39
동작구,2022,9.47,7.49,9.43,39.1,9.78,36.17
동작구,2023,7.42,7.53,8.26,37.13,9.28,32.49
동작구,2024,8.68,7.43,8.92,37.24,9.31,34.34
마포구,2022,9.46,11.16,14.28,56.7,14.18,49.08
마포구,2023,6.97,11.0,12.89,56.75,14.19,45.04
마포구,2024,7.66,11.65,14.57,59.1,14.78,48.65
서대문구,2022,10.19,7.56,11.36,32.62,8.15,37.26
서대문구,2023,9.32,8.22,12.52,36.0,9.0,39.07
서대문구,2024,9.21,7.95,14.22,35.83,8.96,40.34
서초구,2022,8.31,10.13,15.37,55.94,13.98,47.8
서초구,2023,5.74,11.09,15.21,56.15,14.04,46.08
서초구,2024,7.64,9.52,15.96,51.13,12.78,45.9
성동구,2022,8.57,7.24,14.53,41.14,10.28,40.62
성동구,2023,6.78,7.98,15.48,42.94,10.74,40.97
성동구,2024,8.91,8.9,16.43,41.75,10.44,44.69
성북구,2022,10.72,4.45,10.75,32.74,8.18,34.11
성북구,2023,7.91,5.13,12.5,34.08,8.52,34.07
성북구,2024,9.32,5.54,12.46,32.96,8.24,35.55
송파구,2022,7.94,7.5,11.63,51.36,12.84,39.9
송파구,2023,5.15,8.31,11.84,53.01,13.25,38.55
송파구,2024,6.76,8.21,11.39,53.97,13.49,39.85
양천구,2022,9.76,6.31,10.65,30.74,7.68,34.4
양천구,2023,6.86,6.53,10.52,32.11,8.03,31.94
양천구,2024,7.65,7.46,10.42,29.28,7.32,32.85
영등포구,2022,8.28,12.77,13.92,54.27,13.57,48.53
영등포구,2023,6.75,11.02,14.94,60.36,15.09,47.8
영등포구,2024,8.23,10.98,13.7,53.98,13.5,46.41
용산구,2022,9.25,13.01,13.84,55.09,13.77,49.88
용산구,2023,7.62,12.93,14.78,59.9,14.98,50.3
용산구,2024,9.1,15.59,13.75,59.21,14.8,53.24
은평구,2022,8.21,5.93,15.4,36.0,9.0,38.54
은평구,2023,5.44,6.99,15.99,35.21,8.8,37.22
은평구,2024,6.54,7.42,15.52,34.74,8.68,38.17
종로구,2022,10.61,16.07,13.95,51.42,12.86,53.48
종로구,2023,7.27,14.92,15.28,50.41,12.6,50.07
종로구,2024,8.59,15.22,15.2,49.83,12.46,51.46
중구,2022,8.25,24.19,16.03,56.56,14.14,62.61
중구,2023,5.45,24.14,11.14,58.4,14.6,55.33
중구,2024,6.93,24.56,11.47,56.12,14.03,56.98
중랑구,2022,10.11,7.9,10.2,34.16,8.54,36.75
중랑구,2023,7.72,8.55,12.25,34.46,8.62,37.13
중랑구,2024,8.4,8.59,11.38,34.95,8.74,37.1
