자치구,연도,환경점수,안전점수,소음점수,교통점수,스시점수
강남구,2022,11.34,17.2,24.31,20.68,73.53
강남구,2023,9.13,16.92,25.0,20.83,71.88
강남구,2024,10.67,16.73,24.36,19.49,71.25
강동구,2022,15.7,11.7,16.88,13.8,58.08
강동구,2023,11.46,12.03,15.96,14.12,53.57
강동구,2024,13.46,12.17,15.73,14.34,55.7
강북구,2022,15.96,13.06,16.65,14.51,60.18
강북구,2023,13.76,13.0,14.49,14.72,55.97
강북구,2024,16.04,12.87,15.48,15.02,59.41
강서구,2022,11.78,11.58,19.05,14.36,56.77
강서구,2023,9.31,11.62,18.89,16.58,56.4
강서구,2024,10.65,11.65,17.72,16.22,56.24
관악구,2022,15.2,13.92,15.83,15.5,60.45
관악구,2023,11.94,14.08,14.76,15.94,56.72
관악구,2024,13.63,13.94,15.03,15.47,58.07
광진구,2022,15.66,14.13,16.3,15.44,61.53
광진구,2023,11.99,14.42,14.95,15.19,56.55
광진구,2024,12.98,13.21,14.57,14.86,55.62
구로구,2022,13.73,13.16,15.58,13.3,55.77
구로구,2023,11.93,14.08,15.85,13.81,55.67
구로구,2024,13.17,14.09,14.67,13.36,55.29
금천구,2022,15.23,14.89,13.69,8.68,52.49
금천구,2023,12.32,14.14,14.57,8.72,49.75
금천구,2024,13.09,13.64,12.64,8.47,47.84
노원구,2022,14.11,12.01,13.12,14.04,53.28
노원구,2023,11.1,12.16,13.96,13.94,51.16
노원구,2024,11.93,11.85,13.84,14.03,51.65
도봉구,2022,15.52,11.38,15.08,12.05,54.03
도봉구,2023,12.85,12.09,14.48,12.06,51.48
도봉구,2024,15.07,11.75,14.42,12.05,53.29
동대문구,2022,14.79,14.29,20.51,12.57,62.16
동대문구,2023,12.68,13.02,21.42,13.02,60.14
동대문구,2024,14.04,14.47,21.77,13.11,63.39
동작구,2022,14.47,12.49,14.43,14.78,56.17
동작구,2023,12.42,12.53,13.26,14.28,52.49
동작구,2024,13.68,12.43,13.92,14.31,54.34
마포구,2022,14.46,16.16,19.28,19.18,69.08
마포구,2023,11.97,16.0,17.89,19.19,65.05
마포구,2024,12.66,16.65,19.57,19.78,68.66
서대문구,2022,15.19,12.56,16.36,13.15,57.26
서대문구,2023,14.32,13.22,17.52,14.0,59.06
서대문구,2024,14.21,12.95,19.22,13.96,60.34
서초구,2022,13.31,15.13,20.37,18.98,67.79
서초구,2023,10.74,16.09,20.21,19.04,66.08
서초구,2024,12.64,14.52,20.96,17.78,65.9
성동구,2022,13.57,12.24,19.53,15.28,60.62
성동구,2023,11.78,12.98,20.48,15.74,60.98
성동구,2024,13.91,13.9,21.43,15.44,64.68
성북구,2022,15.72,9.45,15.75,13.18,54.1
성북구,2023,12.91,10.13,17.5,13.52,54.06
성북구,2024,14.32,10.54,17.46,13.24,55.56
송파구,2022,12.94,12.5,16.63,17.84,59.91
송파구,2023,10.15,13.31,16.84,18.25,58.55
송파구,2024,11.76,13.21,16.39,18.49,59.85
양천구,2022,14.76,11.31,15.65,12.68,54.4
양천구,2023,11.86,11.53,15.52,13.03,51.94
양천구,2024,12.65,12.46,15.42,12.32,52.85
영등포구,2022,13.28,17.77,18.92,18.57,68.54
영등포구,2023,11.75,16.02,19.94,20.09,67.8
영등포구,2024,13.23,15.98,18.7,18.5,66.41
용산구,2022,14.25,18.01,18.84,18.77,69.87
용산구,2023,12.62,17.93,19.78,19.98,70.31
용산구,2024,14.1,20.59,18.75,19.8,73.24
은평구,2022,13.21,10.93,20.4,14.0,58.54
은평구,2023,10.44,11.99,20.99,13.8,57.22
은평구,2024,11.54,12.42,20.52,13.68,58.16
종로구,2022,15.61,21.07,18.95,17.86,73.49
종로구,2023,12.27,19.92,20.28,17.6,70.07
종로구,2024,13.59,20.22,20.2,17.46,71.47
중구,2022,13.25,25.0,21.03,19.14,78.42
중구,2023,10.45,25.0,16.14,19.6,71.19
중구,2024,11.93,25.0,16.47,19.03,72.43
중랑구,2022,15.11,12.9,15.2,13.54,56.75
중랑구,2023,12.72,13.55,17.25,13.62,57.14
중랑구,2024,13.4,13.59,16.38,13.74,57.11
