자치구,연도,총점
강남구,2022,15.42
강남구,2023,14.6
강남구,2024,12.83
강동구,2022,8.21
강동구,2023,8.48
강동구,2024,9.75
강북구,2022,6.75
강북구,2023,7.33
강북구,2024,8.22
강서구,2022,11.4
강서구,2023,14.81
강서구,2024,14.08
관악구,2022,8.61
관악구,2023,9.56
관악구,2024,9.89
광진구,2022,9.92
광진구,2023,8.51
광진구,2024,8.03
구로구,2022,4.62
구로구,2023,5.42
구로구,2024,5.67
금천구,2022,3.47
금천구,2023,2.04
금천구,2024,1.9
노원구,2022,6.14
노원구,2023,5.5
노원구,2024,6.58
도봉구,2022,6.0
도봉구,2023,5.43
도봉구,2024,5.67
동대문구,2022,7.02
동대문구,2023,7.67
동대문구,2024,7.98
동작구,2022,6.22
동작구,2023,5.29
동작구,2024,5.85
마포구,2022,16.07
마포구,2023,15.51
마포구,2024,16.57
서대문구,2022,5.59
서대문구,2023,5.83
서대문구,2024,7.87
서초구,2022,15.44
서초구,2023,14.47
서초구,2024,12.89
성동구,2022,5.3
성동구,2023,5.75
성동구,2024,6.32
성북구,2022,4.98
성북구,2023,4.94
성북구,2024,5.31
송파구,2022,10.49
송파구,2023,11.08
송파구,2024,12.3
양천구,2022,6.65
양천구,2023,6.57
양천구,2024,6.35
영등포구,2022,12.47
영등포구,2023,15.05
영등포구,2024,12.38
용산구,2022,13.63
용산구,2023,15.53
용산구,2024,15.44
은평구,2022,8.61
은평구,2023,7.66
은평구,2024,7.73
종로구,2022,13.23
종로구,2023,12.86
종로구,2024,12.5
중구,2022,16.23
중구,2023,16.26
중구,2024,15.21
중랑구,2022,6.71
중랑구,2023,6.84
중랑구,2024,7.46
