순위_2022,자치구,총점_2022,순위_2023,총점_2023,순위_2024,총점_2024
1.0,강남구,19.305555555555554,1.0,20.899305555555557,1.0,19.364583333333336
3.0,동대문구,15.510416666666668,2.0,16.42361111111111,2.0,16.767361111111114
6.0,성동구,14.527777777777777,4.0,15.479166666666668,3.0,16.43402777777778
5.0,서초구,15.374999999999998,6.0,15.211805555555555,4.0,15.958333333333334
4.0,은평구,15.395833333333336,3.0,15.986111111111112,5.0,15.524305555555555
9.0,종로구,13.95138888888889,5.0,15.281250000000004,6.0,15.201388888888891
7.0,마포구,14.281250000000002,10.0,12.885416666666668,7.0,14.565972222222225
15.0,서대문구,11.36111111111111,11.0,12.520833333333334,8.0,14.218750000000002
11.0,용산구,13.843750000000002,8.0,14.777777777777779,9.0,13.75
10.0,영등포구,13.916666666666668,7.0,14.940972222222223,10.0,13.704861111111112
8.0,강서구,14.048611111111112,9.0,13.89236111111111,11.0,12.718750000000002
18.0,성북구,10.746527777777779,12.0,12.503472222222221,12.0,12.458333333333334
2.0,중구,16.03125,15.0,11.142361111111112,13.0,11.468750000000002
14.0,송파구,11.625000000000002,14.0,11.836805555555557,14.0,11.385416666666668
21.0,중랑구,10.20138888888889,13.0,12.250000000000002,15.0,11.378472222222221
12.0,강동구,11.881944444444445,16.0,10.958333333333334,16.0,10.725694444444445
13.0,강북구,11.645833333333334,22.0,9.493055555555555,17.0,10.48263888888889
19.0,양천구,10.649305555555555,18.0,10.524305555555555,18.0,10.416666666666668
17.0,관악구,10.829861111111112,20.0,9.756944444444446,19.0,10.027777777777777
20.0,구로구,10.57986111111111,17.0,10.847222222222223,20.0,9.673611111111112
16.0,광진구,11.29513888888889,19.0,9.951388888888891,21.0,9.565972222222223
22.0,도봉구,10.083333333333334,23.0,9.479166666666668,22.0,9.420138888888891
23.0,동작구,9.434027777777779,25.0,8.256944444444445,23.0,8.92361111111111
25.0,노원구,8.121527777777779,24.0,8.958333333333334,24.0,8.836805555555557
24.0,금천구,8.694444444444446,21.0,9.572916666666668,25.0,7.642361111111112
