자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL
강남구,소음,키워드:조용한 카페,노티드 스튜디오 청담,"음식점>카페,디저트>카페",서울특별시 강남구 도산대로53길 15 1층,127.0383006,37.5241929,,https://smartstore.naver.com/cafeknotted
강남구,소음,키워드:조용한 카페,셀렉티드닉스,"음식점>카페,디저트",서울특별시 강남구 테헤란로4길 37 1층,127.030907,37.4961927,,https://www.instagram.com/sltdnicks/
강남구,소음,키워드:조용한 카페,SADDLER HAUS,"카페,디저트>와플",서울특별시 강남구 도산대로17길 10 B1 새들러하우스,127.0249425,37.5193887,,https://www.instagram.com/saddlerhaus_bakery
강남구,소음,키워드:조용한 카페,이디야커피랩,"카페,디저트>카페",서울특별시 강남구 논현로 636 이디야빌딩,127.0328569,37.5104275,,http://www.ediya.com/
강남구,소음,키워드:조용한 카페,테라로사 포스코센터점,"카페,디저트>카페",서울특별시 강남구 테헤란로 440 포스코센터 1층,127.0560829,37.5060634,,https://terarosa.com
강남구,소음,키워드:도서관,별마당 도서관,"교육,학문>도서관",서울특별시 강남구 영동대로 513 스타필드 코엑스몰 B1,127.0601768,37.5100579,,https://www.starfield.co.kr/coexmall/starfieldLibrary/library.do
강남구,소음,키워드:도서관,캘리포니아피자키친 코엑스점,음식점>피자,서울특별시 강남구 영동대로 513 코엑스몰 1층,127.0599663,37.5107167,,https://www.lumi.co.kr/
강남구,소음,키워드:도서관,뎁짜이 개포점,음식점>베트남음식,"서울특별시 강남구 선릉로10길 4-4 요셉빌딩 1층 101, 102호",127.0608253,37.4830188,,
강남구,소음,키워드:도서관,국립어린이청소년도서관,"교육,학문>도서관",서울특별시 강남구 테헤란로7길 21 국립어린이청소년도서관,127.0296909,37.5009712,,http://www.nlcy.go.kr/
강남구,소음,키워드:도서관,소전서림,"교육,학문>전문도서관",서울특별시 강남구 영동대로138길 23 지하1층,127.0561268,37.5237089,,http://www.instagram.com/sojeonseolim
강남구,소음,키워드:북카페,카페 공명 신사 가로수길점,"카페,디저트>카페","서울특별시 강남구 도산대로15길 32-4 지하1층, 1층, 2층, 3층",127.0239065,37.5206435,,https://cafegm.kr/
강남구,소음,키워드:북카페,카페 마당,"카페,디저트>북카페",서울특별시 강남구 도산대로45길 7 에르메스도산파크,127.0352866,37.5227608,,
강남구,소음,키워드:북카페,토즈 모임센터 강남역 회의실타워점,"임대,대여>장소대여",서울특별시 강남구 강남대로84길 24-4 1~6층,127.0306659,37.4967416,,https://blog.naver.com/toztower_24
강남구,소음,키워드:미술관,마이아트뮤지엄,"문화,예술>미술관",서울특별시 강남구 테헤란로 518 섬유센터빌딩 B1층,127.0604816,37.5075923,,https://tickets.interpark.com/goods/26002980
강남구,소음,키워드:미술관,K현대미술관,"문화,예술>미술관",서울특별시 강남구 선릉로 807 K현대미술관,127.0390957,37.5242986,,https://blog.naver.com/kmcaseoul
강남구,소음,키워드:미술관,송은,"문화,예술>미술관",서울특별시 강남구 도산대로 441,127.0441206,37.5241628,,http://songeun.or.kr
강남구,소음,키워드:미술관,플랫폼엘,"문화,예술>미술관",서울특별시 강남구 언주로133길 11,127.0342941,37.5161707,,http://platform-l.org/
강남구,소음,키워드:미술관,경성미술관,테마카페,서울특별시 강남구 도산대로15길 32 B1,127.0237388,37.520366,,http://kyungsungmuseum.co.kr
강남구,소음,키워드:박물관,피규어뮤지엄w,"여행,명소>박물관",서울특별시 강남구 선릉로158길 3 Ys Roo,127.0404047,37.5257643,,https://blog.naver.com/figurem_w
강남구,소음,키워드:박물관,스페이스 씨,"문화,예술>전시관",서울특별시 강남구 언주로 827,127.0328282,37.5240842,,https://blog.naver.com/coreana-museum
강남구,소음,키워드:박물관,호림아트센터,"문화,예술>복합문화공간",서울특별시 강남구 도산대로45길 6 호림아트센터 2빌딩,127.0362855,37.5227734,,http://horimmuseum.org/artcenter/
강남구,소음,키워드:박물관,호림박물관 신사분관,"여행,명소>박물관",서울특별시 강남구 도산대로 317 호림박물관 신사분관,127.0360351,37.5226177,,https://www.instagram.com/horimmuseum
강남구,소음,키워드:박물관,크리에이티브통,"문화,예술>전시관","서울특별시 강남구 역삼로5길 11-1 , , 4층(역삼동)",127.0319336,37.4944856,,http://www.creativetong.co.kr/
강남구,소음,키워드:전시회,호우섬 코엑스점,음식점>중식당,서울특별시 강남구 영동대로 513 코엑스몰 B1층 110호 호우섬,127.0588068,37.5119197,,https://www.instagram.com/haosum_official
강남구,소음,키워드:전시회,아이티웨딩박람회,"문화,예술>박람회,전시회",서울특별시 강남구 학동로 338 1층,127.0401763,37.5165684,,http://www.dirwedexpo.co.kr/
강남구,소음,키워드:전시회,본다빈치,"서비스,산업>기업",서울특별시 강남구 봉은사로111길 18-7,127.0657095,37.5165666,,https://salondemonet.co.kr/
강남구,소음,키워드:힐링,힐링안과의원,"병원,의원>안과","서울특별시 강남구 강남대로 470 808타워 10층 힐링아이케어센터, 11층 접수",127.0250502,37.5043777,,https://blog.naver.com/wpsjtltmals7
강남구,소음,키워드:힐링,캠핑고양이 선릉점,고양이카페,서울특별시 강남구 선릉로 420 1층,127.0502966,37.5025043,,https://www.instagram.com/campingcat_cafe3
강남구,소음,키워드:힐링,북카페레벤,"카페,디저트>북카페","서울특별시 강남구 학동로 116 북카페레벤, 성바오로서원",127.0236652,37.5116105,,https://blog.naver.com/bookcafeleben
강남구,소음,키워드:힐링,힐링쉴드 선릉점,"쇼핑,유통>휴대폰액세서리",서울특별시 강남구 테헤란로 406 샹제리제센터A동 7층 706호,127.0499996,37.5044312,,
강남구,소음,키워드:힐링,버디네트웍스,"쇼핑,유통>기능성화장품",서울특별시 강남구 도산대로15길 18 3층 버디네트웍스,127.0240387,37.5194829,,http://www.buddynetworks.co.kr
강남구,소음,키워드:수목원,수목원,한식>닭요리,,127.1022351,37.4864456,,
강남구,소음,키워드:수목원,농업회사법인한국수목원,"서비스,산업>농업",서울특별시 강남구 테헤란로64길 13,127.051439,37.5042432,,
강남구,소음,키워드:수목원,수목원빌라,"시설,건물>주택",서울특별시 강남구 봉은사로74길 6-9,127.0514784,37.5115764,,
강남구,소음,키워드:식물원,늘푸른식물원,"생활,편의>꽃집,꽃배달",서울특별시 강남구 헌릉로 654 늘푸른식물원,127.1107181,37.4646512,,http://www.ksflower.co.kr
강남구,소음,키워드:식물원,부산식물원,"생활,편의>꽃집,꽃배달",서울특별시 강남구 개포로35길 7,127.0500289,37.479694,,
강남구,소음,키워드:식물원,식물원김밥 역삼점,분식>김밥,서울특별시 강남구 언주로69길 6 1층 102호,127.0447848,37.4966038,,
강남구,소음,키워드:식물원,일원에코파크에코식물원,"도시,테마공원>부속시설",,127.0875192,37.4957645,,
강남구,소음,키워드:식물원,다세미난식물원,"생활,편의>꽃집,꽃배달",서울특별시 강남구 광평로 260,127.1010941,37.4866696,,
강남구,소음,키워드:조용한,야나기일식집 초밥스시 청담역점,음식점>일식>일식당,서울특별시 강남구 학동로101길 21 상가104호 야나기일식집 초밥스시 청담역점,127.0571517,37.5217787,,https://blog.naver.com/sms4118
강남구,소음,키워드:조용한,어거스트힐 강남점,음식점>양식,서울특별시 강남구 강남대로106길 25,127.0276421,37.5033562,,http://www.instagram.com/augusthill_official_/
강남구,소음,키워드:조용한,신사만장어,"한식>장어,먹장어요리",서울특별시 강남구 도산대로1길 10,127.0201484,37.517401,,https://blog.naver.com/mercigod0422
강남구,소음,키워드:혼자 가기 좋은,아도 티하우스 계영배점,"카페,디저트>차",서울특별시 강남구 언주로173길 16 아고빌딩 5층,127.0321782,37.5281602,,https://smartstore.naver.com/a-do-tea
강남구,소음,키워드:산책코스,포스코스퀘어가든,"여행,명소>산책로",서울특별시 강남구 테헤란로 440 포스코센터,127.0561271,37.5058388,,
강남구,소음,키워드:산책코스,대모산무장애나눔길,"여행,명소>도보코스",서울특별시 강남구 광평로10길 14-7,127.0775737,37.4795463,,
강남구,소음,키워드:산책코스,성남누비길,"여행,명소>산책로",,127.1152978,37.4626531,,
강동구,소음,키워드:조용한 카페,스윗솔트,"음식점>카페,디저트",서울특별시 강동구 상암로 286,127.1541474,37.5454883,,http://www.instagram.com/sweetsaltcafe
강동구,소음,키워드:조용한 카페,브랜뉴하이몬드,"카페,디저트>베이커리","서울특별시 강동구 천호옛14길 11 브랜뉴하이몬드 1, 2층",127.1261209,37.5363003,,https://smartstore.naver.com/brandnewhimont
강동구,소음,키워드:조용한 카페,스타벅스 길동역점,"카페,디저트>카페",서울특별시 강동구 양재대로 1487 (길동),127.1401394,37.5387016,,http://www.starbucks.co.kr/
강동구,소음,키워드:조용한 카페,유로스타커피로스터스,"음식점>카페,디저트>카페",서울특별시 강동구 암사길 41 1층 유로스타커피로스터스,127.1339701,37.5519162,,http://instagram.com/eurostar_coffee_official
강동구,소음,키워드:조용한 카페,테라로사 길동점,"카페,디저트>카페",서울특별시 강동구 천호대로 1221,127.1463729,37.5360495,,https://terarosa.com
강동구,소음,키워드:도서관,강동숲속도서관,"교육,학문>도서관",서울특별시 강동구 구천면로 587 강동숲속도서관,127.163859,37.5512765,,https://www.gdlibrary.or.kr/portal/main
강동구,소음,키워드:도서관,강동중앙도서관,"교육,학문>군구립도서관",서울특별시 강동구 양재대로84길 63,127.1369589,37.5243543,,
강동구,소음,키워드:도서관,커피랑도서관 고덕역점,"카페,디저트>스터디카페",서울특별시 강동구 동남로75길 13-25 4층,127.1554277,37.5531312,,https://blog.naver.com/cllgoduk
강동구,소음,키워드:도서관,커피랑도서관 올림픽공원점,"카페,디저트>스터디카페",서울특별시 강동구 성안로 22 2층,127.1299673,37.5255528,,https://blog.naver.com/kcjheo
강동구,소음,키워드:도서관,서울특별시교육청고덕평생학습관,"교육,학문>도서관",서울특별시 강동구 고덕로 295 고덕평생학습관,127.1579849,37.5561463,,http://gdllc.sen.go.kr/
강동구,소음,키워드:북카페,스타벅스 올림픽공원북2문점,"카페,디저트>카페",서울특별시 강동구 강동대로 199 (성내동),127.1286775,37.5241832,,http://www.starbucks.co.kr/
강동구,소음,키워드:북카페,커피빈 올림픽공원북2문앞점,"카페,디저트>카페",서울특별시 강동구 강동대로 193,127.1279489,37.5245115,,https://www.coffeebeankorea.com/main/main.asp
강동구,소음,키워드:북카페,윌리엄 커피,브런치카페,서울특별시 강동구 풍성로 92 한스빌딩,127.1224599,37.532669,,https://www.instagram.com/jyj_brunch_cafe/
강동구,소음,키워드:북카페,오플비,"음식점>카페,디저트",서울특별시 강동구 성내로3길 37 1층 오플비,127.1233469,37.5315828,,
강동구,소음,키워드:미술관,도쿄장난감미술관 서울,"문화,예술>문화시설",서울특별시 강동구 천호대로 1005 현대백화점 천호점 13F,127.1243983,37.5389825,,https://www.ehyundai.com/newPortal/EV/tokyotoymuseumseoul.do
강동구,소음,키워드:미술관,미술관 흑염소숯불화로구이전문점,"한식>육류,고기요리",서울특별시 강동구 구천면로 165 광진타워빌딩,127.1232784,37.5417678,,
강동구,소음,키워드:미술관,60 SPACE,"문화,예술>갤러리,화랑",서울특별시 강동구 고덕비즈밸리로 60 그린스토어 타워 2층,127.158426,37.5678153,,https://www.instagram.com/60space
강동구,소음,키워드:박물관,서울 암사동 유적,"여행,명소>유적지,사적지",서울특별시 강동구 올림픽로 875,127.1303479,37.5606377,,http://sunsa.gangdong.go.kr/
강동구,소음,키워드:박물관,암사동선사유적박물관,"여행,명소>박물관",서울특별시 강동구 올림픽로 875,127.1309908,37.5615698,,
강동구,소음,키워드:박물관,서울 암사동 유적 박물관전시실,"문화,예술>전시관",서울특별시 강동구 올림픽로 875 서울 암사동 유적,127.131004,37.5615479,,
강동구,소음,키워드:박물관,서울 암사동 유적 박물관매표소,"여행,명소>관리,안내",서울특별시 강동구 올림픽로 875 서울 암사동 유적,127.1308379,37.559842,,http://sunsa.gangdong.go.kr/site/main/content/greetings
강동구,소음,키워드:박물관,한빛안경랜드,"쇼핑,유통>안경원",서울특별시 강동구 천호대로 1207,127.1450951,37.5355054,,http://안경박물관.com
강동구,소음,키워드:전시회,라이트룸서울,"문화,예술>복합문화공간",서울특별시 강동구 아리수로61길 103,127.1476889,37.5653767,,https://www.instagram.com/_lightroomseoul/
강동구,소음,키워드:전시회,페어인사이트,"지원,대행>전시,행사대행",서울특별시 강동구 상암로 293 201호,127.1551354,37.5464688,,http://fairins.kr
강동구,소음,키워드:전시회,새오름갤러리,"문화,예술>갤러리,화랑",서울특별시 강동구 풍성로65길 73 1층 103호 새오름갤러리,127.1414622,37.5308754,,
강동구,소음,키워드:전시회,서울메쎄,"문화,예술>박람회,전시회",서울특별시 강동구 고덕비즈밸리로 51 2105호,127.1573288,37.5666604,,http://www.seoulmesse.com
강동구,소음,키워드:전시회,티엘엔터테인먼트,"문화,예술>공연기획사",서울특별시 강동구 양재대로81길 8,127.1336887,37.5228898,,http://tlent.co.kr
강동구,소음,키워드:힐링,에즈블랑 현대백화점 천호점,"미용>피부,체형관리",서울특별시 강동구 천호대로 1005 현대백화점 천호점 11층,127.1239945,37.5389217,,https://www.instagram.com/asblanc_cheonho
강동구,소음,키워드:힐링,365힐링의원,"병원,의원>내과",서울특별시 강동구 천호대로 1087 진넥스빌 201호,127.1327397,37.5362042,,
강동구,소음,키워드:힐링,힐링핏필라테스 명일본점,스포츠시설>필라테스,서울특별시 강동구 양재대로 1666 지하1층,127.1448511,37.5543831,,https://blog.naver.com/hoho5222
강동구,소음,키워드:힐링,힐링힐링 강아지유치원&amp;강아지호텔 애견유치원&amp;애견호텔,반려동물>반려동물호텔,"서울특별시 강동구 상일로19길 31 1, 2층",127.16909,37.5591322,,https://www.instagram.com/healing_kindergarten/
강동구,소음,키워드:힐링,강동힐링스토리안마원,"미용>안마,마사지,지압",서울특별시 강동구 상일로19길 14 1층 강동힐링스토리안마원,127.1699996,37.5593876,,
강동구,소음,키워드:수목원,푸름체험여행,"여행,명소>체험여행",서울특별시 강동구 명일로 176 둔촌푸르지오상가동 2층 207호,127.1453145,37.5344989,,http://pureumedu.kr/
강동구,소음,키워드:수목원,왕성수목원,"시설,건물>농공시설",,127.1522053,37.5368337,,
강동구,소음,키워드:수목원,뜨랑,"여행,명소>식물원,수목원",서울특별시 강동구 동남로 870 강동아트센터,127.1577347,37.5513008,,
강동구,소음,키워드:식물원,동서울식물원,"쇼핑,유통>원예,화훼농원",서울특별시 강동구 천호대로 1267-1,127.1511926,37.538013,,http://www.facebook.com/ghkd17
강동구,소음,키워드:식물원,정글식물원,"쇼핑,유통>원예,화훼농원",서울특별시 강동구 상암로 292 정글꽃식물원,127.1550574,37.546149,,
강동구,소음,키워드:식물원,푸름꽃식물원,"생활,편의>꽃집,꽃배달",서울특별시 강동구 천호대로 1320,127.1565025,37.5395612,,
강동구,소음,키워드:식물원,미래식물원,"생활,편의>꽃집,꽃배달",서울특별시 강동구 천호대로 1437,127.1679676,37.5450714,,
강동구,소음,키워드:식물원,새봄식물원,"쇼핑,유통>원예,화훼농원",서울특별시 강동구 가래여울길 1,127.1685123,37.5758876,,
강동구,소음,키워드:조용한,연풍민락,술집>이자카야,서울특별시 강동구 천호대로157길 18 2층 연풍민락,127.1275006,37.5385014,,https://www.instagram.com/yeonpung_/
강동구,소음,키워드:조용한,놉스 천호점,"양식>스테이크,립",서울특별시 강동구 천호대로 1024 힐스테이트 천호역 젠트리스 지1층 B101호~B108호,127.1256988,37.5372437,,https://app.catchtable.co.kr/ct/shop/nops_cheonho
강동구,소음,키워드:조용한,개수리막국수 암사점,한식>막국수,서울특별시 강동구 올림픽로 759 1층,127.1268556,37.5490627,,http://www.개수리막국수.kr
강동구,소음,키워드:조용한,그레인바운더리 천호점,"음식점>카페,디저트>베이커리","서울특별시 강동구 올림픽로70길 50-8 지하1층, 1층",127.1263304,37.5388915,,https://www.instagram.com/grainboundary_official/
강동구,소음,키워드:혼자 가기 좋은,해피PC방,"스포츠,오락>PC방",서울특별시 강동구 올림픽로 801 지하,127.128125,37.5526174,,
강동구,소음,키워드:조용히,카페인24 암사역사공원역점,"카페,디저트>카페",서울특별시 강동구 고덕로27길 33 1층,127.1378106,37.5562942,,
강동구,소음,키워드:산책코스,송파둘레길성내천길,"여행,명소>도보코스",,127.1292525,37.5181515,,
강동구,소음,키워드:산책코스,송파둘레길,"여행,명소>산책로",,127.1058327,37.5245283,,
강동구,소음,키워드:산책코스,중랑구무장애나눔길,"여행,명소>도보코스",,127.1021064,37.5857055,,
강북구,소음,키워드:조용한 카페,스타벅스 수유역점,"카페,디저트>카페",서울특별시 강북구 도봉로 342 (번동),127.0260631,37.6380639,,http://www.starbucks.co.kr/
강북구,소음,키워드:조용한 카페,스타벅스 강북구청사거리점,"카페,디저트>카페",서울특별시 강북구 도봉로 365 (수유동),127.0274331,37.6399878,,http://www.starbucks.co.kr/
강북구,소음,키워드:조용한 카페,카페 산아래,"카페,디저트>카페",서울특별시 강북구 삼양로181길 56 102호,127.0106168,37.6667756,,http://instagram.com/cafe_sanare
강북구,소음,키워드:조용한 카페,수유리조트,"음식점>카페,디저트",서울특별시 강북구 노해로8가길 45,127.0233403,37.6401039,,https://www.instagram.com/suyuresort?igsh=Y3R2czllMXlnaGh0
강북구,소음,키워드:조용한 카페,어니언 미아,"음식점>카페,디저트",서울특별시 강북구 솔매로50길 55 카페 어니언,127.0281149,37.6240797,,http://onionkr.com
강북구,소음,키워드:도서관,강북문화정보도서관,"교육,학문>도서관",서울특별시 강북구 오현로 145,127.0360502,37.6251529,,http://www.gblib.or.kr/gangbuk/
