자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL,_global_excluded,_tag_match
강남구,소음,키워드:박물관,스페이스 씨,"문화,예술>전시관",서울특별시 강남구 언주로 827,127.0328282,37.5240842,,https://blog.naver.com/coreana-museum,False,False
강남구,소음,키워드:박물관,크리에이티브통,"문화,예술>전시관","서울특별시 강남구 역삼로5길 11-1 , , 4층(역삼동)",127.0319336,37.4944856,,http://www.creativetong.co.kr/,False,False
강남구,소음,키워드:조용한,야나기일식집 초밥스시 청담역점,음식점>일식>일식당,서울특별시 강남구 학동로101길 21 상가104호 야나기일식집 초밥스시 청담역점,127.0571517,37.5217787,,https://blog.naver.com/sms4118,False,False
강남구,소음,키워드:조용한,어거스트힐 강남점,음식점>양식,서울특별시 강남구 강남대로106길 25,127.0276421,37.5033562,,http://www.instagram.com/augusthill_official_/,False,False
강동구,소음,키워드:박물관,서울 암사동 유적 박물관전시실,"문화,예술>전시관",서울특별시 강동구 올림픽로 875 서울 암사동 유적,127.131004,37.5615479,,,False,False
강서구,소음,키워드:조용한,모로미 강서구청점,음식점>일식당,서울특별시 강서구 화곡로58길 22-3 2층,126.8522221,37.5527432,,https://www.instagram.com/moromi_gangseo,False,False
관악구,소음,키워드:조용한 카페,사생활,음식점>패밀리레스토랑,서울특별시 관악구 신사로14길 19 지하1층,126.9165271,37.4878028,,https://www.instagram.com/theprivatelife__sillim/,False,False
관악구,소음,키워드:조용한,동경산책 서울대입구점,음식점>일식>일식당,서울특별시 관악구 관악로14길 30 2층,126.9542,37.4789029,,http://www.instagram.com/d.k.sancheck,False,False
관악구,소음,키워드:조용한,서울초밥,"음식점>일식>초밥,롤",서울특별시 관악구 신림동7길 15 1층,126.9263977,37.4863359,,https://www.instagram.com/,False,False
광진구,소음,키워드:조용한,탄토탄토,음식점>이탈리아음식,서울특별시 광진구 아차산로33길 49 2층,127.0707414,37.5425095,,https://www.instagram.com/tantotanto_ku,False,False
구로구,소음,키워드:박물관,평화박물관건립추진위원회_스페이스99,"문화,예술>전시관",서울특별시 구로구 부일로9길 135 2층,126.8218007,37.4969177,,http://www.peacemuseum.or.kr/,False,False
구로구,소음,키워드:조용한,이자카야나무 구로디지털단지점,음식점>술집>이자카야,서울특별시 구로구 디지털로32나길 38 2층 이자카야나무,126.9012439,37.4846339,,https://app.catchtable.co.kr/ct/shop/Izakayanamuguro,False,False
금천구,소음,키워드:박물관,금천 순이의 집 구로공단 노동자생활체험관,"문화,예술>전시관",서울특별시 금천구 벚꽃로44길 17 금천 순이의 집 구로공단 노동자생활체험관,126.8836333,37.4828417,,https://gchistory.kr,False,False
금천구,소음,키워드:조용한,미분당 가산점,음식점>베트남음식,서울특별시 금천구 디지털로10길 69 A동 1층 106호,126.8911305,37.4750226,,,False,False
도봉구,소음,키워드:조용한,경복궁 창동점,"음식점>육류,고기요리",서울특별시 도봉구 도봉로 610,127.041246,37.659039,,http://www.kyungbokkung.co.kr/,False,False
도봉구,소음,키워드:조용한,미분당 창동점,음식점>베트남음식,서울특별시 도봉구 해등로 139 1층 107호,127.0403237,37.6558344,,https://www.instagram.com/mifendang_changdong,False,False
동대문구,소음,키워드:박물관,한국경제발전전시관,"문화,예술>전시관",서울특별시 동대문구 회기로 47 글로벌지식협력단지,127.0427996,37.594754,,http://www.gkedc.go.kr/,False,False
동작구,소음,키워드:조용한,미분당 노량진점,음식점>베트남음식,서울특별시 동작구 만양로 105 한성빌딩 107호,126.9438923,37.5129009,,http://www.mifendang.com,False,False
동작구,소음,키워드:조용한,미분당 신대방삼거리점,음식점>베트남음식,서울특별시 동작구 보라매로19길 25 1층 미분당 신대방삼거리점,126.9263243,37.4978359,,,False,False
마포구,소음,키워드:조용한,연남토마 본점,음식점>퓨전음식,서울특별시 마포구 월드컵북로6길 61 연남토마,126.9214704,37.5595232,,https://app.catchtable.co.kr/ct/shop/yntm_yn,False,False
마포구,소음,키워드:조용한,헤이죠지,음식점>양식,서울특별시 마포구 동교로46길 42-24 1층 헤이죠지,126.9265566,37.561697,,,False,False
서대문구,소음,키워드:조용한,미분당 신촌본점,음식점>베트남음식,서울특별시 서대문구 연세로5길 26-7 1층 미분당 신촌본점,126.93524,37.5566877,,http://www.mifendang.com,False,False
서대문구,소음,키워드:조용한,그로어스,음식점>양식,서울특별시 서대문구 연희로27길 52,126.9333376,37.5723021,,https://catchtable.co.kr/growers,False,False
서대문구,소음,키워드:조용한,미분당 가좌점,음식점>베트남음식,서울특별시 서대문구 증가로 122 백련빌딩 1층,126.9241968,37.5773645,,https://www.instagram.com/mifendang_gajwa?igsh=NmxwbGtkZ3Vvdms5,False,False
서초구,소음,키워드:박물관,예술의전당 서울서예박물관,"문화,예술>전시관",서울특별시 서초구 남부순환로 2406,127.0118321,37.4782657,,,False,False
서초구,소음,키워드:조용한,이자카야나무 서초점,음식점>술집>이자카야,서울특별시 서초구 서초대로75길 23 지하1층~지상4층,127.0253464,37.4997854,,https://app.catchtable.co.kr/ct/shop/IzakayanamuGangnamNo_3?from=share&type=DINING,False,False
서초구,소음,키워드:조용한,바바인디아,음식점>인도음식,"서울특별시 서초구 강남대로 359 도씨에빛 2차 201,202,213호",127.0285899,37.4949661,,,False,False
성동구,소음,키워드:조용한,진작다이닝 성수점,음식점>일식>일식당,서울특별시 성동구 왕십리로14나길 10 1층,127.0457186,37.549352,,https://catchtable.co.kr/jinjakdining_seongsu,False,False
성북구,소음,키워드:조용한,동경산책 성신여대점,음식점>일식>일식당,서울특별시 성북구 보문로34길 45 1층,127.0179133,37.5908482,,http://www.instagram.com/d.k.sancheck,False,False
성북구,소음,키워드:조용한,르한스,음식점>양식,서울특별시 성북구 정릉로10길 127,126.9983456,37.6041052,,https://app.catchtable.co.kr/ct/shop/lehans,False,False
성북구,소음,키워드:조용한,와이인,음식점>양식,서울특별시 성북구 삼선교로18길 6 1층,127.012287,37.5885744,,https://app.catchtable.co.kr/ct/shop/yin,False,False
성북구,소음,키워드:조용한,미분당 동덕여대점,음식점>베트남음식,서울특별시 성북구 화랑로11길 31 1층,127.042054,37.6037601,,https://www.instagram.com/mifendang_dwu,False,False
송파구,소음,키워드:조용한,동경산책 석촌호수점,음식점>일식>일식당,서울특별시 송파구 백제고분로45길 15 1층 102호,127.1097314,37.5096068,,http://www.instagram.com/d.k.sancheck,False,False
송파구,소음,키워드:조용한,요리하는남자,음식점>이탈리아음식,서울특별시 송파구 백제고분로7길 27 반석빌딩 지하1층,127.0818596,37.5108441,,https://catchtable.co.kr/cookingguys,False,False
양천구,소음,키워드:조용한,사쿠라테이엔 오목교직영점,음식점>술집>이자카야,"서울특별시 양천구 오목로 345 슬로우스퀘어 1층 127호, 128호",126.8758208,37.5247776,,https://www.sakurateien.com/,False,False
양천구,소음,키워드:조용한,포코아,음식점>브런치,서울특별시 양천구 목동중앙북로24길 23-13 1~2층,126.8783656,37.545316,,https://app.catchtable.co.kr/ct/shop/focoa,False,False
양천구,소음,키워드:조용한,삿뽀로 목동점,음식점>일식>일식당,서울특별시 양천구 목동동로 189,126.8706663,37.5224539,,https://blog.naver.com/youngentas,False,False
용산구,소음,키워드:조용한,드포레 와인&amp;비스트로 용산점,음식점>양식,서울특별시 용산구 한강대로15길 8-3 1층,126.9639376,37.5260753,,https://app.catchtable.co.kr/ct/shop/DeFore,False,False
은평구,소음,키워드:박물관,다락방,"문화,예술>문화시설",서울특별시 은평구 진관길 23 다락방,126.941182,37.6415146,,https://www.instagram.com/eunpyeong_museum/,False,False
종로구,소음,키워드:박물관,KT 온마루,"문화,예술>전시관",서울특별시 종로구 세종대로 178 KT광화문빌딩 West 2층,126.9778819,37.5721535,,,False,False
종로구,소음,키워드:조용한,독립밀방 익선,음식점>양식,서울특별시 종로구 돈화문로11나길 30 독립밀방 익선,126.9902619,37.5740791,,http://www.instagram.com/dongnip_millbang,False,False
종로구,소음,키워드:조용한,연남토마 북촌점,음식점>퓨전음식,서울특별시 종로구 북촌로5길 39 1층,126.9827234,37.5793518,,https://app.catchtable.co.kr/ct/shop/yntm_bc,False,False
중랑구,소음,키워드:조용한,미분당 중랑점,음식점>베트남음식,서울특별시 중랑구 망우로 378 1층,127.0941708,37.5983129,,,False,False
