자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL,_global_excluded,_tag_match
강남구,소음,키워드:조용한 카페,카페베이직먼트,음식점 > 카페,서울 강남구 언주로150길 35,127.037135872075,37.5218261892523,0507-1379-6960,http://place.map.kakao.com/1490822604,False,True
강남구,소음,키워드:조용한 카페,106길 15,음식점 > 카페,서울 강남구 강남대로106길 15,127.02682596950105,37.50310701477586,0507-1436-8521,http://place.map.kakao.com/568167594,False,True
강남구,소음,키워드:도서관,별마당도서관 스타필드코엑스몰,"교육,학문 > 학습시설 > 도서관",,127.06015941426637,37.510192859355016,02-6002-3031,http://place.map.kakao.com/2104663194,False,True
강남구,소음,키워드:도서관,국립어린이청소년도서관,"교육,학문 > 학습시설 > 도서관 > 국공립도서관",서울 강남구 테헤란로7길 21,127.029702227067,37.5009321996311,02-3413-4800,http://place.map.kakao.com/11474601,False,True
강남구,소음,키워드:도서관,논현문화마루도서관,"교육,학문 > 학습시설 > 도서관",서울 강남구 논현로131길 40,127.02710580276,37.5138469281521,02-512-8580,http://place.map.kakao.com/1703582456,False,True
강남구,소음,키워드:도서관,역삼푸른솔도서관,"교육,학문 > 학습시설 > 도서관",서울 강남구 테헤란로8길 36,127.03200057186992,37.4964175578716,02-2051-1178,http://place.map.kakao.com/12273993,False,True
강남구,소음,키워드:도서관,강남구립 개포하늘꿈도서관,"교육,학문 > 학습시설 > 도서관 > 국공립도서관",서울 강남구 개포로110길 54,127.080357134863,37.4906695646022,02-451-1511,http://place.map.kakao.com/532966336,False,True
강남구,소음,키워드:도서관,도곡정보문화도서관,"교육,학문 > 학습시설 > 도서관",서울 강남구 도곡로18길 57,127.038742912705,37.4881641147195,1644-3227,http://place.map.kakao.com/19294155,False,True
강남구,소음,키워드:도서관,서울특별시교육청 강남도서관,"교육,학문 > 학습시설 > 도서관",서울 강남구 선릉로116길 45,127.047062961513,37.513753264995,02-3448-4741,http://place.map.kakao.com/8692300,False,True
강남구,소음,키워드:도서관,서울특별시교육청 개포도서관,"교육,학문 > 학습시설 > 도서관",서울 강남구 선릉로4길 30,127.06390384819512,37.48309672672426,02-3460-8200,http://place.map.kakao.com/12442912,False,True
강남구,소음,키워드:도서관,삼성도서관,"교육,학문 > 학습시설 > 도서관 > 작은도서관",서울 강남구 봉은사로 616,127.062785883707,37.5144487368682,02-568-9984,http://place.map.kakao.com/21811810,False,True
강남구,소음,키워드:도서관,역삼2작은도서관,"교육,학문 > 학습시설 > 도서관 > 작은도서관",서울 강남구 언주로 314,127.0466695130328,37.49586666364767,02-567-0930,http://place.map.kakao.com/422726838,False,True
강남구,소음,키워드:도서관,아름다운도서관,"교육,학문 > 학습시설 > 도서관 > 작은도서관",서울 강남구 삼성로70길 4,127.059753650758,37.5020344644686,070-5135-1385,http://place.map.kakao.com/2014709450,False,True
