자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL,_global_excluded,_tag_match
강남구,소음,키워드:북카페,AR영어북카페,"교육,학문 > 학원 > 어학원 > 영어학원",서울 강남구 남부순환로 2927,127.060357623802,37.4936764227663,02-2051-2727,http://place.map.kakao.com/593078524,False,False
강남구,소음,키워드:박물관,국립박물관,음식점 > 한식,서울 강남구 삼성로 417,127.05770150348,37.5041339265593,,http://place.map.kakao.com/1425724125,False,False
강남구,소음,키워드:박물관,생생박물관,"교육,학문 > 교육단체 > 체험학습장",서울 강남구 테헤란로64길 13,127.05143606683929,37.50424043647485,02-3431-8738,http://place.map.kakao.com/23777293,False,False
강남구,소음,키워드:박물관,수도박물관 개방화장실,"가정,생활 > 화장실",,127.04352067551,37.5396377070155,,http://place.map.kakao.com/1263389041,True,False
강남구,소음,키워드:박물관,수도박물관 음수대2,여행 > 공원시설물,,127.043055072886,37.5386665996195,,http://place.map.kakao.com/1675613731,False,False
강동구,소음,키워드:북카페,빠네렌토,"음식점 > 간식 > 제과,베이커리",서울 강동구 동남로 881,127.1556068936933,37.552357201671455,02-3427-1686,http://place.map.kakao.com/26526199,False,False
강동구,소음,키워드:북카페,보아스샌드위치카페,음식점 > 패스트푸드 > 샌드위치,서울 강동구 풍성로37가길 58,127.129346976455,37.5325479887002,0503-5287-9493,http://place.map.kakao.com/1509525984,False,False
강동구,소음,키워드:북카페,올림픽파크포레온아파트 클럽포레온3단지북카페,부동산 > 주거시설 > 아파트 > 아파트부속시설,서울 강동구 양재대로 1300,127.136725086077,37.5215753922209,,http://place.map.kakao.com/1890378818,False,False
강동구,소음,키워드:북카페,청소년카페똥꼬다락방,"교육,학문 > 학습교재 > 학습지",서울 강동구 동남로65길 12,127.155200182323,37.5477806691034,02-426-1917,http://place.map.kakao.com/1105839830,False,False
강동구,소음,키워드:미술관,미술관,음식점 > 한식,서울 강동구 구천면로 165,127.12335914883631,37.541842803024686,070-8955-9292,http://place.map.kakao.com/458783823,False,False
강동구,소음,키워드:미술관,도쿄장난감미술관 서울 팝업 현대백화점천호점,"가정,생활 > 유아 > 놀이시설",서울 강동구 천호대로 1005,127.124535330064,37.5387565464916,02-2225-8516,http://place.map.kakao.com/2137300329,False,False
강동구,소음,키워드:박물관,해양박물관,"가정,생활 > 반려동물",서울 강동구 풍성로56길 15,127.135080081408,37.5283609265166,02-476-7905,http://place.map.kakao.com/17008684,False,False
강동구,소음,키워드:감성카페,카페오늘,음식점 > 양식,서울 강동구 상암로4가길 36,127.12463223492,37.5507496383222,02-442-0701,http://place.map.kakao.com/1453053277,False,False
강동구,소음,키워드:힐링카페,백토방힐링카페,"가정,생활 > 미용",서울 강동구 천중로12길 23,127.127272493827,37.5441479104897,02-477-0364,http://place.map.kakao.com/258032905,False,False
강북구,소음,키워드:북카페,숲속북카페,여행 > 공원시설물,,127.003828645917,37.6215883470206,,http://place.map.kakao.com/170378647,False,False
강북구,소음,키워드:미술관,서울시립북서울미술관 주차장,"교통,수송 > 교통시설 > 주차장 > 공영주차장",,127.06699633327418,37.64129467363058,,http://place.map.kakao.com/326482790,True,False
강북구,소음,키워드:힐링카페,힐링풋카페,"가정,생활 > 미용 > 발관리",서울 강북구 도봉로10가길 12,127.031096808562,37.613001498583,02-988-8787,http://place.map.kakao.com/27305909,False,False
강북구,소음,키워드:힐링카페,바디닥터 힐링카페,"가정,생활 > 미용",서울 강북구 노해로33길 35,127.022636197862,37.6464534406015,,http://place.map.kakao.com/511835958,False,False
강서구,소음,키워드:북카페,시아북카페 마곡점 Sia Bookcafe,"교육,학문 > 학원",서울 강서구 마곡중앙로 59-17,126.824780337256,37.5589214165118,,http://place.map.kakao.com/1953904167,False,False
강서구,소음,키워드:미술관,겸재정선미술관 주차장,"교통,수송 > 교통시설 > 주차장",서울 강서구 양천로47길 36,126.83833443775,37.572087174107,,http://place.map.kakao.com/354394996,True,False
강서구,소음,키워드:미술관,노효주미술 에땅어린이미술관네트웍스,"교육,학문 > 학원 > 미술학원",서울 강서구 양천로49길 29,126.84054410062,37.5699494167826,,http://place.map.kakao.com/23299269,False,False
강서구,소음,키워드:박물관,박물관주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",서울 강서구 양천로53길 97,126.850320009725,37.5675006982525,02-3665-5189,http://place.map.kakao.com/7879335,True,False
강서구,소음,키워드:박물관,국립항공박물관 주차장,"교통,수송 > 교통시설 > 주차장",,126.808523107258,37.5572599620524,,http://place.map.kakao.com/1496529230,True,False
강서구,소음,키워드:박물관,허준박물관 주차장,"교통,수송 > 교통시설 > 주차장",서울 강서구 허준로 87,126.851030111243,37.5678728063438,,http://place.map.kakao.com/1622875726,True,False
강서구,소음,키워드:박물관,국립항공박물관 어린이공항체험,"교육,학문 > 교육단체 > 체험학습장",서울 강서구 하늘길 177,126.809005885557,37.5570057621045,,http://place.map.kakao.com/2036725486,False,False
강서구,소음,키워드:박물관,국립항공박물관 항공배움놀이터,"교육,학문 > 교육단체 > 체험학습장",서울 강서구 하늘길 177,126.808951959465,37.5568498025313,02-6940-3198,http://place.map.kakao.com/2008449848,False,False
강서구,소음,키워드:박물관,인천시립박물관 공중화장실,"가정,생활 > 화장실",서울 강서구 강서로47길 54,126.833177539739,37.5531167459524,032-440-6722,http://place.map.kakao.com/722416750,True,False
강서구,소음,키워드:박물관,허준박물관교차로,"교통,수송 > 도로시설 > 교차로",,126.850854595583,37.5673391957065,,http://place.map.kakao.com/10153715,True,False
강서구,소음,키워드:박물관,한생연 생명과학박물관 목동점 주차장,"교통,수송 > 교통시설 > 주차장",,126.872006299283,37.5238602073025,,http://place.map.kakao.com/2049200273,True,False
강서구,소음,키워드:박물관,국립항공박물관 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",서울 강서구 하늘길 177,126.808872686445,37.55686949614281,02-1833-4903,http://place.map.kakao.com/1567189690,True,False
강서구,소음,키워드:힐링카페,제니스코리아,"서비스,산업 > 식품 > 음료,주류제조 > 차,커피",서울 강서구 공항대로 525,126.8652888950372,37.551539556706224,0507-1422-3579,http://place.map.kakao.com/663636450,False,False
관악구,소음,키워드:북카페,내사랑을먹어주세요,"음식점 > 간식 > 제과,베이커리",서울 관악구 관악로15길 23-16,126.950788904267,37.4795429728125,0507-1466-5631,http://place.map.kakao.com/2022278875,False,False
관악구,소음,키워드:북카페,음주가의책방,음식점 > 술집 > 와인바,서울 관악구 관악로12길 3-14,126.952798461433,37.4787436964949,010-5804-3092,http://place.map.kakao.com/1289435811,False,False
관악구,소음,키워드:북카페,셀레스트,음식점 > 술집 > 칵테일바,서울 관악구 남부순환로234길 28,126.956753532183,37.4781937925687,,http://place.map.kakao.com/491424256,False,False
관악구,소음,키워드:북카페,소문의소문,"서비스,산업 > 전문대행 > 공간대여",서울 관악구 남부순환로226길 40,126.95348235065885,37.4789196645222,0502-5552-7349,http://place.map.kakao.com/1216745321,False,False
관악구,소음,키워드:박물관,호림박물관 주차장,"교통,수송 > 교통시설 > 주차장",서울 관악구 남부순환로152길 53,126.91823364871898,37.481603556151526,,http://place.map.kakao.com/17570595,True,False
관악구,소음,키워드:박물관,한국대학박물관협회,"사회,공공기관 > 단체,협회",서울 관악구 관악로 1,126.955030765517,37.4608459901949,02-880-8867,http://place.map.kakao.com/214684899,False,False
관악구,소음,키워드:박물관,서울대학교 수의과대학 수의학박물관,"교육,학문 > 학교부속시설",서울 관악구 관악로 1,126.954248297111,37.4668977846012,,http://place.map.kakao.com/325324967,False,False
관악구,소음,키워드:힐링카페,비타민힐링카페,"가정,생활 > 미용 > 체형관리",서울 관악구 난곡로 227,126.91671188707106,37.4744268556653,,http://place.map.kakao.com/908129673,False,False
광진구,소음,키워드:감성카페,투또톤토,"서비스,산업 > 식품 > 음료,주류제조 > 차,커피",서울 광진구 능동로 125,127.07143704771345,37.54215773015539,02-6093-0125,http://place.map.kakao.com/946999578,False,False
광진구,소음,키워드:조용한,조용한주택,음식점 > 양식,서울 광진구 동일로24길 24,127.066439234329,37.5436193658804,02-7777-5555,http://place.map.kakao.com/1199981384,False,False
광진구,소음,키워드:조용한,조용한술집,"음식점 > 술집 > 호프,요리주점",서울 광진구 아차산로51길 61,127.08476044291828,37.53980631953616,02-6012-3763,http://place.map.kakao.com/454274455,False,False
구로구,소음,키워드:북카페,유토피아 북카페독서실,"교육,학문 > 학습시설 > 독서실",서울 구로구 가마산로 286,126.892189749984,37.4966231784878,,http://place.map.kakao.com/463104421,False,False
구로구,소음,키워드:미술관,마음을그리는미술관,"교육,학문 > 학원 > 미술학원",서울 구로구 고척로 49,126.839907649317,37.4986335071409,02-2689-0421,http://place.map.kakao.com/93797494,False,False
구로구,소음,키워드:미술관,이야기가있는미술관,"교육,학문 > 학원 > 미술학원",서울 구로구 고척로55길 22-9,126.855802943168,37.5064233447232,02-3666-8031,http://place.map.kakao.com/15588794,False,False
구로구,소음,키워드:미술관,G밸리산업박물관,"문화,예술 > 문화시설 > 박물관",서울 구로구 디지털로26길 38,126.895266356332,37.4799176625706,02-6734-6900,http://place.map.kakao.com/1363614560,False,False
금천구,소음,키워드:미술관,세상을두드리는미술관 독산역미술교습소,"교육,학문 > 학원 > 미술학원",서울 금천구 벚꽃로 114,126.890239473302,37.4654113458645,010-5723-7941,http://place.map.kakao.com/785001402,False,False
금천구,소음,키워드:미술관,서울시립 서서울미술관 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",서울 금천구 시흥대로79길 65,126.895539159852,37.4577458377338,,http://place.map.kakao.com/1742068143,True,False
금천구,소음,키워드:감성카페,도넛인사이드도넛 본점,음식점 > 간식 > 도넛,서울 금천구 시흥대로141길 81,126.89764073917472,37.47650131494357,0503-7152-0762,http://place.map.kakao.com/1395184125,False,False
금천구,소음,키워드:감성카페,리부트파크 가산점,음식점 > 간식,서울 금천구 가산디지털2로 123,126.878710747667,37.4787269121831,,http://place.map.kakao.com/245333620,False,False
금천구,소음,키워드:힐링카페,크린토피아 코인워시365 독산역롯데캐슬점,"가정,생활 > 세탁소 > 셀프빨래방 > 크린토피아 코인워시",서울 금천구 범안로12길 44,126.892362135398,37.4647492532547,0502-5551-6621,http://place.map.kakao.com/2006188100,False,False
노원구,소음,키워드:미술관,북서울시립미술관 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",서울 노원구 동일로 1238,127.06678404783077,37.640838895884606,1899-2100,http://place.map.kakao.com/1606182401,True,False
노원구,소음,키워드:박물관,서울생활사박물관 주차장,"교통,수송 > 교통시설 > 주차장",서울 노원구 동일로174길 27,127.0770658708824,37.61960539775404,,http://place.map.kakao.com/1563755152,True,False
노원구,소음,키워드:박물관,서울생활사박물관 어린이체험실,"교육,학문 > 교육단체 > 체험학습장",서울 노원구 동일로174길 27,127.076938453724,37.6201667961584,02-3399-2900,http://place.map.kakao.com/301229963,False,False
노원구,소음,키워드:박물관,서울생활사박물관 노상민영주차장,"교통,수송 > 교통시설 > 주차장",서울 노원구 동일로174길 27,127.076889517881,37.6199442841246,,http://place.map.kakao.com/773317571,True,False
노원구,소음,키워드:박물관,시민생활사박물관 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",서울 노원구 동일로174길 27,127.076516766882,37.6198571306271,,http://place.map.kakao.com/836081218,True,False
도봉구,소음,키워드:북카페,글림 쌍문점,"음식점 > 간식 > 제과,베이커리",서울 도봉구 도봉로118길 6-8,127.03532249747238,37.64877666372405,02-6015-8515,http://place.map.kakao.com/1545958136,False,False
도봉구,소음,키워드:북카페,씨앗플러스&한우투뿔스테이크하우스,음식점 > 양식 > 이탈리안,서울 도봉구 도봉로 602-10,127.041111167,37.6579936424215,,http://place.map.kakao.com/21538553,False,False
도봉구,소음,키워드:미술관,"사진-책방, 책가도","문화,예술 > 도서 > 서점 > 독립서점",서울 도봉구 해등로 109,127.04086952160488,37.65339331105586,0507-1474-1386,http://place.map.kakao.com/1789984655,False,False
도봉구,소음,키워드:미술관,사진미술관 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",서울 도봉구 마들로13길 68,127.0489473612084,37.65551475245142,,http://place.map.kakao.com/372446625,True,False
도봉구,소음,키워드:미술관,서울사진미술관 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",서울 도봉구 마들로13길 68,127.0489473612084,37.65551475245142,,http://place.map.kakao.com/530396547,True,False
도봉구,소음,키워드:감성카페,포시즌살롱 창동점,음식점 > 패스트푸드 > 샌드위치,서울 도봉구 도봉로110길 39-9,127.0356024700926,37.64658088280715,010-4482-8501,http://place.map.kakao.com/1161808953,False,False
동대문구,소음,키워드:감성카페,에잇올리,음식점 > 양식,서울 동대문구 경희대로6길 3-2,127.05305999512886,37.593456595031554,02-6012-2770,http://place.map.kakao.com/10329690,False,False
동대문구,소음,키워드:힐링카페,울랄라점핑힐링카페,"가정,생활 > 미용 > 체형관리 > 다이어트,비만",서울 동대문구 장한로28길 44,127.074332431292,37.5727105582574,010-5345-4772,http://place.map.kakao.com/456976371,False,False
동작구,소음,키워드:미술관,헤어미술관,"가정,생활 > 미용 > 미용실",서울 동작구 동작대로35길 24,126.98108798535,37.4911792201416,02-595-8963,http://place.map.kakao.com/1878894070,False,False
동작구,소음,키워드:박물관,국립중앙박물관 거울못,"여행 > 관광,명소 > 연못",,126.979452174755,37.5227168266626,,http://place.map.kakao.com/8190998,False,False
동작구,소음,키워드:조용한,무음,"음식점 > 술집 > 호프,요리주점",서울 동작구 흑석로 24-1,126.95334750054118,37.504873126255454,070-7720-0926,http://place.map.kakao.com/764918916,False,False
마포구,소음,키워드:박물관,서대문자연사박물관 주차장,"교통,수송 > 교통시설 > 주차장",,126.93768247754534,37.57688371080378,,http://place.map.kakao.com/20590581,True,False
마포구,소음,키워드:감성카페,가든포에트,음식점 > 양식,서울 마포구 와우산로14길 12,126.923740100916,37.5501889208756,010-6806-2025,http://place.map.kakao.com/916565237,False,False
마포구,소음,키워드:감성카페,36.5도여름 동쪽점,음식점 > 술집 > 칵테일바,서울 마포구 와우산로29길 9,126.929176901521,37.5546180088683,010-9797-0985,http://place.map.kakao.com/15888111,False,False
마포구,소음,키워드:조용한,조용한저녁,음식점 > 양식,서울 마포구 서강로11길 18,126.9326781867499,37.553647880604494,010-8454-4540,http://place.map.kakao.com/27436307,False,False
서대문구,소음,키워드:조용한,쉐프수,"음식점 > 양식 > 스테이크,립",서울 서대문구 연희맛로 7-8,126.9285036141251,37.5663720059281,02-338-1229,http://place.map.kakao.com/1465996877,False,False
서초구,소음,키워드:북카페,브릿지온 북카페,"교육,학문 > 교육단체 > 평생교육원,사회교육원",서울 서초구 방배천로2길 39-16,126.98466176159864,37.477356465408846,070-4915-7979,http://place.map.kakao.com/331649734,False,False
서초구,소음,키워드:박물관,국립국악원,"문화,예술 > 문화시설 > 공연장,연극극장",서울 서초구 남부순환로 2364,127.00882857012994,37.47792476713986,02-580-3300,http://place.map.kakao.com/12446320,False,False
서초구,소음,키워드:박물관,외교센터 외교박물관,"사회,공공기관 > 행정기관 > 행정기관관련기타",서울 서초구 남부순환로 2558,127.029531965329,37.4821119999393,,http://place.map.kakao.com/18038838,False,False
성동구,소음,키워드:감성카페,쓰윗,음식점 > 간식 > 아이스크림,서울 성동구 연무장3길 12,127.0517806573392,37.54465023869797,070-4099-7408,http://place.map.kakao.com/1731130818,False,False
성동구,소음,키워드:조용한,조용한청년들,"서비스,산업 > 건설,건축 > 시공업체 > 방수,방음시공",서울 성동구 성수이로 66,127.05612285966,37.5406117770539,1668-0613,http://place.map.kakao.com/1203408541,False,False
성북구,소음,키워드:힐링카페,힐링풋카페,"가정,생활 > 미용 > 화장품",서울 성북구 동소문로20다길 2,127.01688908010576,37.59150945748268,02-927-6888,http://place.map.kakao.com/19730904,False,False
송파구,소음,키워드:미술관,작은미술관미술교육,"교육,학문 > 학원 > 미술학원",서울 송파구 새말로 125,127.127798603531,37.4830809318531,02-401-7333,http://place.map.kakao.com/626598646,False,False
송파구,소음,키워드:미술관,롯데마트 송파점,"가정,생활 > 대형마트 > 롯데마트",서울 송파구 중대로 80,127.11774721948495,37.49173203885067,02-2295-2500,http://place.map.kakao.com/10890823,False,False
송파구,소음,키워드:미술관,파스쿠찌 소마미술관점,음식점 > 카페 > 커피전문점 > 파스쿠찌,서울 송파구 위례성대로 51,127.1181238699596,37.51692195963447,02-424-6787,http://place.map.kakao.com/1880900282,False,False
송파구,소음,키워드:미술관,예중예고 그미술관 미술학원,"교육,학문 > 학원 > 미술학원",서울 송파구 올림픽로 119,127.084183905422,37.5120856063515,02-413-3343,http://place.map.kakao.com/150941150,False,False
송파구,소음,키워드:박물관,롯데월드 민속박물관 전통혼례장,"가정,생활 > 결혼 > 예식장",서울 송파구 올림픽로 240,127.097531460302,37.510986926538,02-411-3703,http://place.map.kakao.com/1687324400,False,False
송파구,소음,키워드:박물관,한성백제박물관 주차장,"교통,수송 > 교통시설 > 주차장",서울 송파구 위례성대로 71,127.119877286014,37.5155903124466,,http://place.map.kakao.com/20588511,True,False
송파구,소음,키워드:박물관,송파책박물관 주차장,"교통,수송 > 교통시설 > 주차장",,127.103763523543,37.4986675810014,,http://place.map.kakao.com/1322498750,True,False
송파구,소음,키워드:박물관,한성백제박물관 백제학연구소,"교육,학문 > 연구소",서울 송파구 올림픽로 424,127.120151368678,37.5172190475635,,http://place.map.kakao.com/1330464848,False,False
송파구,소음,키워드:박물관,롯데월드민속박물관 놀이마당,"문화,예술 > 문화시설 > 공연장,연극극장",서울 송파구 올림픽로 240,127.097882978508,37.5116677948309,02-411-4760,http://place.map.kakao.com/462170082,False,False
송파구,소음,키워드:박물관,한국오카리나박물관,"문화,예술 > 음악",서울 송파구 거마로3길 8,127.14396220907122,37.49426096021626,,http://place.map.kakao.com/1973366511,False,False
송파구,소음,키워드:박물관,한성백제박물관 개방화장실,"가정,생활 > 화장실",서울 송파구 위례성대로 71,127.120614753072,37.5155715416138,,http://place.map.kakao.com/1167748511,True,False
송파구,소음,키워드:박물관,송파책박물관 개방화장실,"가정,생활 > 화장실",서울 송파구 송파대로37길 77,127.104301198859,37.4990338169147,,http://place.map.kakao.com/1635454712,True,False
송파구,소음,키워드:박물관,금빛박물관,"가정,생활 > 생활용품점",서울 송파구 오금로19길 6,127.113557432835,37.5102157634385,,http://place.map.kakao.com/1471695170,False,False
송파구,소음,키워드:박물관,한성백제박물관 총무과,"서비스,산업 > 관리,운영 > 문화시설관리운영",서울 송파구 위례성대로 71,127.12087239464,37.5154127016709,02-2152-5817,http://place.map.kakao.com/1833601261,False,False
송파구,소음,키워드:박물관,서울형키즈카페 시립한성백제박물관점,"가정,생활 > 유아 > 놀이시설 > 키즈카페 > 서울형키즈카페",서울 송파구 올림픽로 424,127.12433653741395,37.52397223422003,02-2152-5890,http://place.map.kakao.com/1792851769,False,False
송파구,소음,키워드:박물관,파리바게뜨 헬리오책박물관점,"음식점 > 간식 > 제과,베이커리 > 파리바게뜨",서울 송파구 송파대로 345,127.103458430827,37.4980245303066,02-402-9390,http://place.map.kakao.com/261931036,False,False
송파구,소음,키워드:박물관,보돌미역 롯데월드 민속박물관점,음식점 > 한식,서울 송파구 올림픽로 240,127.096194773609,37.5111646194717,02-2143-1496,http://place.map.kakao.com/1912567024,False,False
송파구,소음,키워드:박물관,투루카 송파책박물관 지상주차장,"교통,수송 > 교통시설 > 카셰어링 > 투루카",서울 송파구 송파대로37길 77,127.104383544886,37.4988841771965,1600-6038,http://place.map.kakao.com/884351333,True,False
송파구,소음,키워드:박물관,저자거리주막송파 롯데월드민속박물관점,음식점 > 한식,서울 송파구 올림픽로 240,127.09813134691056,37.51131079115289,02-411-4842,http://place.map.kakao.com/1458318151,False,False
송파구,소음,키워드:박물관,송파책박물관 전기차충전소,"교통,수송 > 자동차 > 전기차 충전소",서울 송파구 송파대로37길 77,127.10438354488554,37.49888417719651,02-2640-5199,http://place.map.kakao.com/412089804,True,False
