연도,자치구,환경점수,안전점수,소음점수,교통점수,스시점수,기본태그,기본태그_유형,cluster_alt,cluster_label_alt
2022,중구,13.25,25.0,21.03,19.14,78.42,안전취약,종합위험형,0,안전+교통 취약형
2022,강남구,11.34,17.2,24.31,20.68,73.53,소음취약,종합위험형,0,안전+교통 취약형
2022,종로구,15.61,21.07,18.95,17.86,73.49,안전취약,종합위험형,0,안전+교통 취약형
2022,용산구,14.25,18.01,18.84,18.77,69.87,소음취약,종합위험형,0,안전+교통 취약형
2022,마포구,14.46,16.16,19.28,19.18,69.08,소음취약,종합위험형,0,안전+교통 취약형
2022,영등포구,13.28,17.77,18.92,18.57,68.54,소음취약,종합위험형,0,안전+교통 취약형
2022,서초구,13.31,15.13,20.37,18.98,67.79,소음취약,종합위험형,0,안전+교통 취약형
2022,동대문구,14.79,14.29,20.51,12.57,62.16,소음취약,종합위험형,3,환경+소음 취약형
2022,광진구,15.66,14.13,16.3,15.44,61.53,소음취약,한가지뚜렷형,3,환경+소음 취약형
2022,성동구,13.57,12.24,19.53,15.28,60.62,소음취약,전반안정형,2,소음+교통 취약형
2022,관악구,15.2,13.92,15.83,15.5,60.45,소음취약,한가지뚜렷형,3,환경+소음 취약형
2022,강북구,15.96,13.06,16.65,14.51,60.18,소음취약,한가지뚜렷형,3,환경+소음 취약형
2022,송파구,12.94,12.5,16.63,17.84,59.91,교통취약,전반안정형,2,소음+교통 취약형
2022,은평구,13.21,10.93,20.4,14.0,58.54,소음취약,한가지뚜렷형,2,소음+교통 취약형
2022,강동구,15.7,11.7,16.88,13.8,58.08,소음취약,한가지뚜렷형,3,환경+소음 취약형
2022,서대문구,15.19,12.56,16.36,13.15,57.26,소음취약,한가지뚜렷형,3,환경+소음 취약형
2022,강서구,11.78,11.58,19.05,14.36,56.77,소음취약,전반안정형,2,소음+교통 취약형
2022,중랑구,15.11,12.9,15.2,13.54,56.75,소음취약,한가지뚜렷형,3,환경+소음 취약형
2022,동작구,14.47,12.49,14.43,14.78,56.17,교통취약,한가지뚜렷형,3,환경+소음 취약형
2022,구로구,13.73,13.16,15.58,13.3,55.77,소음취약,전반안정형,1,환경+안전 취약형
2022,양천구,14.76,11.31,15.65,12.68,54.4,소음취약,한가지뚜렷형,3,환경+소음 취약형
2022,성북구,15.72,9.45,15.75,13.18,54.1,소음취약,한가지뚜렷형,3,환경+소음 취약형
2022,도봉구,15.52,11.38,15.08,12.05,54.03,환경취약,한가지뚜렷형,3,환경+소음 취약형
2022,노원구,14.11,12.01,13.12,14.04,53.28,환경취약,전반안정형,1,환경+안전 취약형
2022,금천구,15.23,14.89,13.69,8.68,52.49,환경취약,한가지뚜렷형,3,환경+소음 취약형
2023,강남구,9.13,16.92,25.0,20.83,71.88,소음취약,종합위험형,0,안전+교통 취약형
2023,중구,10.45,25.0,16.14,19.6,71.19,안전취약,종합위험형,0,안전+교통 취약형
2023,용산구,12.62,17.93,19.78,19.98,70.31,교통취약,종합위험형,0,안전+교통 취약형
2023,종로구,12.27,19.92,20.28,17.6,70.07,소음취약,종합위험형,0,안전+교통 취약형
2023,영등포구,11.75,16.02,19.94,20.09,67.8,교통취약,종합위험형,0,안전+교통 취약형
2023,서초구,10.74,16.09,20.21,19.04,66.08,소음취약,종합위험형,0,안전+교통 취약형
2023,마포구,11.97,16.0,17.89,19.19,65.05,교통취약,종합위험형,0,안전+교통 취약형
2023,성동구,11.78,12.98,20.48,15.74,60.98,소음취약,한가지뚜렷형,2,소음+교통 취약형
2023,동대문구,12.68,13.02,21.42,13.02,60.14,소음취약,한가지뚜렷형,2,소음+교통 취약형
2023,서대문구,14.32,13.22,17.52,14.0,59.06,소음취약,한가지뚜렷형,3,환경+소음 취약형
2023,송파구,10.15,13.31,16.84,18.25,58.55,교통취약,한가지뚜렷형,2,소음+교통 취약형
2023,은평구,10.44,11.99,20.99,13.8,57.22,소음취약,한가지뚜렷형,2,소음+교통 취약형
2023,중랑구,12.72,13.55,17.25,13.62,57.14,소음취약,전반안정형,1,환경+안전 취약형
2023,관악구,11.94,14.08,14.76,15.94,56.72,교통취약,전반안정형,1,환경+안전 취약형
2023,광진구,11.99,14.42,14.95,15.19,56.55,교통취약,전반안정형,1,환경+안전 취약형
2023,강서구,9.31,11.62,18.89,16.58,56.4,소음취약,전반안정형,2,소음+교통 취약형
2023,강북구,13.76,13.0,14.49,14.72,55.97,교통취약,전반안정형,1,환경+안전 취약형
2023,구로구,11.93,14.08,15.85,13.81,55.67,소음취약,전반안정형,1,환경+안전 취약형
2023,성북구,12.91,10.13,17.5,13.52,54.06,소음취약,전반안정형,1,환경+안전 취약형
2023,강동구,11.46,12.03,15.96,14.12,53.57,소음취약,전반안정형,1,환경+안전 취약형
2023,동작구,12.42,12.53,13.26,14.28,52.49,교통취약,전반안정형,1,환경+안전 취약형
2023,양천구,11.86,11.53,15.52,13.03,51.94,소음취약,전반안정형,1,환경+안전 취약형
2023,도봉구,12.85,12.09,14.48,12.06,51.48,소음취약,전반안정형,1,환경+안전 취약형
2023,노원구,11.1,12.16,13.96,13.94,51.16,소음취약,전반안정형,1,환경+안전 취약형
2023,금천구,12.32,14.14,14.57,8.72,49.75,소음취약,전반안정형,1,환경+안전 취약형
2024,용산구,14.1,20.59,18.75,19.8,73.24,안전취약,종합위험형,0,안전+교통 취약형
2024,중구,11.93,25.0,16.47,19.03,72.43,안전취약,종합위험형,0,안전+교통 취약형
2024,종로구,13.59,20.22,20.2,17.46,71.47,안전취약,종합위험형,0,안전+교통 취약형
2024,강남구,10.67,16.73,24.36,19.49,71.25,소음취약,종합위험형,0,안전+교통 취약형
2024,마포구,12.66,16.65,19.57,19.78,68.66,교통취약,종합위험형,0,안전+교통 취약형
2024,영등포구,13.23,15.98,18.7,18.5,66.41,소음취약,종합위험형,0,안전+교통 취약형
2024,서초구,12.64,14.52,20.96,17.78,65.9,소음취약,한가지뚜렷형,2,소음+교통 취약형
2024,성동구,13.91,13.9,21.43,15.44,64.68,소음취약,한가지뚜렷형,2,소음+교통 취약형
2024,동대문구,14.04,14.47,21.77,13.11,63.39,소음취약,한가지뚜렷형,2,소음+교통 취약형
2024,서대문구,14.21,12.95,19.22,13.96,60.34,소음취약,전반안정형,3,환경+소음 취약형
2024,송파구,11.76,13.21,16.39,18.49,59.85,교통취약,한가지뚜렷형,2,소음+교통 취약형
2024,강북구,16.04,12.87,15.48,15.02,59.41,환경취약,한가지뚜렷형,3,환경+소음 취약형
2024,은평구,11.54,12.42,20.52,13.68,58.16,소음취약,한가지뚜렷형,2,소음+교통 취약형
2024,관악구,13.63,13.94,15.03,15.47,58.07,교통취약,전반안정형,1,환경+안전 취약형
2024,중랑구,13.4,13.59,16.38,13.74,57.11,소음취약,전반안정형,1,환경+안전 취약형
2024,강서구,10.65,11.65,17.72,16.22,56.24,소음취약,전반안정형,2,소음+교통 취약형
2024,강동구,13.46,12.17,15.73,14.34,55.7,소음취약,전반안정형,1,환경+안전 취약형
2024,광진구,12.98,13.21,14.57,14.86,55.62,교통취약,전반안정형,1,환경+안전 취약형
2024,성북구,14.32,10.54,17.46,13.24,55.56,소음취약,한가지뚜렷형,3,환경+소음 취약형
2024,구로구,13.17,14.09,14.67,13.36,55.29,소음취약,전반안정형,1,환경+안전 취약형
2024,동작구,13.68,12.43,13.92,14.31,54.34,교통취약,전반안정형,1,환경+안전 취약형
