gu,year,month,monthly_rain_mm
강남구,2022,1,4.5
강남구,2022,2,9.0
강남구,2022,3,241.5
강남구,2022,4,75.0
강남구,2022,5,25.5
강남구,2022,6,1293.0
강남구,2022,7,909.0
강남구,2022,8,2115.0
강남구,2022,9,708.0
강남구,2022,10,318.0
강남구,2022,11,193.5
강남구,2022,12,25.5
강남구,2023,1,48.5
강남구,2023,2,1.0
강남구,2023,3,8.5
강남구,2023,4,85.0
강남구,2023,5,160.0
강남구,2023,6,153.0
강남구,2023,7,455.5
강남구,2023,8,295.0
강남구,2023,9,151.5
강남구,2023,10,34.5
강남구,2023,11,94.5
강남구,2023,12,98.5
강남구,2024,1,18.5
강남구,2024,2,73.5
강남구,2024,3,13.5
강남구,2024,4,38.0
강남구,2024,5,110.0
강남구,2024,6,120.5
강남구,2024,7,463.5
강남구,2024,8,162.0
강남구,2024,9,192.0
강남구,2024,10,55.0
강남구,2024,11,29.5
강남구,2024,12,5.5
강동구,2022,1,4.5
강동구,2022,2,12.0
강동구,2022,3,228.0
강동구,2022,4,93.0
강동구,2022,5,24.0
강동구,2022,6,1324.5
강동구,2022,7,892.5
강동구,2022,8,1954.5
강동구,2022,9,829.5
강동구,2022,10,321.0
강동구,2022,11,211.5
강동구,2022,12,22.5
강동구,2023,1,46.5
강동구,2023,2,0.5
강동구,2023,3,7.5
강동구,2023,4,78.0
강동구,2023,5,150.0
강동구,2023,6,163.5
강동구,2023,7,427.5
강동구,2023,8,202.5
강동구,2023,9,120.0
강동구,2023,10,29.0
강동구,2023,11,95.5
강동구,2023,12,85.5
강동구,2024,1,17.0
강동구,2024,2,70.0
강동구,2024,3,13.0
강동구,2024,4,34.0
강동구,2024,5,95.5
강동구,2024,6,114.0
강동구,2024,7,525.5
강동구,2024,8,109.0
강동구,2024,9,204.5
강동구,2024,10,50.0
강동구,2024,11,27.5
강동구,2024,12,4.5
강북구,2022,1,3.0
강북구,2022,2,0.0
강북구,2022,3,303.0
강북구,2022,4,52.5
강북구,2022,5,16.5
강북구,2022,6,1311.0
강북구,2022,7,849.0
강북구,2022,8,1476.0
강북구,2022,9,568.5
강북구,2022,10,537.0
강북구,2022,11,262.5
강북구,2022,12,31.5
강북구,2023,1,47.0
강북구,2023,2,0.0
강북구,2023,3,10.0
강북구,2023,4,98.5
강북구,2023,5,168.5
강북구,2023,6,211.5
강북구,2023,7,454.0
강북구,2023,8,266.0
강북구,2023,9,111.5
강북구,2023,10,40.5
강북구,2023,11,91.5
강북구,2023,12,93.5
강북구,2024,1,16.0
강북구,2024,2,66.0
강북구,2024,3,10.5
강북구,2024,4,29.5
강북구,2024,5,121.5
강북구,2024,6,117.0
강북구,2024,7,566.0
강북구,2024,8,137.5
강북구,2024,9,139.5
강북구,2024,10,57.0
강북구,2024,11,26.5
강북구,2024,12,2.5
강서구,2022,1,0.0
강서구,2022,2,6.0
강서구,2022,3,289.5
강서구,2022,4,48.0
강서구,2022,5,12.0
강서구,2022,6,1105.5
강서구,2022,7,594.0
강서구,2022,8,1432.5
강서구,2022,9,580.5
강서구,2022,10,318.0
강서구,2022,11,247.5
강서구,2022,12,25.5
강서구,2023,1,44.5
강서구,2023,2,1.5
강서구,2023,3,10.5
강서구,2023,4,82.0
강서구,2023,5,134.0
강서구,2023,6,138.0
강서구,2023,7,520.0
강서구,2023,8,274.0
강서구,2023,9,100.0
강서구,2023,10,49.0
강서구,2023,11,65.5
강서구,2023,12,88.5
강서구,2024,1,16.5
강서구,2024,2,62.5
강서구,2024,3,4.0
강서구,2024,4,9.0
강서구,2024,5,114.5
강서구,2024,6,78.0
강서구,2024,7,494.0
강서구,2024,8,105.0
강서구,2024,9,187.0
강서구,2024,10,57.5
강서구,2024,11,23.5
강서구,2024,12,3.5
관악구,2022,1,0.0
관악구,2022,2,9.0
관악구,2022,3,210.0
관악구,2022,4,61.5
관악구,2022,5,24.0
관악구,2022,6,1113.0
관악구,2022,7,924.0
관악구,2022,8,2113.5
관악구,2022,9,684.0
관악구,2022,10,280.5
관악구,2022,11,157.5
관악구,2022,12,27.0
관악구,2023,1,37.0
관악구,2023,2,1.5
관악구,2023,3,8.5
관악구,2023,5,63.5
관악구,2023,6,135.0
관악구,2023,7,385.5
관악구,2023,8,273.5
관악구,2023,9,137.0
관악구,2023,10,26.0
관악구,2023,11,82.0
관악구,2023,12,82.5
관악구,2024,1,19.0
관악구,2024,2,62.5
관악구,2024,3,3.5
관악구,2024,4,31.5
관악구,2024,5,113.0
관악구,2024,6,113.0
관악구,2024,7,370.5
관악구,2024,8,84.5
관악구,2024,9,165.5
관악구,2024,10,48.0
관악구,2024,11,26.5
관악구,2024,12,4.0
광진구,2022,1,4.5
광진구,2022,2,6.0
광진구,2022,3,231.0
광진구,2022,4,75.0
광진구,2022,5,22.5
광진구,2022,6,1338.0
광진구,2022,7,889.5
광진구,2022,8,1791.0
광진구,2022,9,744.0
광진구,2022,10,342.0
광진구,2022,11,198.0
광진구,2022,12,19.5
광진구,2023,1,49.0
광진구,2023,2,0.5
광진구,2023,3,8.0
광진구,2023,4,82.0
광진구,2023,5,153.5
광진구,2023,6,164.0
광진구,2023,7,444.5
광진구,2023,8,248.0
광진구,2023,9,137.5
광진구,2023,10,28.0
광진구,2023,11,92.5
광진구,2023,12,92.0
광진구,2024,1,12.0
광진구,2024,2,63.5
광진구,2024,3,13.5
광진구,2024,4,31.5
광진구,2024,5,102.5
광진구,2024,6,114.0
광진구,2024,7,489.0
광진구,2024,8,135.0
광진구,2024,9,170.5
광진구,2024,10,53.5
광진구,2024,11,31.5
광진구,2024,12,3.5
구로구,2022,1,0.0
구로구,2022,2,91.5
구로구,2022,3,184.5
구로구,2022,4,43.5
구로구,2022,5,21.0
구로구,2022,6,949.5
구로구,2022,7,627.0
구로구,2022,8,2155.5
구로구,2022,9,645.0
구로구,2022,10,316.5
구로구,2022,11,198.0
구로구,2022,12,28.5
구로구,2023,1,38.0
구로구,2023,2,1.5
구로구,2023,3,10.5
구로구,2023,4,81.0
구로구,2023,5,143.0
구로구,2023,6,131.0
구로구,2023,7,493.0
구로구,2023,8,291.0
구로구,2023,9,112.0
구로구,2023,10,19.0
구로구,2023,11,75.0
구로구,2023,12,88.0
구로구,2024,1,12.0
구로구,2024,2,73.0
구로구,2024,3,5.0
구로구,2024,4,29.5
구로구,2024,5,100.0
구로구,2024,6,112.0
구로구,2024,7,398.0
구로구,2024,8,112.0
구로구,2024,9,152.0
구로구,2024,10,54.0
구로구,2024,11,24.0
구로구,2024,12,1.0
금천구,2022,1,0.0
금천구,2022,2,12.0
금천구,2022,3,220.5
금천구,2022,4,61.5
금천구,2022,5,21.0
금천구,2022,6,1158.0
금천구,2022,7,849.0
금천구,2022,8,2046.0
금천구,2022,9,663.0
금천구,2022,10,327.0
금천구,2022,11,168.0
금천구,2022,12,33.0
금천구,2023,1,42.5
금천구,2023,2,0.5
금천구,2023,3,9.5
금천구,2023,4,83.5
금천구,2023,5,143.0
금천구,2023,6,141.5
금천구,2023,7,450.0
금천구,2023,8,261.5
금천구,2023,9,109.5
금천구,2023,10,18.0
금천구,2023,11,87.5
금천구,2023,12,85.0
금천구,2024,1,20.5
금천구,2024,2,71.5
금천구,2024,3,3.0
금천구,2024,4,16.0
금천구,2024,5,118.0
금천구,2024,6,107.5
금천구,2024,7,381.5
금천구,2024,8,91.5
금천구,2024,9,170.0
금천구,2024,10,54.0
금천구,2024,11,29.5
금천구,2024,12,4.0
노원구,2022,1,0.0
노원구,2022,2,7.5
노원구,2022,3,298.5
노원구,2022,4,43.5
노원구,2022,5,16.5
노원구,2022,6,1377.0
노원구,2022,7,796.5
노원구,2022,8,1671.0
노원구,2022,9,471.0
노원구,2022,10,558.0
노원구,2022,11,258.0
노원구,2022,12,13.5
노원구,2023,1,52.0
노원구,2023,2,0.0
노원구,2023,3,8.0
노원구,2023,4,100.5
노원구,2023,5,153.5
노원구,2023,6,244.5
노원구,2023,7,435.5
노원구,2023,8,280.0
노원구,2023,9,106.5
노원구,2023,10,45.5
노원구,2023,11,87.0
노원구,2023,12,85.0
노원구,2024,1,11.5
노원구,2024,2,61.0
노원구,2024,3,12.0
노원구,2024,4,30.0
노원구,2024,5,128.5
노원구,2024,6,125.5
노원구,2024,7,525.0
노원구,2024,8,75.0
노원구,2024,9,141.0
노원구,2024,10,58.0
노원구,2024,11,26.5
노원구,2024,12,2.5
도봉구,2022,1,3.0
도봉구,2022,2,7.5
도봉구,2022,3,315.0
도봉구,2022,4,49.5
도봉구,2022,5,18.0
도봉구,2022,6,1476.0
도봉구,2022,7,808.5
도봉구,2022,8,1729.5
도봉구,2022,9,589.5
도봉구,2022,10,502.5
