자치구코드,자치구명,출퇴근_스트레스점수,대중교통_혼잡도점수,주차_문제점수,민원_문제점수,교통_혼잡스트레스점수
11230,강남구,70.15,67.13,26.28528974739973,57.86810204053281,15.665
11030,용산구,24.61,65.77,51.3670133729569,84.86385881973781,14.6775
11140,마포구,32.51,88.87,33.7741456166419,68.11274253471719,14.61
11020,중구,37.26,83.97,10.0,88.52519159373541,14.525
11190,영등포구,37.47,80.0,58.06339772164435,41.37611343204208,14.2375
11220,서초구,47.17,72.87,16.30014858841008,71.19264354317653,13.8675
11240,송파구,52.52,62.23,63.84843982169389,21.31627449275537,13.375
11010,종로구,38.34,92.0,10.0,58.58855531675256,12.87
11160,강서구,33.87,41.3,40.82714214957897,57.72767337258605,10.825
11210,관악구,27.98,48.87,72.36750866765726,25.76414114983895,10.675
11040,성동구,23.25,50.23,82.03566121842493,19.280567510916047,10.4975
11050,광진구,22.4,60.9,59.053987122337766,29.08554960248153,10.2125
11090,강북구,15.63,67.57,72.40713224368497,13.203580914939856,9.7575
11200,동작구,22.9,50.63,72.7241208519069,15.46607878432294,9.46
11250,강동구,31.38,37.33,64.36354631005446,20.41833328545111,9.11
11110,노원구,27.36,29.8,86.07726597325409,10.17003780664256,8.97
11120,은평구,25.09,46.23,60.52005943536405,20.839619192527035,8.835
11130,서대문구,26.05,44.87,60.24269440316987,19.562894075689755,8.7125
11070,중랑구,17.93,31.57,90.0,12.452472005694917,8.5575
11170,구로구,25.96,36.87,72.48637939574043,12.359338035122477,8.47
11080,성북구,25.61,33.33,73.7147102526003,12.671210744401067,8.28
11060,동대문구,23.17,40.9,48.91035165923724,28.22438181547533,7.8975
11150,양천구,16.22,10.67,90.0,22.47061783333498,7.565
11100,도봉구,13.19,28.9,79.49975235264981,11.67278523921234,6.95
11180,금천구,16.07,27.13,29.098563645368955,15.99527268156419,3.5375
