연도,자치구코드,자치구명,출퇴근_스트레스점수,대중교통_혼잡도점수,주차_문제점수,민원_문제점수,교통_혼잡스트레스점수
2022,11230,강남구,70.27,68.0,26.29,61.41,62.74
2022,11140,마포구,32.11,88.0,33.77,66.83,56.7
2022,11020,중구,37.41,85.3,10.0,85.58,56.56
2022,11220,서초구,46.44,77.3,16.3,72.8,55.94
2022,11030,용산구,24.49,66.7,51.37,74.59,55.09
2022,11190,영등포구,37.16,80.0,58.06,35.57,54.27
2022,11010,종로구,39.79,93.3,10.0,58.33,51.42
2022,11240,송파구,52.45,61.3,63.85,17.74,51.36
2022,11210,관악구,27.92,49.3,72.37,23.69,42.0
2022,11050,광진구,22.34,58.7,59.05,34.78,41.76
2022,11040,성동구,22.49,48.0,82.04,19.78,41.14
2022,11200,동작구,22.46,53.3,72.72,17.56,39.1
2022,11090,강북구,15.38,68.0,72.41,10.0,38.04
2022,11160,강서구,33.34,41.3,40.83,40.98,37.45
2022,11110,노원구,27.11,30.7,86.08,10.0,36.14
2022,11120,은평구,25.21,46.7,60.52,22.45,36.0
2022,11250,강동구,30.52,37.3,64.36,17.86,35.2
2022,11070,중랑구,17.71,32.0,90.0,11.15,34.16
2022,11170,구로구,25.6,37.3,72.49,10.0,33.22
2022,11080,성북구,25.62,32.0,73.71,12.25,32.74
2022,11130,서대문구,25.86,37.3,60.24,19.99,32.62
2022,11150,양천구,15.87,12.0,90.0,21.72,30.74
2022,11060,동대문구,22.95,38.7,48.91,26.36,30.27
2022,11100,도봉구,12.84,30.7,79.5,10.37,28.2
2022,11180,금천구,15.65,26.7,29.1,17.64,14.72
