자치구,소음총점수_2022,소음총점수_2023,소음총점수_2024,증감_22_23,증감_23_24,증감률_22_23,증감률_23_24,rank_2022,rank_2023,rank_2024,rank_range_3y,rank_volatility,총민감도(절대변화합),우선순위점수,총점등급_2024,우선순위등급
은평구,14.88,12.14,15.52,-2.74,3.379999999999999,-18.413978494623656,27.841845140032937,3.0,9.0,5.0,6.0,10.0,14.0,1.065475454178305,매우높음,우선대응
동대문구,14.41,13.27,16.83,-1.1400000000000006,3.5599999999999987,-7.911172796668983,26.827430293895997,6.0,7.0,2.0,5.0,6.0,6.0,1.0032187064653402,매우높음,우선대응
강남구,19.21,18.83,19.51,-0.38000000000000256,0.6800000000000033,-1.9781363872982953,3.6112586298460077,1.0,1.0,1.0,0.0,0.0,2.0,0.6450342383972401,매우높음,우선대응
서초구,15.58,14.18,16.16,-1.4000000000000004,1.9800000000000004,-8.985879332477538,13.963328631875886,2.0,5.0,4.0,3.0,4.0,4.0,0.5371748986817748,매우높음,우선대응
강서구,14.46,10.3,12.71,-4.16,2.41,-28.769017980636235,23.398058252427184,5.0,14.0,11.0,9.0,12.0,11.0,0.49876755461847655,높음,우선대응
종로구,13.97,14.94,15.39,0.9699999999999989,0.45000000000000107,6.9434502505368565,3.0120481927710916,10.0,4.0,6.0,6.0,8.0,13.0,0.47422627571578274,매우높음,우선대응
서대문구,12.09,11.25,14.21,-0.8399999999999999,2.960000000000001,-6.94789081885856,26.311111111111117,12.0,12.0,8.0,4.0,4.0,5.0,0.43065977323718696,높음,우선대응
성북구,9.81,9.27,12.18,-0.5400000000000009,2.91,-5.504587155963312,31.391585760517803,21.0,19.0,12.0,9.0,9.0,11.0,0.40335309209040016,높음,우선대응
양천구,10.41,8.16,10.52,-2.25,2.3599999999999994,-21.613832853025936,28.921568627450974,17.0,24.0,17.0,7.0,14.0,8.0,0.17638366691639815,중간,주의
성동구,14.22,17.66,16.57,3.4399999999999995,-1.0899999999999999,24.191279887482413,-6.172140430351075,9.0,3.0,3.0,6.0,6.0,3.0,0.13592172814213255,매우높음,주의
중랑구,9.14,11.36,11.52,2.219999999999999,0.16000000000000014,24.288840262582042,1.4084507042253533,23.0,11.0,13.0,12.0,14.0,17.0,0.1304158736291994,중간,주의
송파구,10.79,9.02,11.28,-1.7699999999999996,2.26,-16.40407784986098,25.055432372505543,16.0,20.0,15.0,5.0,9.0,9.0,0.12437635197353686,중간,주의
중구,14.23,9.93,11.42,-4.300000000000001,1.4900000000000002,-30.217849613492625,15.005035246727092,8.0,15.0,14.0,7.0,8.0,16.0,0.11720064141746905,중간,주의
영등포구,14.5,13.17,13.71,-1.33,0.5400000000000009,-9.172413793103448,4.100227790432809,4.0,8.0,10.0,6.0,6.0,9.0,0.09799252682577966,높음,주의
마포구,14.27,14.0,14.56,-0.2699999999999996,0.5600000000000005,-1.8920812894183574,4.0000000000000036,7.0,6.0,7.0,1.0,2.0,3.0,-0.02072465874595883,높음,주의
용산구,13.29,18.1,13.72,4.810000000000002,-4.380000000000001,36.19262603461251,-24.19889502762431,11.0,2.0,9.0,9.0,16.0,15.0,-0.26929369014977433,높음,주의
관악구,10.32,8.32,9.99,-2.0,1.67,-19.37984496124031,20.072115384615383,18.0,23.0,19.0,5.0,9.0,1.0,-0.31652561561288123,낮음,관찰
강동구,12.04,11.8,10.85,-0.23999999999999844,-0.9500000000000011,-1.9933554817275618,-8.050847457627128,13.0,10.0,16.0,6.0,9.0,15.0,-0.3576891503313898,중간,관찰
구로구,9.95,9.44,9.86,-0.5099999999999998,0.41999999999999993,-5.125628140703515,4.449152542372881,20.0,17.0,20.0,3.0,6.0,10.0,-0.4719005681944374,낮음,관찰
강북구,11.08,9.3,10.32,-1.7799999999999994,1.0199999999999996,-16.064981949458478,10.967741935483865,15.0,18.0,18.0,3.0,3.0,4.0,-0.5186420673582355,중간,관찰
동작구,10.27,7.53,8.79,-2.7399999999999993,1.259999999999999,-26.679649464459587,16.73306772908365,19.0,25.0,23.0,6.0,8.0,2.0,-0.5762432221187103,낮음,관찰
도봉구,9.65,8.98,9.52,-0.6699999999999999,0.5399999999999991,-6.943005181347149,6.013363028953219,22.0,21.0,22.0,1.0,2.0,7.0,-0.6927778512761584,낮음,관찰
광진구,11.79,10.45,9.67,-1.3399999999999999,-0.7799999999999994,-11.365564037319762,-7.46411483253588,14.0,13.0,21.0,8.0,9.0,2.0,-0.7514003519981468,낮음,관찰
노원구,8.31,8.43,8.69,0.11999999999999922,0.2599999999999998,1.4440433212996295,3.0842230130486334,24.0,22.0,24.0,2.0,4.0,2.0,-0.890411538149255,낮음,관찰
금천구,7.21,9.67,7.65,2.46,-2.0199999999999996,34.11927877947296,-20.88934850051706,25.0,16.0,25.0,9.0,18.0,1.0,-0.9745920683540732,낮음,관찰
